"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"2BBH.00","Macular degeneration","8518","Retinal drusen","Diagnosis of macular degeneration",92,"Diseases of the Eye",6,"369092019","247153005","369092019","cleansedreadcode"
"F424200","Macular degeneration","52090","Retinal pigment epithelium serous detachment","Diagnosis of macular degeneration",92,"Diseases of the Eye",6,"1231068014","52002008","1231068014","cleansedreadcode"
"F424300","Macular degeneration","69892","Retinal pigment epithelium haemorrhagic detachment","Diagnosis of macular degeneration",92,"Diseases of the Eye",6,"1216693019","50165004","1216693019","cleansedreadcode"
"F424400","Macular degeneration","99525","Retinal pigment epithelial detachment","Diagnosis of macular degeneration",92,"Diseases of the Eye",6,"347719019","232067008","347719019","cleansedreadcode"
"F425.00","Macular degeneration","118","Degeneration of macula and posterior pole","Diagnosis of macular degeneration",92,"Diseases of the Eye",6,"399433012","267611002","399433012","cleansedreadcode"
"F425.11","Macular degeneration","6350","Senile macular degeneration","Diagnosis of macular degeneration",92,"Diseases of the Eye",6,"399676018","267718000","399676018","cleansedreadcode"
"F425000","Macular degeneration","2762","Unspecified senile macular degeneration","Diagnosis of macular degeneration",92,"Diseases of the Eye",6,"78571000006118","267718000","399670012","cleansedreadcode"
"F425100","Macular degeneration","10343","Dry senile macular degeneration","Diagnosis of macular degeneration",92,"Diseases of the Eye",6,"2537365016","414875008","2537365016","cleansedreadcode"
"F425200","Macular degeneration","26205","Wet senile macular degeneration","Diagnosis of macular degeneration",92,"Diseases of the Eye",6,"2538088014","414173003","2538088014","cleansedreadcode"
"F425211","Macular degeneration","71225","Kuhnt - Junius degeneration","Diagnosis of macular degeneration",92,"Diseases of the Eye",6,"753461000006116","414173003","2538090010","cleansedreadcode"
"F425700","Macular degeneration","4424","Drusen","Diagnosis of macular degeneration",92,"Diseases of the Eye",6,"31523017","18695008","31523017","cleansedreadcode"
"F425z00","Macular degeneration","1753","Degeneration of macula or posterior pole NOS","Diagnosis of macular degeneration",92,"Diseases of the Eye",6,"297816017","267611002","399433012","cleansedreadcode"
