"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"F560.00","Meniere's Disease","674","Meniere's disease","Diagnosis of Meniere disease",93,"Diseases of the Ear",4,"710871000006110","13445001","475303017","cleansedreadcode"
"F560.11","Meniere's Disease","18047","Endolymphatic hydrops","Diagnosis of Meniere disease",93,"Diseases of the Ear",4,"17117015","9794007","17117015","cleansedreadcode"
"F560.12","Meniere's Disease","44564","Lermoyez's syndrome","Diagnosis of Meniere disease",93,"Diseases of the Ear",4,"50047017","29904009","2842581018","cleansedreadcode"
"F560000","Meniere's Disease","47541","Unspecified Meniere's disease","Diagnosis of Meniere disease",93,"Diseases of the Ear",4,"299159019","13445001","2920410013","cleansedreadcode"
"F560100","Meniere's Disease","66733","Active cochleovestibular Meniere's disease","Diagnosis of Meniere disease",93,"Diseases of the Ear",4,"299160012","194348002","299160012","cleansedreadcode"
"F560200","Meniere's Disease","39499","Active cochlear Meniere's disease","Diagnosis of Meniere disease",93,"Diseases of the Ear",4,"299161011","194349005","299161011","cleansedreadcode"
"F560300","Meniere's Disease","55827","Active vestibular Meniere's disease","Diagnosis of Meniere disease",93,"Diseases of the Ear",4,"299162016","194350005","299162016","cleansedreadcode"
"F560400","Meniere's Disease","97882","Inactive Meniere's disease","Diagnosis of Meniere disease",93,"Diseases of the Ear",4,"299163014","194351009","299163014","cleansedreadcode"
"F560z00","Meniere's Disease","16334","Meniere's disease NOS","Diagnosis of Meniere disease",93,"Diseases of the Ear",4,"299164015","13445001","178783019","cleansedreadcode"
"","Meniere's Disease","","lermoyez's syndrome","Diagnosis of Meniere disease",93,"Diseases of the Ear",4,"2981261000006116","29904009","50047017","originalreadcode"
"","Meniere's Disease","","unspecified meniere's disease","Diagnosis of Meniere disease",93,"Diseases of the Ear",4,"11925131000006110","13445001","710891000006111","originalreadcode"
