"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"8B6N.00","Migraine","11389","Migraine prophylaxis","History of Migraine",94,"Neurological conditions",13,"2159945013","408381007","2159945013","cleansedreadcode"
"F26..00","Migraine","161","Migraine","Diagnosis of Migraine",94,"Neurological conditions",13,"63055014","37796009","63055014","cleansedreadcode"
"F260.00","Migraine","3220","Classical migraine","Diagnosis of Migraine",94,"Neurological conditions",13,"7596016","230462002","345348012","cleansedreadcode"
"F260.11","Migraine","103502","Migraine with aura","Diagnosis of Migraine",94,"Neurological conditions",13,"7595017","4473006","7595017","cleansedreadcode"
"F261.00","Migraine","2424","Common migraine","Diagnosis of Migraine",94,"Neurological conditions",13,"93295014","56097005","93295014","cleansedreadcode"
"F261.11","Migraine","103602","Migraine without aura","Diagnosis of Migraine",94,"Neurological conditions",13,"93294013","56097005","93294013","cleansedreadcode"
"F261000","Migraine","9633","Atypical migraine","Diagnosis of Migraine",94,"Neurological conditions",13,"93296010","56097005","93296010","cleansedreadcode"
"F261z00","Migraine","41497","Common migraine NOS","Diagnosis of Migraine",94,"Neurological conditions",13,"297336013","56097005","93295014","cleansedreadcode"
"F262.00","Migraine","5509","Migraine variants","Diagnosis of Migraine",94,"Neurological conditions",13,"297337016","193030005","297337016","cleansedreadcode"
"F262200","Migraine","2861","Abdominal migraine","Diagnosis of Migraine",94,"Neurological conditions",13,"126030010","75879005","126030010","cleansedreadcode"
"F262300","Migraine","9004","Basilar migraine","Diagnosis of Migraine",94,"Neurological conditions",13,"138248010","83351003","138248010","cleansedreadcode"
"F262400","Migraine","10583","Ophthalmic migraine","Diagnosis of Migraine",94,"Neurological conditions",13,"158460019","95655001","158460019","cleansedreadcode"
"F262800","Migraine","103973","Migraine induced by oestrogen contraceptive","Diagnosis of Migraine",94,"Neurological conditions",13,"1746951000000114","781381000000100","1746951000000114","cleansedreadcode"
"F262z00","Migraine","23621","Migraine variant NOS","Diagnosis of Migraine",94,"Neurological conditions",13,"297351016","193030005","297337016","cleansedreadcode"
"F26y.00","Migraine","28031","Other forms of migraine","Diagnosis of Migraine",94,"Neurological conditions",13,"297352011","37796009","63055014","cleansedreadcode"
"F26y000","Migraine","3658","Hemiplegic migraine","Diagnosis of Migraine",94,"Neurological conditions",13,"98501012","59292006","98501012","cleansedreadcode"
"F26y100","Migraine","12511","Ophthalmoplegic migraine","Diagnosis of Migraine",94,"Neurological conditions",13,"82623012","49605003","82623012","cleansedreadcode"
"F26y111","Migraine","65262","Moebius' ophthalmoplegic migraine","Diagnosis of Migraine",94,"Neurological conditions",13,"700211000006115","49605003","82623012","cleansedreadcode"
"F26y200","Migraine","22685","Status migrainosus","Diagnosis of Migraine",94,"Neurological conditions",13,"345355014","230467008","345355014","cleansedreadcode"
"F26y300","Migraine","27930","Complicated migraine","Diagnosis of Migraine",94,"Neurological conditions",13,"297354012","193039006","297354012","cleansedreadcode"
"F26yz00","Migraine","28092","Other forms of migraine NOS","Diagnosis of Migraine",94,"Neurological conditions",13,"297355013","37796009","63055014","cleansedreadcode"
"F26z.00","Migraine","14700","Migraine NOS","Diagnosis of Migraine",94,"Neurological conditions",13,"297356014","37796009","63055014","cleansedreadcode"
"Fyu5300","Migraine","53813","[X]Other migraine","Diagnosis of Migraine",94,"Neurological conditions",13,"299338017","37796009","63055014","cleansedreadcode"
"K584.11","Migraine","11138","Migraine - menstrual","Diagnosis of Migraine",94,"Neurological conditions",13,"221281000000113","23186000","38943013","cleansedreadcode"
"","Migraine","","classical migraine","Diagnosis of Migraine",94,"Neurological conditions",13,"2570161000006115","4473006","7596016","originalreadcode"
