"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Motor neuron disease",NA,"[RFC] Motor neurone disease",NA,95,"Neurological conditions",13,"908821000006116","908821000006100","908821000006116","termsearch"
"7Q04100","Motor neuron disease","109020","Amyotrophic lateral sclerosis drugs Band 1","History of Motor neuron disease",95,"Neurological conditions",13,"351861000000110","221551000000100","351861000000110","cleansedreadcode"
"F15..00","Motor neuron disease","21889","Anterior horn cell disease","Diagnosis of Motor neuron disease",95,"Neurological conditions",13,"142016013","85672005","142016013","cleansedreadcode"
"F152.00","Motor neuron disease","4796","Motor neurone disease","Diagnosis of Motor neuron disease",95,"Neurological conditions",13,"486695013","37340000","486695013","cleansedreadcode"
"F152000","Motor neuron disease","36433","Amyotrophic lateral sclerosis","Diagnosis of Motor neuron disease",95,"Neurological conditions",13,"142653015","86044005","142653015","cleansedreadcode"
"F152100","Motor neuron disease","30987","Progressive muscular atrophy","Diagnosis of Motor neuron disease",95,"Neurological conditions",13,"147444011","88923002","147444011","cleansedreadcode"
"F152111","Motor neuron disease","7470","Duchenne Aran muscular atrophy","Diagnosis of Motor neuron disease",95,"Neurological conditions",13,"631811000006111","88923002","147444011","cleansedreadcode"
"F152200","Motor neuron disease","27377","Progressive bulbar palsy","Diagnosis of Motor neuron disease",95,"Neurological conditions",13,"90263012","54304004","90263012","cleansedreadcode"
"F152300","Motor neuron disease","18084","Pseudobulbar palsy","Diagnosis of Motor neuron disease",95,"Neurological conditions",13,"13165015","7379000","13165015","cleansedreadcode"
"F152400","Motor neuron disease","20845","Primary lateral sclerosis","Diagnosis of Motor neuron disease",95,"Neurological conditions",13,"134744017","81211007","134744017","cleansedreadcode"
"F152z00","Motor neuron disease","20120","Motor neurone disease NOS","Diagnosis of Motor neuron disease",95,"Neurological conditions",13,"297130012","37340000","486695013","cleansedreadcode"
"F15y.00","Motor neuron disease","71400","Other anterior horn cell disease","Diagnosis of Motor neuron disease",95,"Neurological conditions",13,"297131011","85672005","142016013","cleansedreadcode"
"F15z.00","Motor neuron disease","58729","Anterior horn cell disease NOS","Diagnosis of Motor neuron disease",95,"Neurological conditions",13,"297132016","85672005","142016013","cleansedreadcode"
