"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Multiple sclerosis",NA,"Multiple sclerosis - personal health plan",NA,96,"Neurological conditions",13,"983261000006119","983261000006103","983261000006119","termsearch"
NA,"Multiple sclerosis",NA,"Multiple sclerosis - primary progressive",NA,96,"Neurological conditions",13,"983291000006110","983291000006106","983291000006110","termsearch"
NA,"Multiple sclerosis",NA,"Multiple sclerosis - relapsing remitting",NA,96,"Neurological conditions",13,"983311000006114","983311000006105","983311000006114","termsearch"
NA,"Multiple sclerosis",NA,"Multiple sclerosis - secondary progressive",NA,96,"Neurological conditions",13,"983301000006111","983301000006107","983301000006111","termsearch"
NA,"Multiple sclerosis",NA,"Multiple sclerosis monitoring third letter",NA,96,"Neurological conditions",13,"1675051000000110","759171000000105","1675051000000110","termsearch"
NA,"Multiple sclerosis",NA,"[RFC] Multiple sclerosis",NA,96,"Neurological conditions",13,"905781000006118","905781000006102","905781000006118","termsearch"
NA,"Multiple sclerosis",NA,"[RFC] Multiple sclerosis",NA,96,"Neurological conditions",13,"908811000006112","908811000006108","908811000006112","termsearch"
"","Multiple sclerosis","","multiple sclerosis monitoring administration","History of Multiple sclerosis",96,"Neurological conditions",13,"1747821000006117","1747821000006101","1747821000006117","originalreadcode"
"","Multiple sclerosis","","multiple sclerosis monitoring first letter","History of Multiple sclerosis",96,"Neurological conditions",13,"1747831000006119","1747831000006103","1747831000006119","originalreadcode"
"","Multiple sclerosis","","multiple sclerosis monitoring second letter","History of Multiple sclerosis",96,"Neurological conditions",13,"1747841000006112","1747841000006108","1747841000006112","originalreadcode"
"666A.00","Multiple sclerosis","44985","Multiple sclerosis review","History of Multiple sclerosis",96,"Neurological conditions",13,"299241000000110","198491000000106","299241000000110","cleansedreadcode"
"666B.00","Multiple sclerosis","43232","Multiple sclerosis multidisciplinary review","History of Multiple sclerosis",96,"Neurological conditions",13,"315671000000110","205631000000104","315671000000110","cleansedreadcode"
"8CS1.00","Multiple sclerosis","50161","Multiple sclerosis care plan agreed","History of Multiple sclerosis",96,"Neurological conditions",13,"300141000000119","811881000000109","2117681000000111","cleansedreadcode"
"8Cc0.00","Multiple sclerosis","98835","Management of multiple sclerosis in onset phase","Diagnosis of Multiple sclerosis",96,"Neurological conditions",13,"699671000000115","367561000000107","699671000000115","cleansedreadcode"
"8Cc1.00","Multiple sclerosis","97487","Management of multiple sclerosis in early disease phase","Diagnosis of Multiple sclerosis",96,"Neurological conditions",13,"699731000000110","367591000000101","699731000000110","cleansedreadcode"
"8Cc2.00","Multiple sclerosis","95864","Management of multiple sclerosis in stable disability phase","History of Multiple sclerosis",96,"Neurological conditions",13,"699791000000111","367621000000103","699791000000111","cleansedreadcode"
"8Cc4.00","Multiple sclerosis","98521","Management of multiple sclerosis in palliative phase","History of Multiple sclerosis",96,"Neurological conditions",13,"699911000000117","367681000000102","699911000000117","cleansedreadcode"
"8IAb.00","Multiple sclerosis","100503","Multiple sclerosis review declined","History of Multiple sclerosis",96,"Neurological conditions",13,"1148911000000119","515931000000104","1148911000000119","cleansedreadcode"
"9kG..00","Multiple sclerosis","48527","Spec serv for pat with multiple sclerosis - enh serv admin","History of Multiple sclerosis",96,"Neurological conditions",13,"979461000006111","166411000000100","1154041000000111","cleansedreadcode"
"9mD..00","Multiple sclerosis","106307","Multiple sclerosis monitoring administration","History of Multiple sclerosis",96,"Neurological conditions",13,"1674121000000119","758981000000100","1674121000000119","cleansedreadcode"
"9mD0.00","Multiple sclerosis","109049","Multiple sclerosis monitoring first letter","History of Multiple sclerosis",96,"Neurological conditions",13,"1674381000000115","759051000000102","1674381000000115","cleansedreadcode"
"9mD1.00","Multiple sclerosis","109302","Multiple sclerosis monitoring second letter","History of Multiple sclerosis",96,"Neurological conditions",13,"1674661000000118","759091000000105","1674661000000118","cleansedreadcode"
"F20..00","Multiple sclerosis","684","Multiple sclerosis","Diagnosis of Multiple sclerosis",96,"Neurological conditions",13,"41398015","24700007","41398015","cleansedreadcode"
"F20..11","Multiple sclerosis","3440","Disseminated sclerosis","Diagnosis of Multiple sclerosis",96,"Neurological conditions",13,"1223979019","24700007","1223979019","cleansedreadcode"
"F200.00","Multiple sclerosis","40344","Multiple sclerosis of the brain stem","Diagnosis of Multiple sclerosis",96,"Neurological conditions",13,"695191000006119","192926004","297176011","cleansedreadcode"
"F201.00","Multiple sclerosis","69886","Multiple sclerosis of the spinal cord","Diagnosis of Multiple sclerosis",96,"Neurological conditions",13,"297177019","192927008","297177019","cleansedreadcode"
"F202.00","Multiple sclerosis","23730","Generalised multiple sclerosis","Diagnosis of Multiple sclerosis",96,"Neurological conditions",13,"297179016","192928003","297179016","cleansedreadcode"
"F203.00","Multiple sclerosis","2298","Exacerbation of multiple sclerosis","History of Multiple sclerosis",96,"Neurological conditions",13,"297180018","192929006","297180018","cleansedreadcode"
"F204.00","Multiple sclerosis","96291","Benign multiple sclerosis","Diagnosis of Multiple sclerosis",96,"Neurological conditions",13,"641211000000118","438511000","2791037019","cleansedreadcode"
"F206.00","Multiple sclerosis","96607","Primary progressive multiple sclerosis","Diagnosis of Multiple sclerosis",96,"Neurological conditions",13,"2692565012","428700003","2692565012","cleansedreadcode"
"F207.00","Multiple sclerosis","95972","Relapsing and remitting multiple sclerosis","Diagnosis of Multiple sclerosis",96,"Neurological conditions",13,"1682241000006111","426373005","2674690012","cleansedreadcode"
"F208.00","Multiple sclerosis","96246","Secondary progressive multiple sclerosis","Diagnosis of Multiple sclerosis",96,"Neurological conditions",13,"2674605012","425500002","2674605012","cleansedreadcode"
"F20z.00","Multiple sclerosis","20493","Multiple sclerosis NOS","Diagnosis of Multiple sclerosis",96,"Neurological conditions",13,"297181019","24700007","41398015","cleansedreadcode"
