"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"G13..00","Multiple valve disorder","10078","Diseases of mitral and aortic valves","Diagnosis of Multiple valve dz",97,"Diseases of the Circulatory System",2,"299602018","194732001","299602018","cleansedreadcode"
"G130.00","Multiple valve disorder","8274","Mitral and aortic stenosis","Diagnosis of Multiple valve dz",97,"Diseases of the Circulatory System",2,"299603011","194733006","299603011","cleansedreadcode"
"G131.00","Multiple valve disorder","49355","Mitral stenosis and aortic insufficiency","Diagnosis of Multiple valve dz",97,"Diseases of the Circulatory System",2,"299604017","194734000","299604017","cleansedreadcode"
"G131.13","Multiple valve disorder","61250","Mitral stenosis and aortic incompetence","Diagnosis of Multiple valve dz",97,"Diseases of the Circulatory System",2,"299606015","194734000","299606015","cleansedreadcode"
"G131.14","Multiple valve disorder","17596","Mitral stenosis and aortic regurgitation","Diagnosis of Multiple valve dz",97,"Diseases of the Circulatory System",2,"299605016","194734000","299605016","cleansedreadcode"
"G132.00","Multiple valve disorder","33262","Mitral insufficiency and aortic stenosis","Diagnosis of Multiple valve dz",97,"Diseases of the Circulatory System",2,"299609010","194735004","299609010","cleansedreadcode"
"G132.12","Multiple valve disorder","31759","Mitral incompetence and aortic stenosis","Diagnosis of Multiple valve dz",97,"Diseases of the Circulatory System",2,"299607012","194735004","299607012","cleansedreadcode"
"G132.13","Multiple valve disorder","33907","Mitral regurgitation and aortic stenosis","Diagnosis of Multiple valve dz",97,"Diseases of the Circulatory System",2,"299608019","194735004","299608019","cleansedreadcode"
"G133.00","Multiple valve disorder","31727","Mitral and aortic incompetence","Diagnosis of Multiple valve dz",97,"Diseases of the Circulatory System",2,"299610017","194736003","299610017","cleansedreadcode"
"G133.11","Multiple valve disorder","94872","Mitral and aortic insufficiency","Diagnosis of Multiple valve dz",97,"Diseases of the Circulatory System",2,"299611018","194736003","299611018","cleansedreadcode"
"G133.12","Multiple valve disorder","11878","Mitral and aortic regurgitation","Diagnosis of Multiple valve dz",97,"Diseases of the Circulatory System",2,"299612013","194736003","299612013","cleansedreadcode"
"G13y.00","Multiple valve disorder","70698","Multiple mitral and aortic valve involvement","Diagnosis of Multiple valve dz",97,"Diseases of the Circulatory System",2,"299613015","194732001","299602018","cleansedreadcode"
"G13z.00","Multiple valve disorder","29158","Mitral and aortic valve disease NOS","Diagnosis of Multiple valve dz",97,"Diseases of the Circulatory System",2,"299614014","194732001","299602018","cleansedreadcode"
"G544.00","Multiple valve disorder","40239","Multiple valve diseases","Diagnosis of Multiple valve dz",97,"Diseases of the Circulatory System",2,"694371000006117","195002007","300013013","cleansedreadcode"
"G544000","Multiple valve disorder","40582","Disorders of both aortic and tricuspid valves","Diagnosis of Multiple valve dz",97,"Diseases of the Circulatory System",2,"300014019","195003002","300014019","cleansedreadcode"
"G544100","Multiple valve disorder","19699","Disorders of both mitral and tricuspid valves","Diagnosis of Multiple valve dz",97,"Diseases of the Circulatory System",2,"300015018","195004008","300015018","cleansedreadcode"
"G544200","Multiple valve disorder","18475","Combined disorders of mitral, aortic and tricuspid valves","Diagnosis of Multiple valve dz",97,"Diseases of the Circulatory System",2,"300016017","195005009","300016017","cleansedreadcode"
"G544X00","Multiple valve disorder","57338","Multiple valve disease, unspecified","Diagnosis of Multiple valve dz",97,"Diseases of the Circulatory System",2,"694361000006112","195002007","300013013","cleansedreadcode"
"Gyu5D00","Multiple valve disorder","100910","[X]Multiple valve disorders/diseases CE","Diagnosis of Multiple valve dz",97,"Diseases of the Circulatory System",2,"399141000006119","195002007","300013013","cleansedreadcode"
"","Multiple valve disorder","","multiple mitral and aortic valve involvement","Diagnosis of Multiple valve dz",97,"Diseases of the Circulatory System",2,"12717041000006110","194737007","299613015","originalreadcode"
