"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"","Myelodysplastic Syndrome","","refractory anaemia with sideroblasts","Diagnosis of Myelodysplastic syndromes",99,"Cancers",1,"4417981000006117","128846006","474638015","originalreadcode"
"7Q09700","Myelodysplastic Syndrome","102712","Myelodysplastic syndrome drugs Band 1","Diagnosis of Myelodysplastic syndromes",99,"Cancers",1,"1694851000000112","764091000000100","1694851000000112","cleansedreadcode"
"B937.14","Myelodysplastic Syndrome","14927","Myelodysplasia","Diagnosis of Myelodysplastic syndromes",99,"Cancers",1,"683041000006112","109995007","174702016","cleansedreadcode"
"B937000","Myelodysplastic Syndrome","22890","Refractory anaemia without sideroblasts, so stated","Diagnosis of Myelodysplastic syndromes",99,"Cancers",1,"291252015","189509003","291252015","cleansedreadcode"
"B937100","Myelodysplastic Syndrome","10817","Refractory anaemia with sideroblasts","Diagnosis of Myelodysplastic syndromes",99,"Cancers",1,"2535668013","109998009","2535668013","cleansedreadcode"
"B937200","Myelodysplastic Syndrome","23875","Refractory anaemia with excess of blasts","Diagnosis of Myelodysplastic syndromes",99,"Cancers",1,"186311000006115","398623004","1783650013","cleansedreadcode"
"B937300","Myelodysplastic Syndrome","44420","Refractory anaemia with excess of blasts with transformation","Diagnosis of Myelodysplastic syndromes",99,"Cancers",1,"179151000006119","110000005","202883012","cleansedreadcode"
"B937600","Myelodysplastic Syndrome","105985","Refractory anaemia without ring sideroblasts","Diagnosis of Myelodysplastic syndromes",99,"Cancers",1,"1815751000006117","189509003","291252015","cleansedreadcode"
"B937700","Myelodysplastic Syndrome","106993","Refractory anaemia with ring sideroblasts","Diagnosis of Myelodysplastic syndromes",99,"Cancers",1,"1815761000006115","109998009","2771764017","cleansedreadcode"
"B937800","Myelodysplastic Syndrome","104740","Refractory anaemia with multilineage dysplasia","Diagnosis of Myelodysplastic syndromes",99,"Cancers",1,"2137201000000112","820601000000103","2137201000000112","cleansedreadcode"
"B937900","Myelodysplastic Syndrome","105915","5Q minus syndrome","Diagnosis of Myelodysplastic syndromes",99,"Cancers",1,"2872268016","277597005","2872268016","cleansedreadcode"
"B937911","Myelodysplastic Syndrome","105390","Myelodysplastic syndrome isolated del(5q) chromosomal abnorm","Diagnosis of Myelodysplastic syndromes",99,"Cancers",1,"1815791000006111","277597005","2872270013","cleansedreadcode"
"B937W00","Myelodysplastic Syndrome","45285","Myelodysplastic syndrome, unspecified","Diagnosis of Myelodysplastic syndromes",99,"Cancers",1,"683071000006116","109995007","2659757019","cleansedreadcode"
"B937W11","Myelodysplastic Syndrome","4561","Myelodysplasia","Diagnosis of Myelodysplastic syndromes",99,"Cancers",1,"683051000006114","109995007","174702016","cleansedreadcode"
"B937X00","Myelodysplastic Syndrome","19130","Refractory anaemia, unspecified","Diagnosis of Myelodysplastic syndromes",99,"Cancers",1,"179181000006110","109996008","202875018","cleansedreadcode"
"BBmA.00","Myelodysplastic Syndrome","56756","[M] Refractory anaemia with sideroblasts","Diagnosis of Myelodysplastic syndromes",99,"Cancers",1,"1216006019","128846006","1216006019","cleansedreadcode"
"BBmB.00","Myelodysplastic Syndrome","60186","[M]Refractory anaemia+excess of blasts with transformation","Diagnosis of Myelodysplastic syndromes",99,"Cancers",1,"315831000006119","128848007","1216011017","cleansedreadcode"
"BBmL.00","Myelodysplastic Syndrome","94921","[M] Refractory anaemia with excess of blasts","Diagnosis of Myelodysplastic syndromes",99,"Cancers",1,"1216009014","128847002","1216009014","cleansedreadcode"
"BBv..00","Myelodysplastic Syndrome","7799","[M]Myelodysplastic syndrome","Diagnosis of Myelodysplastic syndromes",99,"Cancers",1,"313331000006110","128623006","1208660014","cleansedreadcode"
"ByuHD00","Myelodysplastic Syndrome","45143","[X]Myelodysplastic syndrome, unspecified","Diagnosis of Myelodysplastic syndromes",99,"Cancers",1,"292274012","109995007","2659757019","cleansedreadcode"
"D213.00","Myelodysplastic Syndrome","16052","Refractory Anaemia","Diagnosis of Myelodysplastic syndromes",99,"Cancers",1,"344913019","109996008","344913019","cleansedreadcode"
