"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Myocardial Infarction",NA,"Acute myocardial infarction of anterior wall",NA,100,"Diseases of the Circulatory System",2,"3381601000006117","54329005","90302019","termsearch"
NA,"Myocardial Infarction",NA,"First myocardial infarction",NA,100,"Diseases of the Circulatory System",2,"932081000006118","932081000006102","932081000006118","termsearch"
NA,"Myocardial Infarction",NA,"Myocardial Infarction",NA,100,"Diseases of the Circulatory System",2,"884151000006119","57054005","884151000006119","termsearch"
NA,"Myocardial Infarction",NA,"Myocardial infarction",NA,100,"Diseases of the Circulatory System",2,"2855301000006112","22298006","37436014","termsearch"
NA,"Myocardial Infarction",NA,"[RFC] Myocardial infarction (MI)",NA,100,"Diseases of the Circulatory System",2,"905351000006113","905351000006109","905351000006113","termsearch"
"","Myocardial Infarction","","coronary thrombosis","Acute MI not further specified (5)",100,"Diseases of the Circulatory System",2,"884141000006116","57054005","884141000006116","description"
"","Myocardial Infarction","","postmyocardial infarction syndrome","History of MI (1)",100,"Diseases of the Circulatory System",2,"3576371000006117","66189004","109915012","originalreadcode"
"323..00","Myocardial Infarction","7783","ECG: myocardial infarction","Acute MI not further specified (5)",100,"Diseases of the Circulatory System",2,"256452010","164865005","256452010","cleansedreadcode"
"3233","Myocardial Infarction","26975","ECG: antero-septal infarct.","Acute MI not further specified (5)",100,"Diseases of the Circulatory System",2,"256455012","164868007","256455012","originalreadcode"
"3234","Myocardial Infarction","26972","ECG:posterior/inferior infarct","Acute MI not further specified (5)",100,"Diseases of the Circulatory System",2,"256457016","164869004","256457016","originalreadcode"
"3235","Myocardial Infarction","55401","ECG: subendocardial infarct","Acute MI not further specified (5)",100,"Diseases of the Circulatory System",2,"256458014","164870003","256458014","originalreadcode"
"3236","Myocardial Infarction","52705","ECG: lateral infarction","Acute MI not further specified (5)",100,"Diseases of the Circulatory System",2,"256459018","164871004","256459018","originalreadcode"
"323Z.00","Myocardial Infarction","59032","ECG: myocardial infarct NOS","Acute MI not further specified (5)",100,"Diseases of the Circulatory System",2,"256460011","164865005","256452010","cleansedreadcode"
"889A.00","Myocardial Infarction","61670","Diab mellit insulin-glucose infus acute myocardial infarct","Acute MI not further specified (5)",100,"Diseases of the Circulatory System",2,"616081000006113","315287002","459791015","cleansedreadcode"
"G30..00","Myocardial Infarction","241","Acute myocardial infarction","Acute MI not further specified (5)",100,"Diseases of the Circulatory System",2,"94884017","57054005","94884017","cleansedreadcode"
"G30..11","Myocardial Infarction","13566","Attack - heart","Possible MI or uncertain date (2)",100,"Diseases of the Circulatory System",2,"219521000000119","22298006","37443015","cleansedreadcode"
"G30..12","Myocardial Infarction","2491","Coronary thrombosis","Acute MI not further specified (5)",100,"Diseases of the Circulatory System",2,"1786197015","398274000","1786197015","cleansedreadcode"
"G30..13","Myocardial Infarction","30421","Cardiac rupture following myocardial infarction (MI)","Acute MI not further specified (5)",100,"Diseases of the Circulatory System",2,"537751000006115","233847009","350383019","cleansedreadcode"
"G30..14","Myocardial Infarction","1204","Heart attack","Possible MI or uncertain date (2)",100,"Diseases of the Circulatory System",2,"37443015","22298006","37443015","cleansedreadcode"
"G30..15","Myocardial Infarction","1677","MI - acute myocardial infarction","Acute MI not further specified (5)",100,"Diseases of the Circulatory System",2,"219531000000117","57054005","94884017","cleansedreadcode"
"G30..16","Myocardial Infarction","13571","Thrombosis - coronary","Acute MI not further specified (5)",100,"Diseases of the Circulatory System",2,"1786198013","398274000","1786198013","cleansedreadcode"
"G30..17","Myocardial Infarction","17689","Silent myocardial infarction","Possible MI or uncertain date (2)",100,"Diseases of the Circulatory System",2,"350376014","233843008","350376014","cleansedreadcode"
"G300.00","Myocardial Infarction","12139","Acute anterolateral infarction","Acute MI not further specified (5)",100,"Diseases of the Circulatory System",2,"455641000006112","70211005","1233238016","cleansedreadcode"
"G301.00","Myocardial Infarction","5387","Other specified anterior myocardial infarction","Acute MI not further specified (5)",100,"Diseases of the Circulatory System",2,"299707016","54329005","1231324017","cleansedreadcode"
"G301000","Myocardial Infarction","40429","Acute anteroapical infarction","Acute MI not further specified (5)",100,"Diseases of the Circulatory System",2,"299708014","52035003","3038718019","cleansedreadcode"
"G301100","Myocardial Infarction","17872","Acute anteroseptal infarction","Acute MI not further specified (5)",100,"Diseases of the Circulatory System",2,"455651000006114","62695002","104192010","cleansedreadcode"
"G301z00","Myocardial Infarction","14897","Anterior myocardial infarction NOS","Acute MI not further specified (5)",100,"Diseases of the Circulatory System",2,"299709018","54329005","1231324017","cleansedreadcode"
"G302.00","Myocardial Infarction","8935","Acute inferolateral infarction","Acute MI not further specified (5)",100,"Diseases of the Circulatory System",2,"457531000006110","65547006","1232697013","cleansedreadcode"
"G303.00","Myocardial Infarction","29643","Acute inferoposterior infarction","Acute MI not further specified (5)",100,"Diseases of the Circulatory System",2,"1234005010","76593002","1234005010","cleansedreadcode"
"G304.00","Myocardial Infarction","23892","Posterior myocardial infarction NOS","Acute MI not further specified (5)",100,"Diseases of the Circulatory System",2,"299710011","233838001","350371016","cleansedreadcode"
"G305.00","Myocardial Infarction","14898","Lateral myocardial infarction NOS","Acute MI not further specified (5)",100,"Diseases of the Circulatory System",2,"299711010","58612006","1231860015","cleansedreadcode"
"G306.00","Myocardial Infarction","63467","True posterior myocardial infarction","Acute MI not further specified (5)",100,"Diseases of the Circulatory System",2,"299712015","194802003","299712015","cleansedreadcode"
"G307.00","Myocardial Infarction","3704","Acute subendocardial infarction","Acute MI not further specified (5)",100,"Diseases of the Circulatory System",2,"116992017","70422006","116992017","cleansedreadcode"
"G307000","Myocardial Infarction","9507","Acute non-Q wave infarction","Acute MI not further specified (5)",100,"Diseases of the Circulatory System",2,"450322013","307140009","450322013","cleansedreadcode"
"G307100","Myocardial Infarction","10562","Acute non-ST segment elevation myocardial infarction","NSTEMI (4)",100,"Diseases of the Circulatory System",2,"1780501013","401314000","1780501013","cleansedreadcode"
"G308.00","Myocardial Infarction","1678","Inferior myocardial infarction NOS","Acute MI not further specified (5)",100,"Diseases of the Circulatory System",2,"299714019","73795002","122557015","cleansedreadcode"
"G309.00","Myocardial Infarction","30330","Acute Q-wave infarct","Acute MI not further specified (5)",100,"Diseases of the Circulatory System",2,"447324018","304914007","447324018","cleansedreadcode"
"G30A.00","Myocardial Infarction","17133","Mural thrombosis","Possible MI or uncertain date (2)",100,"Diseases of the Circulatory System",2,"1235655012","91335003","1235655012","cleansedreadcode"
"G30B.00","Myocardial Infarction","32854","Acute posterolateral myocardial infarction","Acute MI not further specified (5)",100,"Diseases of the Circulatory System",2,"967931000006114","15990001","27071012","cleansedreadcode"
"G30X.00","Myocardial Infarction","29758","Acute transmural myocardial infarction of unspecif site","Acute MI not further specified (5)",100,"Diseases of the Circulatory System",2,"460681000006116","57054005","94884017","cleansedreadcode"
