"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"F246111","Neuropahtic Bladder","30941","Atonic bladder","Diagnosis of Neuromuscular dysfunction of bladder",101,"Diseases of the Genitourinary System",7,"497251000006113","197870000","304231013","cleansedreadcode"
"F246112","Neuropahtic Bladder","5309","Neurogenic bladder","Diagnosis of Neuromuscular dysfunction of bladder",101,"Diseases of the Genitourinary System",7,"676521000006111","398064005","1777632010","cleansedreadcode"
"F246113","Neuropahtic Bladder","37444","Neuropathic bladder","Diagnosis of Neuromuscular dysfunction of bladder",101,"Diseases of the Genitourinary System",7,"675651000006110","398064005","1786083014","cleansedreadcode"
"K164.00","Neuropahtic Bladder","49372","Atony of bladder","Diagnosis of Neuromuscular dysfunction of bladder",101,"Diseases of the Genitourinary System",7,"304232018","197870000","304232018","cleansedreadcode"
"K164.11","Neuropahtic Bladder","11490","Atonic bladder","Diagnosis of Neuromuscular dysfunction of bladder",101,"Diseases of the Genitourinary System",7,"304231013","197870000","304231013","cleansedreadcode"
"K164000","Neuropahtic Bladder","32697","Hypotonic bladder","Diagnosis of Neuromuscular dysfunction of bladder",101,"Diseases of the Genitourinary System",7,"304235016","197871001","304235016","cleansedreadcode"
"K164100","Neuropahtic Bladder","41628","Bladder inertia","Diagnosis of Neuromuscular dysfunction of bladder",101,"Diseases of the Genitourinary System",7,"304236015","197872008","304236015","cleansedreadcode"
"K164z00","Neuropahtic Bladder","56009","Atony of bladder NOS","Diagnosis of Neuromuscular dysfunction of bladder",101,"Diseases of the Genitourinary System",7,"304237012","197870000","304232018","cleansedreadcode"
"K165.00","Neuropahtic Bladder","34452","Other functional disorder of bladder","Diagnosis of Neuromuscular dysfunction of bladder",101,"Diseases of the Genitourinary System",7,"304238019","236632007","354696015","cleansedreadcode"
"K165000","Neuropahtic Bladder","37502","Hypertonic bladder sphincter","Diagnosis of Neuromuscular dysfunction of bladder",101,"Diseases of the Genitourinary System",7,"726691000006119","9009001","15876016","cleansedreadcode"
"K165100","Neuropahtic Bladder","52174","Bladder sphincter paralysis","Diagnosis of Neuromuscular dysfunction of bladder",101,"Diseases of the Genitourinary System",7,"304240012","197876006","304240012","cleansedreadcode"
"K165300","Neuropahtic Bladder","6676","Detrusor instability","Diagnosis of Neuromuscular dysfunction of bladder",101,"Diseases of the Genitourinary System",7,"615711000006112","61033006","2164085015","cleansedreadcode"
"K165400","Neuropahtic Bladder","5993","Unstable bladder","Diagnosis of Neuromuscular dysfunction of bladder",101,"Diseases of the Genitourinary System",7,"72601000006110","61033006","101427019","cleansedreadcode"
"K165z00","Neuropahtic Bladder","25836","Other bladder function disorder NOS","Diagnosis of Neuromuscular dysfunction of bladder",101,"Diseases of the Genitourinary System",7,"304244015","236632007","354695016","cleansedreadcode"
"K16V.00","Neuropahtic Bladder","21278","Neuromuscular dysfunction of bladder, unspecified","Diagnosis of Neuromuscular dysfunction of bladder",101,"Diseases of the Genitourinary System",7,"676861000006115","236632007","354696015","cleansedreadcode"
"K16V000","Neuropahtic Bladder","29881","Neuropathic bladder","Diagnosis of Neuromuscular dysfunction of bladder",101,"Diseases of the Genitourinary System",7,"1786083014","398064005","1786083014","cleansedreadcode"
"K16V011","Neuropahtic Bladder","25398","Neurogenic bladder","Diagnosis of Neuromuscular dysfunction of bladder",101,"Diseases of the Genitourinary System",7,"1777632010","398064005","1777632010","cleansedreadcode"
"K16V100","Neuropahtic Bladder","98192","Overactive bladder","Diagnosis of Neuromuscular dysfunction of bladder",101,"Diseases of the Genitourinary System",7,"2579202017","236633002","2579202017","cleansedreadcode"
"K16W.00","Neuropahtic Bladder","11162","Reflex neuropathic bladder, not elsewhere classified","Diagnosis of Neuromuscular dysfunction of bladder",101,"Diseases of the Genitourinary System",7,"186191000006111","368311000119105","3013158015","cleansedreadcode"
"K16X.00","Neuropahtic Bladder","31097","Uninhibited neuropathic bladder, NEC","Diagnosis of Neuromuscular dysfunction of bladder",101,"Diseases of the Genitourinary System",7,"81021000006113","397732007","1777342015","cleansedreadcode"
"K16y400","Neuropahtic Bladder","887","Irritable bladder","Diagnosis of Neuromuscular dysfunction of bladder",101,"Diseases of the Genitourinary System",7,"2162415015","61033006","101427019","cleansedreadcode"
"K16y411","Neuropahtic Bladder","2248","Detrusor instability","Diagnosis of Neuromuscular dysfunction of bladder",101,"Diseases of the Genitourinary System",7,"2164085015","61033006","2164085015","cleansedreadcode"
"K16y412","Neuropahtic Bladder","31318","Unstable bladder","Diagnosis of Neuromuscular dysfunction of bladder",101,"Diseases of the Genitourinary System",7,"2162416019","61033006","101427019","cleansedreadcode"
"K16y800","Neuropahtic Bladder","7680","Functional disorder of bladder","Diagnosis of Neuromuscular dysfunction of bladder",101,"Diseases of the Genitourinary System",7,"354696015","236632007","354696015","cleansedreadcode"
"K16y811","Neuropahtic Bladder","4998","Functional voiding disorder","Diagnosis of Neuromuscular dysfunction of bladder",101,"Diseases of the Genitourinary System",7,"354695016","236632007","354695016","cleansedreadcode"
"Kyu5200","Neuropahtic Bladder","108426","[X]Other neuromuscular dysfunction of bladder","Diagnosis of Neuromuscular dysfunction of bladder",101,"Diseases of the Genitourinary System",7,"305204015","397732007","1777342015","cleansedreadcode"
"Kyu5E00","Neuropahtic Bladder","90866","[X]Neuromuscular dysfunction of bladder, unspecified","Diagnosis of Neuromuscular dysfunction of bladder",101,"Diseases of the Genitourinary System",7,"305216014","236632007","354696015","cleansedreadcode"
