"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Non-Hodgkin Lymphoma",NA,"Non hodgkin lymphoma",NA,102,"Cancers",1,"853831000006113","853831000006109","853831000006113","termsearch"
"","Non-Hodgkin Lymphoma","","[m] monocytoid b-cell lymphoma","Diagnosis of Non-Hodgkin Lymphoma",102,"Cancers",1,"12455741000006118","128803008","304151000006118","originalreadcode"
"","Non-Hodgkin Lymphoma","","[m]reticulosarcoma nos","Diagnosis of Non-Hodgkin Lymphoma",102,"Cancers",1,"291923012","189982000","291923012","description"
"","Non-Hodgkin Lymphoma","","angioimmunoblastic t-cell lymphoma","Diagnosis of Non-Hodgkin Lymphoma",102,"Cancers",1,"2511731000006112","835009","2532600012","originalreadcode"
"","Non-Hodgkin Lymphoma","","burkitt's lymphoma","Diagnosis of Non-Hodgkin Lymphoma",102,"Cancers",1,"3758731000006118","77381001","128441011","originalreadcode"
"","Non-Hodgkin Lymphoma","","cutaneous follicle centre lymphoma","Diagnosis of Non-Hodgkin Lymphoma",102,"Cancers",1,"2734791000000113","1091861000000100","2734791000000113","originalreadcode"
"","Non-Hodgkin Lymphoma","","cutaneous t-cell lymphoma","Diagnosis of Non-Hodgkin Lymphoma",102,"Cancers",1,"2950311000006114","28054005","196644012","originalreadcode"
"","Non-Hodgkin Lymphoma","","diffuse large b-cell lymphoma","Diagnosis of Non-Hodgkin Lymphoma",102,"Cancers",1,"3255181000006119","46732000","198006010","originalreadcode"
"","Non-Hodgkin Lymphoma","","malignant lymphoma nos of intra-abdominal lymph nodes","Diagnosis of Non-Hodgkin Lymphoma",102,"Cancers",1,"11925921000006110","118600007","728741000006116","originalreadcode"
"","Non-Hodgkin Lymphoma","","malignant lymphoma nos of intrapelvic lymph nodes","Diagnosis of Non-Hodgkin Lymphoma",102,"Cancers",1,"11925931000006113","118600007","728751000006119","originalreadcode"
"","Non-Hodgkin Lymphoma","","malignant lymphoma nos of intrathoracic lymph nodes","Diagnosis of Non-Hodgkin Lymphoma",102,"Cancers",1,"11925941000006115","118600007","728761000006117","originalreadcode"
"","Non-Hodgkin Lymphoma","","malignant lymphoma nos of lymph node inguinal region and leg","Diagnosis of Non-Hodgkin Lymphoma",102,"Cancers",1,"11925951000006118","118600007","728771000006112","originalreadcode"
"","Non-Hodgkin Lymphoma","","malignant lymphoma nos of lymph nodes of axilla and arm","Diagnosis of Non-Hodgkin Lymphoma",102,"Cancers",1,"11925961000006116","118600007","728781000006110","originalreadcode"
"","Non-Hodgkin Lymphoma","","malignant lymphoma nos of lymph nodes of head, face and neck","Diagnosis of Non-Hodgkin Lymphoma",102,"Cancers",1,"11925971000006111","118600007","728791000006113","originalreadcode"
"","Non-Hodgkin Lymphoma","","malignant lymphoma nos of lymph nodes of multiple sites","Diagnosis of Non-Hodgkin Lymphoma",102,"Cancers",1,"11925981000006114","118600007","728801000006114","originalreadcode"
"","Non-Hodgkin Lymphoma","","malignant lymphoma nos of spleen","Diagnosis of Non-Hodgkin Lymphoma",102,"Cancers",1,"11926001000006113","118600007","729261000006115","originalreadcode"
"","Non-Hodgkin Lymphoma","","mantle cell lymphoma","Diagnosis of Non-Hodgkin Lymphoma",102,"Cancers",1,"3713291000006112","74654000","123978016","originalreadcode"
"","Non-Hodgkin Lymphoma","","non-hodgkin lymphoma","Diagnosis of Non-Hodgkin Lymphoma",102,"Cancers",1,"4309411000006119","118601006","2839871014","originalreadcode"
"","Non-Hodgkin Lymphoma","","sezary's disease","Diagnosis of Non-Hodgkin Lymphoma",102,"Cancers",1,"2578371000006114","4950009","9269011","originalreadcode"
"","Non-Hodgkin Lymphoma","","t/nk-cell lymphoma","Diagnosis of Non-Hodgkin Lymphoma",102,"Cancers",1,"4415771000006112","128805001","207325017","originalreadcode"
"","Non-Hodgkin Lymphoma","","t/nk-cell lymphoma","Diagnosis of Non-Hodgkin Lymphoma",102,"Cancers",1,"6853321000006116","414166008","2871697012","originalreadcode"
"A789600","Non-Hodgkin Lymphoma","44617","HIV disease resulting in Burkitt's lymphoma","Diagnosis of Non-Hodgkin Lymphoma",102,"Cancers",1,"287029018","713897006","3297968018","cleansedreadcode"
"A789700","Non-Hodgkin Lymphoma","66367","HIV dis resulting oth types of non-Hodgkin's lymphoma","Diagnosis of Non-Hodgkin Lymphoma",102,"Cancers",1,"825721000006115","442537007","2816358010","cleansedreadcode"
"AyuC600","Non-Hodgkin Lymphoma","69767","[X]HIV disease resulting in other non-Hodgkin's lymphoma","Diagnosis of Non-Hodgkin Lymphoma",102,"Cancers",1,"288182013","442537007","2816358010","cleansedreadcode"
"B60..00","Non-Hodgkin Lymphoma","41369","Lymphosarcoma and reticulosarcoma","Diagnosis of Non-Hodgkin Lymphoma",102,"Cancers",1,"289580016","188487008","289580016","cleansedreadcode"
"B600.00","Non-Hodgkin Lymphoma","1481","Reticulosarcoma","Diagnosis of Non-Hodgkin Lymphoma",102,"Cancers",1,"1211679013","373168002","1211679013","cleansedreadcode"
"B600000","Non-Hodgkin Lymphoma","60242","Reticulosarcoma of unspecified site","Diagnosis of Non-Hodgkin Lymphoma",102,"Cancers",1,"289581017","373168002","1211679013","cleansedreadcode"
"B600100","Non-Hodgkin Lymphoma","71031","Reticulosarcoma of lymph nodes of head, face and neck","Diagnosis of Non-Hodgkin Lymphoma",102,"Cancers",1,"289582012","188489006","289582012","cleansedreadcode"
"B600300","Non-Hodgkin Lymphoma","70374","Reticulosarcoma of intra-abdominal lymph nodes","Diagnosis of Non-Hodgkin Lymphoma",102,"Cancers",1,"157745018","95224004","157745018","cleansedreadcode"
"B600700","Non-Hodgkin Lymphoma","95058","Reticulosarcoma of spleen","Diagnosis of Non-Hodgkin Lymphoma",102,"Cancers",1,"157752016","95231000","157752016","cleansedreadcode"
"B600z00","Non-Hodgkin Lymphoma","99240","Reticulosarcoma NOS","Diagnosis of Non-Hodgkin Lymphoma",102,"Cancers",1,"289590012","373168002","1211679013","cleansedreadcode"
"B601.00","Non-Hodgkin Lymphoma","27416","Lymphosarcoma","Diagnosis of Non-Hodgkin Lymphoma",102,"Cancers",1,"289591011","188498009","289591011","cleansedreadcode"
"B601000","Non-Hodgkin Lymphoma","71625","Lymphosarcoma of unspecified site","Diagnosis of Non-Hodgkin Lymphoma",102,"Cancers",1,"289592016","188498009","289591011","cleansedreadcode"
"B601100","Non-Hodgkin Lymphoma","71238","Lymphosarcoma of lymph nodes of head, face and neck","Diagnosis of Non-Hodgkin Lymphoma",102,"Cancers",1,"289593014","188500005","289593014","cleansedreadcode"
"B601200","Non-Hodgkin Lymphoma","62380","Lymphosarcoma of intrathoracic lymph nodes","Diagnosis of Non-Hodgkin Lymphoma",102,"Cancers",1,"289594015","188501009","289594015","cleansedreadcode"
