"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"","Nonrheumatic aortic valve disorders","","aortic stenosis","Diagnosis of Nonrheumatic aortic valve disorders",103,"Diseases of the Circulatory System",2,"11927251000006117","60573004","1232103019","originalreadcode"
"","Nonrheumatic aortic valve disorders","","aortic valve disorders nos","Diagnosis of Nonrheumatic aortic valve disorders",103,"Diseases of the Circulatory System",2,"12729191000006119","700331000000109","1530861000000115","originalreadcode"
"G541.00","Nonrheumatic aortic valve disorders","4548","Aortic valve disorders","Diagnosis of Nonrheumatic aortic valve disorders",103,"Diseases of the Circulatory System",2,"488521000006118","8722008","1235209017","cleansedreadcode"
"G541000","Nonrheumatic aortic valve disorders","14998","Aortic incompetence, non-rheumatic","Diagnosis of Nonrheumatic aortic valve disorders",103,"Diseases of the Circulatory System",2,"299985016","194983005","299985016","cleansedreadcode"
"G541011","Nonrheumatic aortic valve disorders","47887","Aortic insufficiency, non-rheumatic","Diagnosis of Nonrheumatic aortic valve disorders",103,"Diseases of the Circulatory System",2,"299987012","194983005","299987012","cleansedreadcode"
"G541012","Nonrheumatic aortic valve disorders","10187","Aortic regurgitation, non-rheumatic","Diagnosis of Nonrheumatic aortic valve disorders",103,"Diseases of the Circulatory System",2,"299986015","194983005","299986015","cleansedreadcode"
"G541100","Nonrheumatic aortic valve disorders","999","Aortic stenosis, non-rheumatic","Diagnosis of Nonrheumatic aortic valve disorders",103,"Diseases of the Circulatory System",2,"299988019","194984004","299988019","cleansedreadcode"
"G541200","Nonrheumatic aortic valve disorders","1007","Aortic incompetence alone, cause unspecified","Diagnosis of Nonrheumatic aortic valve disorders",103,"Diseases of the Circulatory System",2,"299989010","60234000","100055018","cleansedreadcode"
"G541211","Nonrheumatic aortic valve disorders","58810","Aortic insufficiency alone, cause unspecified","Diagnosis of Nonrheumatic aortic valve disorders",103,"Diseases of the Circulatory System",2,"1222314017","60234000","100055018","cleansedreadcode"
"G541212","Nonrheumatic aortic valve disorders","1005","Aortic regurgitation alone, cause unspecified","Diagnosis of Nonrheumatic aortic valve disorders",103,"Diseases of the Circulatory System",2,"1222315016","60234000","100055018","cleansedreadcode"
"G541300","Nonrheumatic aortic valve disorders","2343","Aortic stenosis alone, cause unspecified","Diagnosis of Nonrheumatic aortic valve disorders",103,"Diseases of the Circulatory System",2,"299990018","60573004","100633013","cleansedreadcode"
"G541400","Nonrheumatic aortic valve disorders","10964","Aortic valve stenosis with insufficiency","Diagnosis of Nonrheumatic aortic valve disorders",103,"Diseases of the Circulatory System",2,"299991019","194987006","299991019","cleansedreadcode"
"G541500","Nonrheumatic aortic valve disorders","9591","Aortic stenosis","Diagnosis of Nonrheumatic aortic valve disorders",103,"Diseases of the Circulatory System",2,"1232103019","60573004","100633013","cleansedreadcode"
"G541600","Nonrheumatic aortic valve disorders","30610","Aortic valve sclerosis","Diagnosis of Nonrheumatic aortic valve disorders",103,"Diseases of the Circulatory System",2,"112523010","67754003","112523010","cleansedreadcode"
"G541700","Nonrheumatic aortic valve disorders","49185","Aortic valve calcification","Diagnosis of Nonrheumatic aortic valve disorders",103,"Diseases of the Circulatory System",2,"374104011","250978003","374104011","cleansedreadcode"
"G541z00","Nonrheumatic aortic valve disorders","19019","Aortic valve disorders NOS","Diagnosis of Nonrheumatic aortic valve disorders",103,"Diseases of the Circulatory System",2,"299992014","8722008","15387019","cleansedreadcode"
"Gyu1100","Nonrheumatic aortic valve disorders","94521","[X]Other rheumatic aortic valve diseases","Diagnosis of Nonrheumatic aortic valve disorders",103,"Diseases of the Circulatory System",2,"300864010","12023003","20718019","cleansedreadcode"
"Gyu5600","Nonrheumatic aortic valve disorders","49272","[X]Other aortic valve disorders","Diagnosis of Nonrheumatic aortic valve disorders",103,"Diseases of the Circulatory System",2,"300893010","8722008","15387019","cleansedreadcode"
"Gyu5A00","Nonrheumatic aortic valve disorders","71004","[X]Aortic valve disorders in diseases classified elsewhere","Diagnosis of Nonrheumatic aortic valve disorders",103,"Diseases of the Circulatory System",2,"300897011","8722008","15387019","cleansedreadcode"
