"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"G11..00","Nonrheumatic mitral valve disorders","1267","Mitral valve diseases","Diagnosis of Nonrheumatic mitral valve disorders",104,"Diseases of the Circulatory System",2,"219511000000113","11851006","444757013","cleansedreadcode"
"G114.00","Nonrheumatic mitral valve disorders","57633","Ruptured mitral valve cusp","Diagnosis of Nonrheumatic mitral valve disorders",104,"Diseases of the Circulatory System",2,"159271000006119","251003004","374137013","cleansedreadcode"
"G11z.00","Nonrheumatic mitral valve disorders","30443","Mitral valve disease NOS","Diagnosis of Nonrheumatic mitral valve disorders",104,"Diseases of the Circulatory System",2,"299596016","11851006","444757013","cleansedreadcode"
"G540.00","Nonrheumatic mitral valve disorders","2977","Mitral valve incompetence","Diagnosis of Nonrheumatic mitral valve disorders",104,"Diseases of the Circulatory System",2,"81191015","48724000","81193017","cleansedreadcode"
"G540.12","Nonrheumatic mitral valve disorders","40949","Mitral valve insufficiency","Diagnosis of Nonrheumatic mitral valve disorders",104,"Diseases of the Circulatory System",2,"81192010","48724000","81192010","cleansedreadcode"
"G540.14","Nonrheumatic mitral valve disorders","9450","Mitral valve regurgitation","Diagnosis of Nonrheumatic mitral valve disorders",104,"Diseases of the Circulatory System",2,"81186016","48724000","81186016","cleansedreadcode"
"G540.15","Nonrheumatic mitral valve disorders","1294","Mitral valve prolapse","Diagnosis of Nonrheumatic mitral valve disorders",104,"Diseases of the Circulatory System",2,"700891000006114","409712001","2471474013","cleansedreadcode"
"G540.16","Nonrheumatic mitral valve disorders","561","Mitral regurgitation","Diagnosis of Nonrheumatic mitral valve disorders",104,"Diseases of the Circulatory System",2,"81193017","48724000","81193017","cleansedreadcode"
"G540000","Nonrheumatic mitral valve disorders","5058","Mitral incompetence, non-rheumatic","Diagnosis of Nonrheumatic mitral valve disorders",104,"Diseases of the Circulatory System",2,"299980014","194978002","299980014","cleansedreadcode"
"G540100","Nonrheumatic mitral valve disorders","34240","Mitral incompetence, cause unspecified","Diagnosis of Nonrheumatic mitral valve disorders",104,"Diseases of the Circulatory System",2,"299981013","48724000","81186016","cleansedreadcode"
"G540200","Nonrheumatic mitral valve disorders","31839","Mitral valve prolapse","Diagnosis of Nonrheumatic mitral valve disorders",104,"Diseases of the Circulatory System",2,"2471474013","409712001","2471474013","cleansedreadcode"
"G540300","Nonrheumatic mitral valve disorders","39916","Mitral valve leaf prolapse","Diagnosis of Nonrheumatic mitral valve disorders",104,"Diseases of the Circulatory System",2,"374120018","250989005","374120018","cleansedreadcode"
"G540z00","Nonrheumatic mitral valve disorders","24557","Mitral valve disorders NOS","Diagnosis of Nonrheumatic mitral valve disorders",104,"Diseases of the Circulatory System",2,"299984017","11851006","20449013","cleansedreadcode"
"Gyu1000","Nonrheumatic mitral valve disorders","53756","[X]Other mitral valve diseases","Diagnosis of Nonrheumatic mitral valve disorders",104,"Diseases of the Circulatory System",2,"300863016","11851006","20449013","cleansedreadcode"
"Gyu5500","Nonrheumatic mitral valve disorders","98560","[X]Other nonrheumatic mitral valve disorders","Diagnosis of Nonrheumatic mitral valve disorders",104,"Diseases of the Circulatory System",2,"412241000006110","11851006","20449013","cleansedreadcode"
"","Nonrheumatic mitral valve disorders","","mitral valve disease nos","Diagnosis of Nonrheumatic mitral valve disorders",104,"Diseases of the Circulatory System",2,"12726471000006118","639451000000102","1408371000000116","originalreadcode"
"","Nonrheumatic mitral valve disorders","","mitral valve incompetence","Diagnosis of Nonrheumatic mitral valve disorders",104,"Diseases of the Circulatory System",2,"3288481000006112","48724000","81191015","originalreadcode"
