"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Obesity",NA,"Has seen dietitian - obesity",NA,105,"Diseases of the Endocrine System",5,"4636861000006111","170797005","264755013","termsearch"
NA,"Obesity",NA,"Moderately obese",NA,105,"Diseases of the Endocrine System",5,"857321000006113","857321000006109","857321000006113","termsearch"
NA,"Obesity",NA,"Very obese",NA,105,"Diseases of the Endocrine System",5,"857911000006118","857911000006102","857911000006118","termsearch"
"","Obesity","","adult-onset obesity","Diagnosis of Obesity",105,"Diseases of the Endocrine System",5,"1749491000006112","1749491000006108","1749491000006112","originalreadcode"
"","Obesity","","lifelong obesity","Diagnosis of Obesity",105,"Diseases of the Endocrine System",5,"1749501000006116","1749501000006100","1749501000006116","originalreadcode"
"","Obesity","","obesity and other hyperalimentation","Diagnosis of Obesity",105,"Diseases of the Endocrine System",5,"12726701000006119","640791000000105","1411051000000119","originalreadcode"
"","Obesity","","refuses obesity monitoring","History of Obesity",105,"Diseases of the Endocrine System",5,"1572931000006113","1572931000006109","1572931000006113","originalreadcode"
"212Q.00","Obesity","52703","Obesity resolved","History of Obesity",105,"Diseases of the Endocrine System",5,"298511000000116","198181000000102","298511000000116","cleansedreadcode"
"222A.00","Obesity","59780","O/E - obese","Diagnosis of Obesity",105,"Diseases of the Endocrine System",5,"280881000006115","162690006","253576010","cleansedreadcode"
"22A5.11","Obesity","7984","O/E - obese","Diagnosis of Obesity",105,"Diseases of the Endocrine System",5,"253576010","162690006","253576010","cleansedreadcode"
"22K5.00","Obesity","13278","Body mass index 30+ - obesity","Diagnosis of Obesity",105,"Diseases of the Endocrine System",5,"253848011","162864005","253848011","cleansedreadcode"
"22K7.00","Obesity","22556","Body mass index 40+ - severely obese","Diagnosis of Obesity",105,"Diseases of the Endocrine System",5,"2160062010","408512008","2160062010","cleansedreadcode"
"66C..00","Obesity","11461","Obesity monitoring","History of Obesity",105,"Diseases of the Endocrine System",5,"401534016","268522006","401534016","cleansedreadcode"
"66C1.00","Obesity","38658","Initial obesity assessment","Diagnosis of Obesity",105,"Diseases of the Endocrine System",5,"264752011","170794003","264752011","cleansedreadcode"
"66C2.00","Obesity","29538","Follow-up obesity assessment","History of Obesity",105,"Diseases of the Endocrine System",5,"264753018","170795002","264753018","cleansedreadcode"
"66C4.00","Obesity","3176","Has seen dietician - obesity","Diagnosis of Obesity",105,"Diseases of the Endocrine System",5,"264756014","170797005","264756014","cleansedreadcode"
"66C5.00","Obesity","64712","Treatment of obesity changed","Diagnosis of Obesity",105,"Diseases of the Endocrine System",5,"264757017","170798000","264757017","cleansedreadcode"
"66C6.00","Obesity","38632","Treatment of obesity started","Diagnosis of Obesity",105,"Diseases of the Endocrine System",5,"264758010","170799008","264758010","cleansedreadcode"
