"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Obsessive-compulsive disorder",NA,"OCD - Obsessive-compulsive disorder",NA,106,"Mental Health Disorders",11,"4764871000006114","191736004","295013013","termsearch"
NA,"Obsessive-compulsive disorder",NA,"Obsessional compulsive psychosis",NA,106,"Mental Health Disorders",11,"853201000006116","853201000006100","853201000006116","termsearch"
NA,"Obsessive-compulsive disorder",NA,"Obsessive compulsive behaviour",NA,106,"Mental Health Disorders",11,"2698651000006111","12479006","1215917012","termsearch"
"E203.00","Obsessive-compulsive disorder","3208","Obsessive-compulsive disorders","Diagnosis of Obsessive-compulsive disorder",106,"Mental Health Disorders",11,"269821000006113","191736004","295014019","cleansedreadcode"
"E203.11","Obsessive-compulsive disorder","47365","Anancastic neurosis","Diagnosis of Obsessive-compulsive disorder",106,"Mental Health Disorders",11,"295011010","191736004","295011010","cleansedreadcode"
"E203000","Obsessive-compulsive disorder","5678","Compulsive neurosis","Diagnosis of Obsessive-compulsive disorder",106,"Mental Health Disorders",11,"295015018","191737008","295015018","cleansedreadcode"
"E203100","Obsessive-compulsive disorder","2030","Obsessional neurosis","Diagnosis of Obsessive-compulsive disorder",106,"Mental Health Disorders",11,"295016017","191738003","295016017","cleansedreadcode"
"E203z00","Obsessive-compulsive disorder","15566","Obsessive-compulsive disorder NOS","Diagnosis of Obsessive-compulsive disorder",106,"Mental Health Disorders",11,"295017014","191736004","295014019","cleansedreadcode"
"Eu42.00","Obsessive-compulsive disorder","5304","[X]Obsessive - compulsive disorder","Diagnosis of Obsessive-compulsive disorder",106,"Mental Health Disorders",11,"400321000006113","191736004","295014019","cleansedreadcode"
"Eu42.11","Obsessive-compulsive disorder","24251","[X]Anankastic neurosis","Diagnosis of Obsessive-compulsive disorder",106,"Mental Health Disorders",11,"363211000006112","191736004","295012015","cleansedreadcode"
"Eu42.12","Obsessive-compulsive disorder","21836","[X]Obsessive-compulsive neurosis","Diagnosis of Obsessive-compulsive disorder",106,"Mental Health Disorders",11,"400341000006118","191736004","295014019","cleansedreadcode"
"Eu42000","Obsessive-compulsive disorder","20634","[X]Predominantly obsessional thoughts or ruminations","Diagnosis of Obsessive-compulsive disorder",106,"Mental Health Disorders",11,"296251011","67698009","500817017","cleansedreadcode"
"Eu42100","Obsessive-compulsive disorder","22019","[X]Predominantly compulsive acts [obsessional rituals]","Diagnosis of Obsessive-compulsive disorder",106,"Mental Health Disorders",11,"296252016","67431008","500730010","cleansedreadcode"
"Eu42200","Obsessive-compulsive disorder","18399","[X]Mixed obsessional thoughts and acts","Diagnosis of Obsessive-compulsive disorder",106,"Mental Health Disorders",11,"296253014","191736004","295011010","cleansedreadcode"
"Eu42y00","Obsessive-compulsive disorder","38809","[X]Other obsessive-compulsive disorders","Diagnosis of Obsessive-compulsive disorder",106,"Mental Health Disorders",11,"296254015","191736004","295014019","cleansedreadcode"
"Eu42z00","Obsessive-compulsive disorder","22721","[X]Obsessive-compulsive disorder, unspecified","Diagnosis of Obsessive-compulsive disorder",106,"Mental Health Disorders",11,"296255019","191736004","295014019","cleansedreadcode"
