"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"","Obstructive and reflux uropathy","","hydronephrosis with renal and ureteral calculous obstruction","Diagnosis of Obstructive and reflux uropathy",107,"Diseases of the Genitourinary System",7,"12489211000006117","736640009","830021000006113","originalreadcode"
"K11..00","Obstructive and reflux uropathy","3277","Hydronephrosis","Diagnosis of Obstructive and reflux uropathy",107,"Diseases of the Genitourinary System",7,"71850014","43064006","71850014","cleansedreadcode"
"K110.00","Obstructive and reflux uropathy","2420","Hydrocalycosis","Diagnosis of Obstructive and reflux uropathy",107,"Diseases of the Genitourinary System",7,"118091018","71110009","118091018","cleansedreadcode"
"K111.00","Obstructive and reflux uropathy","17778","Hydroureteronephrosis","Diagnosis of Obstructive and reflux uropathy",107,"Diseases of the Genitourinary System",7,"66749015","40068008","66749015","cleansedreadcode"
"K112.00","Obstructive and reflux uropathy","27592","Hydronephrosis with renal and ureteral calculous obstruction","Diagnosis of Obstructive and reflux uropathy",107,"Diseases of the Genitourinary System",7,"304094012","736640009","3520573015","cleansedreadcode"
"K113.00","Obstructive and reflux uropathy","10410","Hydronephrosis with ureteropelvic junction obstruction","Diagnosis of Obstructive and reflux uropathy",107,"Diseases of the Genitourinary System",7,"454285016","310670008","454285016","cleansedreadcode"
"K113.11","Obstructive and reflux uropathy","8522","Hydronephrosis with pelviureteric junction obstruction","Diagnosis of Obstructive and reflux uropathy",107,"Diseases of the Genitourinary System",7,"454284017","310670008","454284017","cleansedreadcode"
"K11X.00","Obstructive and reflux uropathy","28159","Hydronephrosis with ureteral stricture NEC","Diagnosis of Obstructive and reflux uropathy",107,"Diseases of the Genitourinary System",7,"830031000006111","43064006","71850014","cleansedreadcode"
"K11z.00","Obstructive and reflux uropathy","27302","Hydronephrosis NOS","Diagnosis of Obstructive and reflux uropathy",107,"Diseases of the Genitourinary System",7,"304097017","43064006","71850014","cleansedreadcode"
"K133.00","Obstructive and reflux uropathy","3485","Stricture of ureter","Diagnosis of Obstructive and reflux uropathy",107,"Diseases of the Genitourinary System",7,"42488011","25341005","42488011","cleansedreadcode"
"K133000","Obstructive and reflux uropathy","48616","Postoperative ureteric constriction","Diagnosis of Obstructive and reflux uropathy",107,"Diseases of the Genitourinary System",7,"304129012","197805009","304129012","cleansedreadcode"
"K133100","Obstructive and reflux uropathy","4890","Stricture of pelviureteric junction","Diagnosis of Obstructive and reflux uropathy",107,"Diseases of the Genitourinary System",7,"60725010","36388008","60725010","cleansedreadcode"
"K133z00","Obstructive and reflux uropathy","15835","Stricture of ureter NOS","Diagnosis of Obstructive and reflux uropathy",107,"Diseases of the Genitourinary System",7,"304131015","25341005","42488011","cleansedreadcode"
"K134.00","Obstructive and reflux uropathy","6792","Other ureteric obstruction","Diagnosis of Obstructive and reflux uropathy",107,"Diseases of the Genitourinary System",7,"304132010","20018005","33693011","cleansedreadcode"
"K134000","Obstructive and reflux uropathy","15688","Idiopathic retroperitoneal fibrosis","Diagnosis of Obstructive and reflux uropathy",107,"Diseases of the Genitourinary System",7,"81833016","197808006","304135012","cleansedreadcode"
"K134z00","Obstructive and reflux uropathy","2365","Occlusion of ureter NOS","Diagnosis of Obstructive and reflux uropathy",107,"Diseases of the Genitourinary System",7,"304136013","20018005","33693011","cleansedreadcode"
"K135.00","Obstructive and reflux uropathy","31841","Hydroureter","Diagnosis of Obstructive and reflux uropathy",107,"Diseases of the Genitourinary System",7,"512205011","69758005","115874017","cleansedreadcode"
"K137.00","Obstructive and reflux uropathy","2421","Vesicoureteric reflux","Diagnosis of Obstructive and reflux uropathy",107,"Diseases of the Genitourinary System",7,"304138014","197811007","304138014","cleansedreadcode"
"K137.11","Obstructive and reflux uropathy","4443","Ureteric reflux","Diagnosis of Obstructive and reflux uropathy",107,"Diseases of the Genitourinary System",7,"304140016","197811007","304140016","cleansedreadcode"
"K196.00","Obstructive and reflux uropathy","8877","Urinary obstruction unspecified","Diagnosis of Obstructive and reflux uropathy",107,"Diseases of the Genitourinary System",7,"396728011","7163005","12812019","cleansedreadcode"
"K196.11","Obstructive and reflux uropathy","12095","Obstructive uropathy, unspecified","Diagnosis of Obstructive and reflux uropathy",107,"Diseases of the Genitourinary System",7,"267921000006110","7163005","12812019","cleansedreadcode"
"Kyu1100","Obstructive and reflux uropathy","72621","[X]Other and unspecified hydronephrosis","Diagnosis of Obstructive and reflux uropathy",107,"Diseases of the Genitourinary System",7,"305173019","43064006","71850014","cleansedreadcode"
"Kyu1200","Obstructive and reflux uropathy","107866","[X]Other obstructive and reflux uropathy","Diagnosis of Obstructive and reflux uropathy",107,"Diseases of the Genitourinary System",7,"305174013","7163005","12812019","cleansedreadcode"
"Kyu1300","Obstructive and reflux uropathy","105941","[X]Obstructive and reflux uropathy, unspecified","Diagnosis of Obstructive and reflux uropathy",107,"Diseases of the Genitourinary System",7,"305175014","7163005","12812019","cleansedreadcode"
"Kyu1F00","Obstructive and reflux uropathy","98067","[X]Hydronephrosis with ureteral stricture NEC","Diagnosis of Obstructive and reflux uropathy",107,"Diseases of the Genitourinary System",7,"305189016","43064006","71850014","cleansedreadcode"
