"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"7609300","Oesophageal varices","43404","Local ligation of oesophageal varices","Procedure for Oesophageal varices",108,"Diseases of the Digestive System",3,"737961000006116","67364009","199882015","cleansedreadcode"
"7609400","Oesophageal varices","20912","Open injection sclerotherapy to oesophageal varices","Procedure for Oesophageal varices",108,"Diseases of the Digestive System",3,"268819017","173621008","268819017","cleansedreadcode"
"7609y00","Oesophageal varices","107975","Other specified open operation on oesophageal varices","Procedure for Oesophageal varices",108,"Diseases of the Digestive System",3,"394102015","173617001","268812014","cleansedreadcode"
"7609y11","Oesophageal varices","62038","Tanner devascularisation for bleeding varices","Procedure for Oesophageal varices",108,"Diseases of the Digestive System",3,"114801000006118","173617001","268812014","cleansedreadcode"
"7609z00","Oesophageal varices","20233","Open operation on oesophageal varices NOS","Procedure for Oesophageal varices",108,"Diseases of the Digestive System",3,"268827014","173617001","268812014","cleansedreadcode"
"760C300","Oesophageal varices","11960","Fibreoptic endoscopic injection sclerotherapy oesoph varices","Procedure for Oesophageal varices",108,"Diseases of the Digestive System",3,"708811000006119","173639004","268880013","cleansedreadcode"
"760C500","Oesophageal varices","16759","Fibreoptic endoscopic banding of oesophageal varices","Procedure for Oesophageal varices",108,"Diseases of the Digestive System",3,"268885015","173641003","268885015","cleansedreadcode"
"760F300","Oesophageal varices","47214","Rigid oesophagoscopic injection sclerotherapy oesoph varices","Procedure for Oesophageal varices",108,"Diseases of the Digestive System",3,"163571000006112","173660005","268950019","cleansedreadcode"
"760F400","Oesophageal varices","46647","Rigid oesophagoscopic banding of oesophageal varices","Procedure for Oesophageal varices",108,"Diseases of the Digestive System",3,"268957016","173661009","268957016","cleansedreadcode"
"761D800","Oesophageal varices","89717","Fibreopt endoscop rubber band ligation of upper GIT varices","Procedure for Oesophageal varices",108,"Diseases of the Digestive System",3,"1544611000006117","426841006","2676215014","cleansedreadcode"
"G85..11","Oesophageal varices","1641","Oesophageal varices","Diagnosis of Oesophageal varices",108,"Diseases of the Digestive System",3,"48003016","28670008","48003016","cleansedreadcode"
"G850.00","Oesophageal varices","24989","Oesophageal varices with bleeding","Diagnosis of Oesophageal varices",108,"Diseases of the Digestive System",3,"1216060010","17709002","1216060010","cleansedreadcode"
"G851.00","Oesophageal varices","30655","Oesophageal varices without bleeding","Diagnosis of Oesophageal varices",108,"Diseases of the Digestive System",3,"24192017","14223005","24192017","cleansedreadcode"
"G852.00","Oesophageal varices","44424","Oesophageal varices in diseases EC","Diagnosis of Oesophageal varices",108,"Diseases of the Digestive System",3,"300775019","195474004","300775019","cleansedreadcode"
"G852000","Oesophageal varices","96756","Oesophageal varices with bleeding in diseases EC","Diagnosis of Oesophageal varices",108,"Diseases of the Digestive System",3,"300776018","195475003","300776018","cleansedreadcode"
"G852100","Oesophageal varices","73139","Oesophageal varices without bleeding in diseases EC","Diagnosis of Oesophageal varices",108,"Diseases of the Digestive System",3,"300779013","195476002","300779013","cleansedreadcode"
"G852200","Oesophageal varices","26319","Oesophageal varices in cirrhosis of the liver","Diagnosis of Oesophageal varices",108,"Diseases of the Digestive System",3,"451442010","308129003","451442010","cleansedreadcode"
"G852300","Oesophageal varices","8363","Oesophageal varices in alcoholic cirrhosis of the liver","Diagnosis of Oesophageal varices",108,"Diseases of the Digestive System",3,"453265010","309783001","453265010","cleansedreadcode"
"G852z00","Oesophageal varices","62582","Oesophageal varices in diseases EC NOS","Diagnosis of Oesophageal varices",108,"Diseases of the Digestive System",3,"300784019","195474004","300774015","cleansedreadcode"
"G858.00","Oesophageal varices","10797","Oesophageal varices NOS","Diagnosis of Oesophageal varices",108,"Diseases of the Digestive System",3,"456800015","28670008","48003016","cleansedreadcode"
"Gyu9400","Oesophageal varices","105611","[X]Oesophageal varices in diseases classified elsewhere","Diagnosis of Oesophageal varices",108,"Diseases of the Digestive System",3,"300993011","28670008","48000018","cleansedreadcode"
"7609","Oesophageal varices","24220","Open operations on oesophageal varices","Procedure for Oesophageal varices",108,"Diseases of the Digestive System",3,"268812014","173617001","268812014","originalreadcode"
"","Oesophageal varices","","oesophageal varices nos","Diagnosis of Oesophageal varices",108,"Diseases of the Digestive System",3,"12726301000006115","675401000000103","1480811000000119","originalreadcode"
"","Oesophageal varices","","oesophageal varices","Diagnosis of Oesophageal varices",108,"Diseases of the Digestive System",3,"990631000006117","675401000000103","990631000006117","description"
