"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Osteoarthritis (excl spine)",NA,"OA - Osteoarthritis of ankle",NA,109,"Musculoskeletal conditions",12,"5140621000006112","239874001","359422017","termsearch"
NA,"Osteoarthritis (excl spine)",NA,"Osteoarthritis - ankle/foot",NA,109,"Musculoskeletal conditions",12,"889931000006113","396275006","889931000006113","termsearch"
NA,"Osteoarthritis (excl spine)",NA,"Osteoarthritis - elbow joint",NA,109,"Musculoskeletal conditions",12,"889881000006119","396275006","889881000006119","termsearch"
NA,"Osteoarthritis (excl spine)",NA,"Osteoarthritis - hand joint",NA,109,"Musculoskeletal conditions",12,"889901000006117","396275006","889901000006117","termsearch"
NA,"Osteoarthritis (excl spine)",NA,"Osteoarthritis - hip joint",NA,109,"Musculoskeletal conditions",12,"889911000006119","396275006","889911000006119","termsearch"
NA,"Osteoarthritis (excl spine)",NA,"Osteoarthritis - knee joint",NA,109,"Musculoskeletal conditions",12,"889921000006110","637091000000105","889921000006110","termsearch"
NA,"Osteoarthritis (excl spine)",NA,"Osteoarthritis - other joint",NA,109,"Musculoskeletal conditions",12,"889941000006115","666451000000100","889941000006115","termsearch"
NA,"Osteoarthritis (excl spine)",NA,"Osteoarthritis - wrist joint",NA,109,"Musculoskeletal conditions",12,"889891000006116","396275006","889891000006116","termsearch"
NA,"Osteoarthritis (excl spine)",NA,"Osteoarthritis -multiple joint",NA,109,"Musculoskeletal conditions",12,"889861000006112","201819000","889861000006112","termsearch"
NA,"Osteoarthritis (excl spine)",NA,"Osteoarthritis -shoulder joint",NA,109,"Musculoskeletal conditions",12,"889871000006117","666441000000103","889871000006117","termsearch"
NA,"Osteoarthritis (excl spine)",NA,"Osteoarthritis of finger joint",NA,109,"Musculoskeletal conditions",12,"5140431000006112","239868001","359414012","termsearch"
NA,"Osteoarthritis (excl spine)",NA,"Osteoarthritis of knee",NA,109,"Musculoskeletal conditions",12,"359420013","239873007","1954201000006110","termsearch"
