"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"","Osteoporosis","","osteoporosis localized to spine","Diagnosis of Osteoporosis",110,"Musculoskeletal conditions",12,"5992471000006115","309745002","453226012","originalreadcode"
"58EG.00","Osteoporosis","42354","Hip DXA scan result osteoporotic","Diagnosis of Osteoporosis",110,"Musculoskeletal conditions",12,"1485098013","391070005","1485098013","cleansedreadcode"
"58EM.00","Osteoporosis","39217","Lumbar DXA scan result osteoporotic","Diagnosis of Osteoporosis",110,"Musculoskeletal conditions",12,"1485103010","391075000","1485103010","cleansedreadcode"
"58EV.00","Osteoporosis","96342","Femoral neck DEXA scan result osteoporotic","Diagnosis of Osteoporosis",110,"Musculoskeletal conditions",12,"668551000000116","440100002","3013373010","cleansedreadcode"
"66a..00","Osteoporosis","11603","Osteoporosis monitoring","History of Osteoporosis",110,"Musculoskeletal conditions",12,"1485046011","391017004","1485046011","cleansedreadcode"
"9Od..00","Osteoporosis","36796","Osteoporosis monitoring administration","History of Osteoporosis",110,"Musculoskeletal conditions",12,"1485032011","391003008","1485032011","cleansedreadcode"
"9Od0.00","Osteoporosis","65163","Attends osteoporosis monitoring","History of Osteoporosis",110,"Musculoskeletal conditions",12,"1485033018","391004002","1485033018","cleansedreadcode"
"9Od2.00","Osteoporosis","92887","Osteoporosis monitoring default","History of Osteoporosis",110,"Musculoskeletal conditions",12,"1485035013","391006000","1485035013","cleansedreadcode"
"9Od3.00","Osteoporosis","68122","Osteoporosis monitoring first letter","History of Osteoporosis",110,"Musculoskeletal conditions",12,"1485036014","391007009","1485036014","cleansedreadcode"
"9Od4.00","Osteoporosis","93455","Osteoporosis monitoring second letter","History of Osteoporosis",110,"Musculoskeletal conditions",12,"1485037017","391008004","1485037017","cleansedreadcode"
"9Od5.00","Osteoporosis","102017","Osteoporosis monitoring third letter","History of Osteoporosis",110,"Musculoskeletal conditions",12,"1485038010","391009007","1485038010","cleansedreadcode"
"9Od6.00","Osteoporosis","105290","Osteoporosis monitoring verbal invitation","History of Osteoporosis",110,"Musculoskeletal conditions",12,"1485039019","391010002","1485039019","cleansedreadcode"
"9Od7.00","Osteoporosis","61121","Osteoporosis monitoring telephone invitation","History of Osteoporosis",110,"Musculoskeletal conditions",12,"1485040017","391011003","1485040017","cleansedreadcode"
"9Od8.00","Osteoporosis","96779","Osteoporosis monitoring deleted","History of Osteoporosis",110,"Musculoskeletal conditions",12,"1485041018","391012005","1485041018","cleansedreadcode"
"9Od9.00","Osteoporosis","25534","Osteoporosis monitoring check done","History of Osteoporosis",110,"Musculoskeletal conditions",12,"1485042013","391013000","1485042013","cleansedreadcode"
"9kj..00","Osteoporosis","98433","Osteoporosis - enhanced services administration","History of Osteoporosis",110,"Musculoskeletal conditions",12,"1122231000000117","505141000000108","1152181000000113","cleansedreadcode"
"9kj0.00","Osteoporosis","98760","Bone sparing drug treatment offered for osteoporosis - ESA","History of Osteoporosis",110,"Musculoskeletal conditions",12,"1715131000006113","505171000000102","1152201000000112","cleansedreadcode"
"N330.00","Osteoporosis","277","Osteoporosis","Diagnosis of Osteoporosis",110,"Musculoskeletal conditions",12,"107806013","64859006","107806013","cleansedreadcode"
"N330000","Osteoporosis","14967","Osteoporosis, unspecified","Diagnosis of Osteoporosis",110,"Musculoskeletal conditions",12,"312124013","64859006","107806013","cleansedreadcode"
"N330100","Osteoporosis","16307","Senile osteoporosis","Diagnosis of Osteoporosis",110,"Musculoskeletal conditions",12,"30475015","18040001","30475015","cleansedreadcode"
"N330200","Osteoporosis","9700","Postmenopausal osteoporosis","Diagnosis of Osteoporosis",110,"Musculoskeletal conditions",12,"54058015","102447009","165682016","cleansedreadcode"
"N330300","Osteoporosis","40428","Idiopathic osteoporosis","Diagnosis of Osteoporosis",110,"Musculoskeletal conditions",12,"786501000006117","203429007","312126010","cleansedreadcode"
"N330400","Osteoporosis","62702","Dissuse osteoporosis","Diagnosis of Osteoporosis",110,"Musculoskeletal conditions",12,"625381000006110","53174001","88440018","cleansedreadcode"
"N330500","Osteoporosis","24093","Drug-induced osteoporosis","Diagnosis of Osteoporosis",110,"Musculoskeletal conditions",12,"24883018","14651005","24883018","cleansedreadcode"
"N330600","Osteoporosis","70349","Postoophorectomy osteoporosis","Diagnosis of Osteoporosis",110,"Musculoskeletal conditions",12,"312133010","203433000","312133010","cleansedreadcode"
"N330700","Osteoporosis","93655","Postsurgical malabsorption osteoporosis","Diagnosis of Osteoporosis",110,"Musculoskeletal conditions",12,"212431000006119","203434006","312134016","cleansedreadcode"
"N330A00","Osteoporosis","31580","Osteoporosis in endocrine disorders","Diagnosis of Osteoporosis",110,"Musculoskeletal conditions",12,"312138018","203437004","312138018","cleansedreadcode"
"N330B00","Osteoporosis","3346","Vertebral osteoporosis","Diagnosis of Osteoporosis",110,"Musculoskeletal conditions",12,"312139014","203438009","312139014","cleansedreadcode"
"N330C00","Osteoporosis","16857","Osteoporosis localized to spine","Diagnosis of Osteoporosis",110,"Musculoskeletal conditions",12,"453226012","309745002","453225011","cleansedreadcode"
"N330D00","Osteoporosis","25650","Osteoporosis due to corticosteroids","Diagnosis of Osteoporosis",110,"Musculoskeletal conditions",12,"1484866013","390833005","1484866013","cleansedreadcode"
"N330z00","Osteoporosis","34798","Osteoporosis NOS","Diagnosis of Osteoporosis",110,"Musculoskeletal conditions",12,"312142015","64859006","107806013","cleansedreadcode"
"N331200","Osteoporosis","39334","Postoophorectomy osteoporosis with pathological fracture","Diagnosis of Osteoporosis",110,"Musculoskeletal conditions",12,"312156018","203444008","312156018","cleansedreadcode"
"N331300","Osteoporosis","33526","Osteoporosis of disuse with pathological fracture","Diagnosis of Osteoporosis",110,"Musculoskeletal conditions",12,"312157010","203445009","312157010","cleansedreadcode"
"N331400","Osteoporosis","68019","Postsurgical malabsorption osteoporosis with path fracture","Diagnosis of Osteoporosis",110,"Musculoskeletal conditions",12,"212441000006112","203446005","312158017","cleansedreadcode"
"N331500","Osteoporosis","46894","Drug-induced osteoporosis with pathological fracture","Diagnosis of Osteoporosis",110,"Musculoskeletal conditions",12,"312159013","203447001","312159013","cleansedreadcode"
"N331600","Osteoporosis","27597","Idiopathic osteoporosis with pathological fracture","Diagnosis of Osteoporosis",110,"Musculoskeletal conditions",12,"312160015","203448006","312160015","cleansedreadcode"
"N331800","Osteoporosis","17377","Osteoporosis + pathological fracture lumbar vertebrae","Diagnosis of Osteoporosis",110,"Musculoskeletal conditions",12,"40881000006116","203450003","312162011","cleansedreadcode"
"N331900","Osteoporosis","12673","Osteoporosis + pathological fracture thoracic vertebrae","Diagnosis of Osteoporosis",110,"Musculoskeletal conditions",12,"40891000006118","203451004","312163018","cleansedreadcode"
"N331A00","Osteoporosis","48772","Osteoporosis + pathological fracture cervical vertebrae","Diagnosis of Osteoporosis",110,"Musculoskeletal conditions",12,"40871000006119","203452006","312164012","cleansedreadcode"
"N331B00","Osteoporosis","38395","Postmenopausal osteoporosis with pathological fracture","Diagnosis of Osteoporosis",110,"Musculoskeletal conditions",12,"312165013","203453001","312165013","cleansedreadcode"
"N331H00","Osteoporosis","45736","Collapse of cervical vertebra due to osteoporosis","Diagnosis of Osteoporosis",110,"Musculoskeletal conditions",12,"455433012","311806008","455433012","cleansedreadcode"
"N331J00","Osteoporosis","5841","Collapse of lumbar vertebra due to osteoporosis","Diagnosis of Osteoporosis",110,"Musculoskeletal conditions",12,"455534015","311890007","455534015","cleansedreadcode"
"N331K00","Osteoporosis","19048","Collapse of thoracic vertebra due to osteoporosis","Diagnosis of Osteoporosis",110,"Musculoskeletal conditions",12,"455535019","311891006","455535019","cleansedreadcode"
"N331L00","Osteoporosis","4013","Collapse of vertebra due to osteoporosis NOS","Diagnosis of Osteoporosis",110,"Musculoskeletal conditions",12,"455536018","240198002","2920899019","cleansedreadcode"
"N331M00","Osteoporosis","11503","Fragility fracture due to unspecified osteoporosis","Diagnosis of Osteoporosis",110,"Musculoskeletal conditions",12,"216206018","443165006","2837900019","cleansedreadcode"
"N331M11","Osteoporosis","93705","Minimal trauma fracture due to unspecified osteoporosis","Diagnosis of Osteoporosis",110,"Musculoskeletal conditions",12,"556881000000111","443165006","2837900019","cleansedreadcode"
"N331N00","Osteoporosis","93497","Fragility fracture","Diagnosis of Osteoporosis",110,"Musculoskeletal conditions",12,"545121000000114","306171000000106","545121000000114","cleansedreadcode"
"N331N11","Osteoporosis","93981","Minimal trauma fracture","Diagnosis of Osteoporosis",110,"Musculoskeletal conditions",12,"557111000000111","306171000000106","557111000000111","cleansedreadcode"
"N374600","Osteoporosis","36432","Osteoporotic kyphosis","Diagnosis of Osteoporosis",110,"Musculoskeletal conditions",12,"312441019","203657009","312441019","cleansedreadcode"
"NyuB000","Osteoporosis","57301","[X]Other osteoporosis with pathological fracture","Diagnosis of Osteoporosis",110,"Musculoskeletal conditions",12,"312681016","443165006","2837900019","cleansedreadcode"
"NyuB100","Osteoporosis","41755","[X]Other osteoporosis","Diagnosis of Osteoporosis",110,"Musculoskeletal conditions",12,"312682011","64859006","107806013","cleansedreadcode"
