"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"","Other haemolytic anaemias","","[x]other haemoglobinopathies","Possible Diagnosis of Other haemolytic anaemias",111,"Haematological/Immunological conditions",9,"11989621000006111","80141007","11989621000006111","originalreadcode"
"","Other haemolytic anaemias","","acquired haemolytic anaemia nos","Diagnosis of Other haemolytic anaemias",111,"Haematological/Immunological conditions",9,"12723661000006115","597931000000109","1324801000000114","originalreadcode"
"","Other haemolytic anaemias","","hereditary haemolytic anaemia nos","Possible Diagnosis of Other haemolytic anaemias",111,"Haematological/Immunological conditions",9,"12723651000006117","597871000000103","1324691000000115","originalreadcode"
"D1...00","Other haemolytic anaemias","3326","Haemolytic anaemias","Possible Diagnosis of Other haemolytic anaemias",111,"Haematological/Immunological conditions",9,"813861000006112","61261009","498963016","cleansedreadcode"
"D10..00","Other haemolytic anaemias","39456","Hereditary haemolytic anaemias","Possible Diagnosis of Other haemolytic anaemias",111,"Haematological/Immunological conditions",9,"821381000006117","38911009","491833015","cleansedreadcode"
"D100.00","Other haemolytic anaemias","7237","Hereditary spherocytosis","Diagnosis of Other haemolytic anaemias",111,"Haematological/Immunological conditions",9,"93126010","55995005","93126010","cleansedreadcode"
"D100.11","Other haemolytic anaemias","39682","Acholuric familial jaundice","Diagnosis of Other haemolytic anaemias",111,"Haematological/Immunological conditions",9,"452811000006116","55995005","93126010","cleansedreadcode"
"D100.12","Other haemolytic anaemias","64619","Minkowski - Chauffard syndrome","Diagnosis of Other haemolytic anaemias",111,"Haematological/Immunological conditions",9,"701811000006113","55995005","93126010","cleansedreadcode"
"D101.00","Other haemolytic anaemias","31107","Hereditary elliptocytosis","Diagnosis of Other haemolytic anaemias",111,"Haematological/Immunological conditions",9,"293984013","191169008","293984013","cleansedreadcode"
"D101.11","Other haemolytic anaemias","49822","Ovalocytosis - hereditary","Diagnosis of Other haemolytic anaemias",111,"Haematological/Immunological conditions",9,"253601000006110","191169008","293984013","cleansedreadcode"
"D102.00","Other haemolytic anaemias","71808","Haemolytic anaemia due to glutathione metabolism disorder","Diagnosis of Other haemolytic anaemias",111,"Haematological/Immunological conditions",9,"293986010","191170009","293986010","cleansedreadcode"
"D102000","Other haemolytic anaemias","22531","Glucose-6-phosphate dehydrogenase deficiency anaemia","Diagnosis of Other haemolytic anaemias",111,"Haematological/Immunological conditions",9,"499268014","62403005","499268014","cleansedreadcode"
"D102100","Other haemolytic anaemias","44381","Favism","Diagnosis of Other haemolytic anaemias",111,"Haematological/Immunological conditions",9,"293989015","191172001","293989015","cleansedreadcode"
"D102200","Other haemolytic anaemias","49451","Drug-induced enzyme deficiency anaemia","Diagnosis of Other haemolytic anaemias",111,"Haematological/Immunological conditions",9,"477268010","15276008","477268010","cleansedreadcode"
"D103000","Other haemolytic anaemias","107820","Haemolytic anaemia due to hexokinase deficiency","Diagnosis of Other haemolytic anaemias",111,"Haematological/Immunological conditions",9,"293999013","191177007","293999013","cleansedreadcode"
"D103100","Other haemolytic anaemias","55561","Haemolytic anaemia due to pyruvate kinase deficiency","Diagnosis of Other haemolytic anaemias",111,"Haematological/Immunological conditions",9,"294000010","191178002","294000010","cleansedreadcode"
"D103300","Other haemolytic anaemias","104454","Anaemia due to disorders of nucleotide metabolism","Diagnosis of Other haemolytic anaemias",111,"Haematological/Immunological conditions",9,"294004018","191180008","294004018","cleansedreadcode"
"D103z00","Other haemolytic anaemias","110176","Enzyme deficiency haemolytic anaemia NOS","Diagnosis of Other haemolytic anaemias",111,"Haematological/Immunological conditions",9,"294007013","38911009","65264014","cleansedreadcode"
"D107.00","Other haemolytic anaemias","1529","Other haemoglobinopathies","Possible Diagnosis of Other haemolytic anaemias",111,"Haematological/Immunological conditions",9,"294066018","80141007","504350016","cleansedreadcode"
"D107000","Other haemolytic anaemias","57298","Congenital Heinz-body anaemia","Diagnosis of Other haemolytic anaemias",111,"Haematological/Immunological conditions",9,"582791000006119","18273004","478541012","cleansedreadcode"
"D107100","Other haemolytic anaemias","45944","Hereditary persistence of fetal haemoglobin [HPFH]","Diagnosis of Other haemolytic anaemias",111,"Haematological/Immunological conditions",9,"821561000006115","191201002","294072018","cleansedreadcode"
"D107111","Other haemolytic anaemias","46322","Hb F disease","Diagnosis of Other haemolytic anaemias",111,"Haematological/Immunological conditions",9,"294068017","191201002","294068017","cleansedreadcode"
"D107200","Other haemolytic anaemias","40545","Haemoglobin Bart's disease","Diagnosis of Other haemolytic anaemias",111,"Haematological/Immunological conditions",9,"496520018","5300004","496520018","cleansedreadcode"
