"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"A723.00","Pancreatitis","18544","Mumps pancreatitis","Diagnosis of Pancreatitis",112,"Diseases of the Digestive System",3,"18532015","10665004","18532015","cleansedreadcode"
"A785100","Pancreatitis","44278","Cytomegaloviral pancreatitis","Diagnosis of Pancreatitis",112,"Diseases of the Digestive System",3,"353692014","235947007","353692014","cleansedreadcode"
"D201612","Pancreatitis","61326","Pancytopenia with pancreatitis","Diagnosis of Pancreatitis",112,"Diseases of the Digestive System",3,"351123016","234367000","351123016","cleansedreadcode"
"J670.00","Pancreatitis","1113","Acute pancreatitis","Diagnosis of Pancreatitis",112,"Diseases of the Digestive System",3,"303630010","197456007","303630010","cleansedreadcode"
"J670000","Pancreatitis","49499","Acute pancreatitis unspecified","Diagnosis of Pancreatitis",112,"Diseases of the Digestive System",3,"303632019","197456007","303630010","cleansedreadcode"
"J670100","Pancreatitis","1506","Acute recurrent pancreatitis","Diagnosis of Pancreatitis",112,"Diseases of the Digestive System",3,"303633012","197458008","303633012","cleansedreadcode"
"J670200","Pancreatitis","31395","Acute haemorrhagic pancreatitis","Diagnosis of Pancreatitis",112,"Diseases of the Digestive System",3,"493743018","4399003","493743018","cleansedreadcode"
"J670300","Pancreatitis","44571","Acute suppurative pancreatitis","Diagnosis of Pancreatitis",112,"Diseases of the Digestive System",3,"303636016","197460005","303636016","cleansedreadcode"
"J670400","Pancreatitis","48685","Subacute pancreatitis","Diagnosis of Pancreatitis",112,"Diseases of the Digestive System",3,"98289011","59154002","98289011","cleansedreadcode"
"J670500","Pancreatitis","12316","Gallstone acute pancreatitis","Diagnosis of Pancreatitis",112,"Diseases of the Digestive System",3,"353686015","235941008","353686015","cleansedreadcode"
"J670600","Pancreatitis","105194","Idiopathic acute pancreatitis","Diagnosis of Pancreatitis",112,"Diseases of the Digestive System",3,"353688019","235943006","353688019","cleansedreadcode"
"J670700","Pancreatitis","104385","Biliary acute pancreatitis","Diagnosis of Pancreatitis",112,"Diseases of the Digestive System",3,"2116751000000111","811431000000107","2116751000000111","cleansedreadcode"
"J670800","Pancreatitis","104611","Alcohol-induced acute pancreatitis","Diagnosis of Pancreatitis",112,"Diseases of the Digestive System",3,"353687012","235942001","353687012","cleansedreadcode"
"J670900","Pancreatitis","105910","Drug-induced acute pancreatitis","Diagnosis of Pancreatitis",112,"Diseases of the Digestive System",3,"353689010","235944000","353689010","cleansedreadcode"
"J670y00","Pancreatitis","105066","Other acute pancreatitis","Diagnosis of Pancreatitis",112,"Diseases of the Digestive System",3,"1816471000006113","197456007","303630010","cleansedreadcode"
"J670z00","Pancreatitis","14905","Acute pancreatitis NOS","Diagnosis of Pancreatitis",112,"Diseases of the Digestive System",3,"396402014","197456007","303630010","cleansedreadcode"
"J670z11","Pancreatitis","656","Pancreatitis","Diagnosis of Pancreatitis",112,"Diseases of the Digestive System",3,"125722013","75694006","125722013","cleansedreadcode"
"J671.00","Pancreatitis","1419","Chronic pancreatitis","Diagnosis of Pancreatitis",112,"Diseases of the Digestive System",3,"352985010","235494005","352985010","cleansedreadcode"
"J671000","Pancreatitis","24984","Alcohol-induced chronic pancreatitis","Diagnosis of Pancreatitis",112,"Diseases of the Digestive System",3,"353698013","235952002","353698013","cleansedreadcode"
"J671100","Pancreatitis","42278","Gallstone chronic pancreatitis","Diagnosis of Pancreatitis",112,"Diseases of the Digestive System",3,"353697015","235951009","353697015","cleansedreadcode"
"J672100","Pancreatitis","4650","Pseudocyst of pancreas","Diagnosis of Pancreatitis",112,"Diseases of the Digestive System",3,"178612013","111374002","178612013","cleansedreadcode"
"Jyu8400","Pancreatitis","49353","[X]Other chronic pancreatitis","Diagnosis of Pancreatitis",112,"Diseases of the Digestive System",3,"303793019","235494005","352985010","cleansedreadcode"
