"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"A531300","Peripheral Neuropathy","31709","Postherpetic polyneuropathy","Diagnosis of peripheral neuropathy",116,"Neurological conditions",13,"211231000006113","76462000","126981019","cleansedreadcode"
"A72x100","Peripheral Neuropathy","97848","Mumps polyneuropathy","Diagnosis of peripheral neuropathy",116,"Neurological conditions",13,"52697011","31524007","52697011","cleansedreadcode"
"C106.12","Peripheral Neuropathy","7795","Diabetes mellitus with neuropathy","Diagnosis of peripheral neuropathy",116,"Neurological conditions",13,"345487013","230572002","345487013","cleansedreadcode"
"C106.13","Peripheral Neuropathy","16491","Diabetes mellitus with polyneuropathy","Diagnosis of peripheral neuropathy",116,"Neurological conditions",13,"616451000006110","49455004","82373015","cleansedreadcode"
"C108B00","Peripheral Neuropathy","24694","Insulin dependent diabetes mellitus with mononeuropathy","Diagnosis of peripheral neuropathy",116,"Neurological conditions",13,"771371000006118","230577008","345492010","cleansedreadcode"
"C108B11","Peripheral Neuropathy","99231","Type I diabetes mellitus with mononeuropathy","Diagnosis of peripheral neuropathy",116,"Neurological conditions",13,"84721000006113","420918009","3697664014","cleansedreadcode"
"C108C00","Peripheral Neuropathy","41716","Insulin dependent diabetes mellitus with polyneuropathy","Diagnosis of peripheral neuropathy",116,"Neurological conditions",13,"771401000006115","49455004","82373015","cleansedreadcode"
"C108J00","Peripheral Neuropathy","39809","Insulin dependent diab mell with neuropathic arthropathy","Diagnosis of peripheral neuropathy",116,"Neurological conditions",13,"772131000006111","201724008","309740011","cleansedreadcode"
"C108J11","Peripheral Neuropathy","60208","Type I diabetes mellitus with neuropathic arthropathy","Diagnosis of peripheral neuropathy",116,"Neurological conditions",13,"84761000006119","71771000119100","3010513018","cleansedreadcode"
"C108J12","Peripheral Neuropathy","18230","Type 1 diabetes mellitus with neuropathic arthropathy","Diagnosis of peripheral neuropathy",116,"Neurological conditions",13,"84391000006111","71771000119100","3010513018","cleansedreadcode"
