"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Peripheral Vascular Disease",NA,"Angioplasty of femoral artery",NA,115,"Diseases of the Circulatory System",2,"931881000006115","175715003","931881000006115","termsearch"
NA,"Peripheral Vascular Disease",NA,"Dressing of leg ulcer",NA,115,"Diseases of the Circulatory System",2,"1997621000006116","805211000000103","1799991000000118","termsearch"
NA,"Peripheral Vascular Disease",NA,"Leg ulcer",NA,115,"Diseases of the Circulatory System",2,"931941000006116","267816005","931941000006116","termsearch"
NA,"Peripheral Vascular Disease",NA,"Mixed arteriovenous leg ulcer",NA,115,"Diseases of the Circulatory System",2,"5126401000006115","238792006","357892011","termsearch"
NA,"Peripheral Vascular Disease",NA,"Periph. vasc. complications",NA,115,"Diseases of the Circulatory System",2,"900131000006111","213217008","900131000006111","termsearch"
NA,"Peripheral Vascular Disease",NA,"Peripheral vasc. disease NOS",NA,115,"Diseases of the Circulatory System",2,"884611000006112","646351000000103","884611000006112","termsearch"
NA,"Peripheral Vascular Disease",NA,"Peripheral vasc. disease NOS",NA,115,"Diseases of the Circulatory System",2,"884621000006116","646351000000103","884621000006116","termsearch"
NA,"Peripheral Vascular Disease",NA,"Peripheral vascular disease annual review",NA,115,"Diseases of the Circulatory System",2,"1696201000006114","1696201000006105","1696201000006114","termsearch"
NA,"Peripheral Vascular Disease",NA,"Peripheral vascular disease monitoring administration",NA,115,"Diseases of the Circulatory System",2,"1696211000006112","1696211000006108","1696211000006112","termsearch"
NA,"Peripheral Vascular Disease",NA,"Reason for referral: Leg Ulcer",NA,115,"Diseases of the Circulatory System",2,"1776781000006112","1776781000006108","1776781000006112","termsearch"
NA,"Peripheral Vascular Disease",NA,"Varicose ulcer of leg",NA,115,"Diseases of the Circulatory System",2,"884771000006113","195445008","884771000006113","termsearch"
NA,"Peripheral Vascular Disease",NA,"Varicose ulcer of leg",NA,115,"Diseases of the Circulatory System",2,"989231000006113","195445008","989231000006113","termsearch"
NA,"Peripheral Vascular Disease",NA,"[RFC] Diabetic foot/leg ulcer",NA,115,"Diseases of the Circulatory System",2,"906711000006116","906711000006100","906711000006116","termsearch"
NA,"Peripheral Vascular Disease",NA,"[RFC] Diabetic leg ulcer",NA,115,"Diseases of the Circulatory System",2,"910491000006117","910491000006101","910491000006117","termsearch"
NA,"Peripheral Vascular Disease",NA,"[RFC] Leg ulcer",NA,115,"Diseases of the Circulatory System",2,"906671000006115","906671000006104","906671000006115","termsearch"
NA,"Peripheral Vascular Disease",NA,"[RFC] Leg ulcer",NA,115,"Diseases of the Circulatory System",2,"909541000006117","909541000006101","909541000006117","termsearch"
NA,"Peripheral Vascular Disease",NA,"[RFC] Leg ulcer - arterial",NA,115,"Diseases of the Circulatory System",2,"908901000006115","908901000006104","908901000006115","termsearch"
NA,"Peripheral Vascular Disease",NA,"[RFC] Leg ulcer - both arterial & venous",NA,115,"Diseases of the Circulatory System",2,"908911000006117","908911000006101","908911000006117","termsearch"
NA,"Peripheral Vascular Disease",NA,"[RFC] Leg ulcer - venous",NA,115,"Diseases of the Circulatory System",2,"908891000006119","908891000006103","908891000006119","termsearch"
NA,"Peripheral Vascular Disease",NA,"[RFC] Leg ulcer of mixed aetiology",NA,115,"Diseases of the Circulatory System",2,"908411000006114","908411000006105","908411000006114","termsearch"
NA,"Peripheral Vascular Disease",NA,"[RFC] Peripheral vascular disease",NA,115,"Diseases of the Circulatory System",2,"906771000006113","906771000006109","906771000006113","termsearch"
NA,"Peripheral Vascular Disease",NA,"[RFC] Post leg ulcer care",NA,115,"Diseases of the Circulatory System",2,"910511000006111","910511000006107","910511000006111","termsearch"
"","Peripheral Vascular Disease","","insulin dependent diab mell with peripheral angiopathy","Peripheral vascular disease (7)",115,"Diseases of the Circulatory System",2,"913921000006119","421895002","2618203015","description"
"","Peripheral Vascular Disease","","ischaemic foot","Peripheral vascular disease (7)",115,"Diseases of the Circulatory System",2,"1699111000006110","1699111000006106","1699111000006110","originalreadcode"
"","Peripheral Vascular Disease","","niddm with peripheral circulatory disorder","Peripheral vascular disease (7)",115,"Diseases of the Circulatory System",2,"12485441000006119","422166005","674961000006118","originalreadcode"
"","Peripheral Vascular Disease","","peripheral arterial embolism and thrombosis nos","Peripheral vascular disease (7)",115,"Diseases of the Circulatory System",2,"12733151000006114","583731000000103","1295391000000110","originalreadcode"
"","Peripheral Vascular Disease","","peripheral vascular disease nos","Peripheral vascular disease (7)",115,"Diseases of the Circulatory System",2,"12729241000006119","646351000000103","1422221000000115","originalreadcode"
"","Peripheral Vascular Disease","","type 1 diabetes mellitus with peripheral angiopathy","Peripheral vascular disease (7)",115,"Diseases of the Circulatory System",2,"84411000006111","31211000119101","3315042015","description"
"","Peripheral Vascular Disease","","type ii diabetes mellitus with peripheral angiopathy","Peripheral vascular disease (7)",115,"Diseases of the Circulatory System",2,"459306016","314902007","459306016","description"
"2G63.00","Peripheral Vascular Disease","9561","Ischaemic toe","Peripheral vascular disease (7)",115,"Diseases of the Circulatory System",2,"450665015","307408003","450665015","cleansedreadcode"
"7A10000","Peripheral Vascular Disease","95573","Emerg aortic bypass by anastomosis axillary to femoral art","Other PAD procedures (3)",115,"Diseases of the Circulatory System",2,"639341000006115","175276005","271413015","cleansedreadcode"
"7A10100","Peripheral Vascular Disease","23352","Bypass aorta by anastomosis axillary to femoral artery NEC","Other PAD procedures (3)",115,"Diseases of the Circulatory System",2,"530051000006117","233379008","349697018","cleansedreadcode"
"7A10200","Peripheral Vascular Disease","34153","Axillo-bifemoral bypass graft","Other PAD procedures (3)",115,"Diseases of the Circulatory System",2,"501011000006118","388997005","1493587018","cleansedreadcode"
"7A10300","Peripheral Vascular Disease","40302","Axillo-unifemoral PTFE bypass graft","Other PAD procedures (3)",115,"Diseases of the Circulatory System",2,"271416011","175279003","271416011","cleansedreadcode"
"7A12.00","Peripheral Vascular Disease","36952","Other bypass of bifurcation of aorta","Other PAD procedures (3)",115,"Diseases of the Circulatory System",2,"271431019","233373009","349683014","cleansedreadcode"
"7A12000","Peripheral Vascular Disease","48755","Emerg bypass bifurc aorta by anast aorta to femoral artery","Other PAD procedures (3)",115,"Diseases of the Circulatory System",2,"639371000006111","175290008","271432014","cleansedreadcode"
"7A12100","Peripheral Vascular Disease","2761","Bypass bifurc aorta by anastom aorta to femoral artery NEC","Other PAD procedures (3)",115,"Diseases of the Circulatory System",2,"530061000006115","448171003","2900875010","cleansedreadcode"
"7A12111","Peripheral Vascular Disease","14895","Aorto bifemoral graft","Other PAD procedures (3)",115,"Diseases of the Circulatory System",2,"224121000000118","233373009","349688017","cleansedreadcode"
"7A12112","Peripheral Vascular Disease","28166","Dacron aortofemoral Y graft","Other PAD procedures (3)",115,"Diseases of the Circulatory System",2,"410961010","275038008","410961010","cleansedreadcode"
"7A12300","Peripheral Vascular Disease","15532","Bypass bifurcation aorta by anastom aorta to iliac artery","Other PAD procedures (3)",115,"Diseases of the Circulatory System",2,"530071000006110","265495003","394305010","cleansedreadcode"
"7A12311","Peripheral Vascular Disease","3778","Aorto biiliac graft","Other PAD procedures (3)",115,"Diseases of the Circulatory System",2,"488631000006116","265495003","394305010","cleansedreadcode"
"7A12312","Peripheral Vascular Disease","42465","Dacron aortoiliac Y graft","Other PAD procedures (3)",115,"Diseases of the Circulatory System",2,"410962015","275039000","410962015","cleansedreadcode"
"7A12y00","Peripheral Vascular Disease","55825","Other specified other bypass of bifurcation of aorta","Other PAD procedures (3)",115,"Diseases of the Circulatory System",2,"271444012","233373009","349683014","cleansedreadcode"
"7A12z00","Peripheral Vascular Disease","64798","Other bypass of bifurcation of aorta NOS","Other PAD procedures (3)",115,"Diseases of the Circulatory System",2,"271445013","233373009","349683014","cleansedreadcode"
"7A19200","Peripheral Vascular Disease","55402","Open embolectomy of bifurcation of aorta","Other PAD procedures (3)",115,"Diseases of the Circulatory System",2,"271509013","175348000","271509013","cleansedreadcode"
"7A41.00","Peripheral Vascular Disease","21927","Other bypass of iliac artery","Other PAD procedures (3)",115,"Diseases of the Circulatory System",2,"394323019","405477007","2157280014","cleansedreadcode"
"7A41000","Peripheral Vascular Disease","44250","Emerg bypass iliac art by iliac/femoral art anastomosis NEC","Other PAD procedures (3)",115,"Diseases of the Circulatory System",2,"639471000006115","51018000","85012019","cleansedreadcode"
"7A41100","Peripheral Vascular Disease","28616","Bypass iliac artery by iliac/femoral artery anastomosis NEC","Other PAD procedures (3)",115,"Diseases of the Circulatory System",2,"530201000006110","51018000","1780391000000113","cleansedreadcode"
"7A41200","Peripheral Vascular Disease","72448","Emerg bypass iliac artery by femoral/femoral art anast NEC","Other PAD procedures (3)",115,"Diseases of the Circulatory System",2,"639491000006119","233380006","349698011","cleansedreadcode"
"7A41211","Peripheral Vascular Disease","43648","Emergency femoro-femoral prosthetic cross over graft","Other PAD procedures (3)",115,"Diseases of the Circulatory System",2,"640081000006119","275040003","410963013","cleansedreadcode"
