"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"E21..00","Personality disorders","2076","Personality disorders","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"230091000006118","33449004","55821010","cleansedreadcode"
"E21..11","Personality disorders","28227","Neurotic personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"675911000006115","33449004","55821010","cleansedreadcode"
"E210.00","Personality disorders","5652","Paranoid personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"23211011","13601005","23211011","cleansedreadcode"
"E212.00","Personality disorders","3369","Schizoid personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"88108012","52954000","88108012","cleansedreadcode"
"E212000","Personality disorders","67130","Unspecified schizoid personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"295049014","52954000","88108012","cleansedreadcode"
"E212100","Personality disorders","39011","Introverted personality","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"746351000006118","268633003","401784013","cleansedreadcode"
"E212200","Personality disorders","61969","Schizotypal personality","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"155281000006119","31027006","51933014","cleansedreadcode"
"E212z00","Personality disorders","14747","Schizoid personality disorder NOS","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"295052018","52954000","88108012","cleansedreadcode"
"E213.00","Personality disorders","23597","Explosive personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"347011014","231527003","347011014","cleansedreadcode"
"E213.11","Personality disorders","6339","Aggressive personality","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"474121000006111","286798002","426255014","cleansedreadcode"
"E213.12","Personality disorders","36043","Quarrelsome personality","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"195991000006117","231527003","347011014","cleansedreadcode"
"E214.00","Personality disorders","20881","Compulsive personality disorders","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"577931000006110","473456000","2957161013","cleansedreadcode"
"E214.11","Personality disorders","40057","Anancastic personality","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"481471000006112","1376001","475486014","cleansedreadcode"
"E214000","Personality disorders","30395","Anankastic personality","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"481481000006110","1376001","475488010","cleansedreadcode"
"E214100","Personality disorders","1293","Obsessional personality","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"475487017","1376001","475487017","cleansedreadcode"
"E214z00","Personality disorders","34456","Compulsive personality disorder NOS","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"295063015","473456000","2957161013","cleansedreadcode"
"E215.00","Personality disorders","27481","Histrionic personality disorders","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"824751000006111","55341008","92006017","cleansedreadcode"
"E215.11","Personality disorders","4759","Hysterical personality disorders","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"787571000006113","55341008","497204019","cleansedreadcode"
"E215000","Personality disorders","44242","Unspecified histrionic personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"295064014","55341008","92006017","cleansedreadcode"
"E215200","Personality disorders","3709","Emotionally unstable personality","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"640481000006113","191765005","295065010","cleansedreadcode"
"E215300","Personality disorders","67590","Psychoinfantile personality","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"295066011","191766006","295066011","cleansedreadcode"
"E215z00","Personality disorders","60522","Histrionic personality disorder NOS","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"295067019","55341008","92006017","cleansedreadcode"
"E216.00","Personality disorders","4515","Inadequate personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"782871000006113","84466009","140060016","cleansedreadcode"
"E216.11","Personality disorders","48796","Asthenic personality","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"496091000006112","84466009","140060016","cleansedreadcode"
"E216.12","Personality disorders","21665","Dependent personality","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"223661000000115","84466009","140060016","cleansedreadcode"
"E216.13","Personality disorders","19931","Labile personality","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"735811000006119","191765005","295065010","cleansedreadcode"
"E217.00","Personality disorders","23977","Antisocial or sociopathic personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"487991000006113","26665006","44645013","cleansedreadcode"
"E217.11","Personality disorders","68042","Amoral personality","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"480071000006112","26665006","483298014","cleansedreadcode"
"E21y.00","Personality disorders","25146","Other personality disorders","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"295077017","33449004","55821010","cleansedreadcode"
"E21y000","Personality disorders","37289","Narcissistic personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"133885012","80711002","133885012","cleansedreadcode"
"E21y100","Personality disorders","35642","Avoidant personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"62962010","37746008","62962010","cleansedreadcode"
"E21y200","Personality disorders","18565","Borderline personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"33677019","20010003","33677019","cleansedreadcode"
"E21y300","Personality disorders","35763","Passive-aggressive personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"1230168015","44966003","1230168015","cleansedreadcode"
"E21y400","Personality disorders","27803","Eccentric personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"295079019","191772006","295079019","cleansedreadcode"
"E21y500","Personality disorders","1364","Immature personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"295080016","191773001","295080016","cleansedreadcode"
"E21y600","Personality disorders","70899","Masochistic personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"295081017","191774007","295081017","cleansedreadcode"
"E21y700","Personality disorders","21077","Psychoneurotic personality disorder","Diagnosis of Personality disorders",117,"Mental Health Disorders",11,"401785014","268634009","401785014","cleansedreadcode"
