"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"","Plasma Cell Malignancy","","alpha heavy chain disease","Diagnosis of Multiple myeloma and malignant plasma cell neoplasms",118,"Cancers",1,"2601611000006116","6381009","11578015","originalreadcode"
"","Plasma Cell Malignancy","","gamma heavy chain disease","Diagnosis of Multiple myeloma and malignant plasma cell neoplasms",118,"Cancers",1,"2601641000006117","6381009","195004012","originalreadcode"
"","Plasma Cell Malignancy","","heavy chain disease","Diagnosis of Multiple myeloma and malignant plasma cell neoplasms",118,"Cancers",1,"2601601000006119","6381009","195006014","originalreadcode"
"","Plasma Cell Malignancy","","immunoproliferative neoplasm or myeloma nos","Diagnosis of Multiple myeloma and malignant plasma cell neoplasms",118,"Cancers",1,"12721521000006111","542621000000109","1210161000000111","originalreadcode"
"","Plasma Cell Malignancy","","multiple myeloma","Diagnosis of Multiple myeloma and malignant plasma cell neoplasms",118,"Cancers",1,"3408441000006115","55921005","93008014","originalreadcode"
"","Plasma Cell Malignancy","","myelomatosis","Diagnosis of Multiple myeloma and malignant plasma cell neoplasms",118,"Cancers",1,"3408451000006118","55921005","93010011","originalreadcode"
"","Plasma Cell Malignancy","","plasma cell leukaemia","Diagnosis of Multiple myeloma and malignant plasma cell neoplasms",118,"Cancers",1,"4419981000006114","128922003","4419981000006114","originalreadcode"
"","Plasma Cell Malignancy","","solitary myeloma","Diagnosis of Multiple myeloma and malignant plasma cell neoplasms",118,"Cancers",1,"11903701000006110","10639003","18483018","originalreadcode"
"","Plasma Cell Malignancy","","solitary plasmacytoma","Diagnosis of Multiple myeloma and malignant plasma cell neoplasms",118,"Cancers",1,"2669181000006118","10639003","18484012","originalreadcode"
"B63..00","Plasma Cell Malignancy","37182","Multiple myeloma and immunoproliferative neoplasms","Diagnosis of Multiple myeloma and malignant plasma cell neoplasms",118,"Cancers",1,"695561000006118","109989006","344820010","cleansedreadcode"
"B630.00","Plasma Cell Malignancy","4944","Multiple myeloma","Diagnosis of Multiple myeloma and malignant plasma cell neoplasms",118,"Cancers",1,"344820010","109989006","344820010","cleansedreadcode"
"B630.11","Plasma Cell Malignancy","43552","Kahler's disease","Diagnosis of Multiple myeloma and malignant plasma cell neoplasms",118,"Cancers",1,"344818012","109989006","344818012","cleansedreadcode"
"B630.12","Plasma Cell Malignancy","15211","Myelomatosis","Diagnosis of Multiple myeloma and malignant plasma cell neoplasms",118,"Cancers",1,"344819016","109989006","344819016","cleansedreadcode"
"B630000","Plasma Cell Malignancy","22158","Malignant plasma cell neoplasm, extramedullary plasmacytoma","Diagnosis of Multiple myeloma and malignant plasma cell neoplasms",118,"Cancers",1,"289867014","188718006","289867014","cleansedreadcode"
"B630100","Plasma Cell Malignancy","19028","Solitary myeloma","Diagnosis of Multiple myeloma and malignant plasma cell neoplasms",118,"Cancers",1,"139571000006117","415112005","2534490012","cleansedreadcode"
"B630200","Plasma Cell Malignancy","21329","Plasmacytoma NOS","Diagnosis of Multiple myeloma and malignant plasma cell neoplasms",118,"Cancers",1,"225051000006119","415112005","2534490012","cleansedreadcode"
"B630300","Plasma Cell Malignancy","46042","Lambda light chain myeloma","Diagnosis of Multiple myeloma and malignant plasma cell neoplasms",118,"Cancers",1,"457317011","313427003","457317011","cleansedreadcode"
"B630400","Plasma Cell Malignancy","104418","Solitary plasmacytoma","Diagnosis of Multiple myeloma and malignant plasma cell neoplasms",118,"Cancers",1,"18484012","415112005","2537380010","cleansedreadcode"
"B631.00","Plasma Cell Malignancy","39187","Plasma cell leukaemia","Diagnosis of Multiple myeloma and malignant plasma cell neoplasms",118,"Cancers",1,"201743012","95210003","201743012","cleansedreadcode"
"B63z.00","Plasma Cell Malignancy","43450","Immunoproliferative neoplasm or myeloma NOS","Diagnosis of Multiple myeloma and malignant plasma cell neoplasms",118,"Cancers",1,"289874016","275524009","411516014","cleansedreadcode"
"B936.11","Plasma Cell Malignancy","43312","Myeloma - solitary","Diagnosis of Multiple myeloma and malignant plasma cell neoplasms",118,"Cancers",1,"683191000006119","415112005","2534490012","cleansedreadcode"
