"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"H511.00","Pleural effusion","31689","Bacterial pleurisy with effusion","Diagnosis of Pleural effusion",119,"Diseases of the Respiratory System",8,"141595017","85426002","141595017","cleansedreadcode"
"H511000","Pleural effusion","43345","Pneumococcal pleurisy with effusion","Diagnosis of Pleural effusion",119,"Diseases of the Respiratory System",8,"40785018","24302002","40785018","cleansedreadcode"
"H511100","Pleural effusion","93010","Staphylococcal pleurisy with effusion","Diagnosis of Pleural effusion",119,"Diseases of the Respiratory System",8,"39802016","23698009","39802016","cleansedreadcode"
"H511200","Pleural effusion","108784","Streptococcal pleurisy with effusion","Diagnosis of Pleural effusion",119,"Diseases of the Respiratory System",8,"12711015","7097001","12711015","cleansedreadcode"
"H511z00","Pleural effusion","44842","Bacterial pleurisy with effusion NOS","Diagnosis of Pleural effusion",119,"Diseases of the Respiratory System",8,"301661011","85426002","141595017","cleansedreadcode"
"H51y.00","Pleural effusion","30065","Other pleural effusion excluding mention of tuberculosis","Diagnosis of Pleural effusion",119,"Diseases of the Respiratory System",8,"301662016","60046008","99753013","cleansedreadcode"
"H51y400","Pleural effusion","33577","Hydrothorax","Diagnosis of Pleural effusion",119,"Diseases of the Respiratory System",8,"131465013","79231000","131465013","cleansedreadcode"
"H51y500","Pleural effusion","43807","Chylous effusion","Diagnosis of Pleural effusion",119,"Diseases of the Respiratory System",8,"557201000006112","83035003","137730015","cleansedreadcode"
"H51y700","Pleural effusion","7593","Malignant pleural effusion","Diagnosis of Pleural effusion",119,"Diseases of the Respiratory System",8,"138104014","83270006","138104014","cleansedreadcode"
"H51yz00","Pleural effusion","18081","Other pleural effusion","Diagnosis of Pleural effusion",119,"Diseases of the Respiratory System",8,"301667010","60046008","99753013","cleansedreadcode"
"H51z.00","Pleural effusion","947","Pleural effusion NOS","Diagnosis of Pleural effusion",119,"Diseases of the Respiratory System",8,"218801000006111","60046008","99753013","cleansedreadcode"
"H51z000","Pleural effusion","60142","Exudative pleurisy NOS","Diagnosis of Pleural effusion",119,"Diseases of the Respiratory System",8,"301669013","196075003","301644013","cleansedreadcode"
"H51z100","Pleural effusion","68470","Serofibrinous pleurisy NOS","Diagnosis of Pleural effusion",119,"Diseases of the Respiratory System",8,"301670014","196075003","301644013","cleansedreadcode"
"H51z200","Pleural effusion","55211","Serous pleurisy NOS","Diagnosis of Pleural effusion",119,"Diseases of the Respiratory System",8,"301671013","196075003","301644013","cleansedreadcode"
"H51zz00","Pleural effusion","9559","Pleural effusion NOS","Diagnosis of Pleural effusion",119,"Diseases of the Respiratory System",8,"301668017","60046008","99753013","cleansedreadcode"
"Hyu7000","Pleural effusion","52850","[X]Pleural effusion in conditions classified elsewhere","Diagnosis of Pleural effusion",119,"Diseases of the Respiratory System",8,"301856012","60046008","99753013","cleansedreadcode"
