"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"A173000","Posterior Uveitis","37329","Tuberculous chorioretinitis","Diagnosis of posterior uveitis",125,"Diseases of the Eye",6,"286317012","186263000","286317012","cleansedreadcode"
"A900.12","Posterior Uveitis","50581","Congenital syphilitic choroiditis","Diagnosis of posterior uveitis",125,"Diseases of the Eye",6,"17368014","266125005","395386019","cleansedreadcode"
"A915100","Posterior Uveitis","72903","Secondary syphilitic chorioretinitis","Diagnosis of posterior uveitis",125,"Diseases of the Eye",6,"110078018","66281009","110078018","cleansedreadcode"
"A94y200","Posterior Uveitis","58738","Syphilitic disseminated retinochoroiditis","Diagnosis of posterior uveitis",125,"Diseases of the Eye",6,"129342012","77939001","129342012","cleansedreadcode"
"AD02.00","Posterior Uveitis","31619","Toxoplasma chorioretinitis","Diagnosis of posterior uveitis",125,"Diseases of the Eye",6,"287862010","187194004","287862010","cleansedreadcode"
"F401000","Posterior Uveitis","31684","Sympathetic uveitis","Diagnosis of posterior uveitis",125,"Diseases of the Eye",6,"125088015","75315001","125088015","cleansedreadcode"
"F401100","Posterior Uveitis","21685","Panuveitis","Diagnosis of posterior uveitis",125,"Diseases of the Eye",6,"125588013","75614007","125588013","cleansedreadcode"
"F430.00","Posterior Uveitis","34170","Focal chorioretinitis and retinochoroiditis","Diagnosis of posterior uveitis",125,"Diseases of the Eye",6,"763071000006113","15847003","26851010","cleansedreadcode"
"F430.11","Posterior Uveitis","16629","Retinitis and chorioretinitis","Diagnosis of posterior uveitis",125,"Diseases of the Eye",6,"170161000006113","46627006","494556018","cleansedreadcode"
"F430000","Posterior Uveitis","39964","Unspecified focal chorioretinitis","Diagnosis of posterior uveitis",125,"Diseases of the Eye",6,"297887018","15847003","26851010","cleansedreadcode"
"F430100","Posterior Uveitis","45908","Focal juxtapapillary choroiditis","Diagnosis of posterior uveitis",125,"Diseases of the Eye",6,"297888011","193434008","297888011","cleansedreadcode"
"F430200","Posterior Uveitis","94848","Other posterior pole focal chorioretinitis","Diagnosis of posterior uveitis",125,"Diseases of the Eye",6,"297891011","15847003","26851010","cleansedreadcode"
"F430300","Posterior Uveitis","55978","Peripheral focal chorioretinitis","Diagnosis of posterior uveitis",125,"Diseases of the Eye",6,"1231652019","56787009","1231652019","cleansedreadcode"
"F430400","Posterior Uveitis","96303","Focal juxtapapillary retinitis","Diagnosis of posterior uveitis",125,"Diseases of the Eye",6,"763131000006111","193436005","297892016","cleansedreadcode"
"F430500","Posterior Uveitis","27424","Focal macular retinochoroiditis","Diagnosis of posterior uveitis",125,"Diseases of the Eye",6,"763141000006118","42031001","1229822017","cleansedreadcode"
"F430600","Posterior Uveitis","97455","Other posterior pole focal retinitis","Diagnosis of posterior uveitis",125,"Diseases of the Eye",6,"297893014","15847003","26851010","cleansedreadcode"
"F430700","Posterior Uveitis","55312","Peripheral focal retinochoroiditis","Diagnosis of posterior uveitis",125,"Diseases of the Eye",6,"297894015","193438006","297894015","cleansedreadcode"
"F430800","Posterior Uveitis","98959","Multifocal choroiditis","Diagnosis of posterior uveitis",125,"Diseases of the Eye",6,"2535612016","414783007","2535612016","cleansedreadcode"
"F430z00","Posterior Uveitis","32239","Focal chorioretinitis or retinochoroiditis NOS","Diagnosis of posterior uveitis",125,"Diseases of the Eye",6,"297895019","15847003","26851010","cleansedreadcode"
"F431.00","Posterior Uveitis","43496","Disseminated chorioretinitis and retinochoroiditis","Diagnosis of posterior uveitis",125,"Diseases of the Eye",6,"625191000006111","78769001","130709010","cleansedreadcode"
"F431000","Posterior Uveitis","66369","Unspecified disseminated chorioretinitis","Diagnosis of posterior uveitis",125,"Diseases of the Eye",6,"297897010","78769001","130709010","cleansedreadcode"
"F431300","Posterior Uveitis","65993","General disseminated chorioretinitis","Diagnosis of posterior uveitis",125,"Diseases of the Eye",6,"297900015","193444005","297900015","cleansedreadcode"
"F431400","Posterior Uveitis","67906","Metastatic disseminated retinitis","Diagnosis of posterior uveitis",125,"Diseases of the Eye",6,"297901016","193445006","297901016","cleansedreadcode"
"F431500","Posterior Uveitis","22532","Pigmented epithelial disseminated retinitis","Diagnosis of posterior uveitis",125,"Diseases of the Eye",6,"297902011","193446007","297902011","cleansedreadcode"
"F431600","Posterior Uveitis","98424","Punctate inner choroidopathy","Diagnosis of posterior uveitis",125,"Diseases of the Eye",6,"456766016","312950007","456766016","cleansedreadcode"
"F431z00","Posterior Uveitis","99779","Disseminated chorioretinitis and retinochoroiditis NOS","Diagnosis of posterior uveitis",125,"Diseases of the Eye",6,"297903018","78769001","130709010","cleansedreadcode"
"F432.00","Posterior Uveitis","58055","Other chorioretinitis and retinochoroiditis","Diagnosis of posterior uveitis",125,"Diseases of the Eye",6,"297904012","46627006","77715016","cleansedreadcode"
"F432000","Posterior Uveitis","4785","Choroiditis NOS","Diagnosis of posterior uveitis",125,"Diseases of the Eye",6,"297905013","16553002","28007010","cleansedreadcode"
"F432100","Posterior Uveitis","16264","Retinitis NOS","Diagnosis of posterior uveitis",125,"Diseases of the Eye",6,"297906014","399463004","1778879011","cleansedreadcode"
"F432200","Posterior Uveitis","10999","Posterior uveitis NOS","Diagnosis of posterior uveitis",125,"Diseases of the Eye",6,"297907017","43363007","72348013","cleansedreadcode"
"F432400","Posterior Uveitis","39882","Harada's disease","Diagnosis of posterior uveitis",125,"Diseases of the Eye",6,"297979015","193497004","297979015","cleansedreadcode"
