"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"B151.00","Primary Malignancy_Biliary Tract","16915","Malignant neoplasm of intrahepatic bile ducts","Diagnosis of Primary Malignancy_biliary tract",126,"Cancers",1,"155305011","187777008","288698019","cleansedreadcode"
"B151000","Primary Malignancy_Biliary Tract","65124","Malignant neoplasm of interlobular bile ducts","Diagnosis of Primary Malignancy_biliary tract",126,"Cancers",1,"288694017","187773007","288694017","cleansedreadcode"
"B151200","Primary Malignancy_Biliary Tract","89593","Malignant neoplasm of intrahepatic biliary passages","Diagnosis of Primary Malignancy_biliary tract",126,"Cancers",1,"2619456011","187777008","2619456011","cleansedreadcode"
"B151400","Primary Malignancy_Biliary Tract","58088","Malignant neoplasm of intrahepatic gall duct","Diagnosis of Primary Malignancy_biliary tract",126,"Cancers",1,"288698019","187777008","288698019","cleansedreadcode"
"B151z00","Primary Malignancy_Biliary Tract","61643","Malignant neoplasm of intrahepatic bile ducts NOS","Diagnosis of Primary Malignancy_biliary tract",126,"Cancers",1,"288699010","187777008","288698019","cleansedreadcode"
"B161.00","Primary Malignancy_Biliary Tract","23433","Malignant neoplasm of extrahepatic bile ducts","Diagnosis of Primary Malignancy_biliary tract",126,"Cancers",1,"726201000006111","363416002","482631015","cleansedreadcode"
"B161000","Primary Malignancy_Biliary Tract","72445","Malignant neoplasm of cystic duct","Diagnosis of Primary Malignancy_biliary tract",126,"Cancers",1,"155207017","93770008","155207017","cleansedreadcode"
"B161100","Primary Malignancy_Biliary Tract","52537","Malignant neoplasm of hepatic duct","Diagnosis of Primary Malignancy_biliary tract",126,"Cancers",1,"288707014","187784000","288707014","cleansedreadcode"
"B161200","Primary Malignancy_Biliary Tract","7982","Malignant neoplasm of common bile duct","Diagnosis of Primary Malignancy_biliary tract",126,"Cancers",1,"726361000006119","93763008","155198014","cleansedreadcode"
"B161211","Primary Malignancy_Biliary Tract","36495","Carcinoma common bile duct","Diagnosis of Primary Malignancy_biliary tract",126,"Cancers",1,"380139012","255086002","380139012","cleansedreadcode"
"B161300","Primary Malignancy_Biliary Tract","105613","Malignant neoplasm of sphincter of Oddi","Diagnosis of Primary Malignancy_biliary tract",126,"Cancers",1,"288711015","187786003","288711015","cleansedreadcode"
"B161z00","Primary Malignancy_Biliary Tract","74896","Malignant neoplasm of extrahepatic bile ducts NOS","Diagnosis of Primary Malignancy_biliary tract",126,"Cancers",1,"288712010","363416002","482631015","cleansedreadcode"
"B162.00","Primary Malignancy_Biliary Tract","10949","Malignant neoplasm of ampulla of Vater","Diagnosis of Primary Malignancy_biliary tract",126,"Cancers",1,"727911000006116","363417006","482633017","cleansedreadcode"
"B163.00","Primary Malignancy_Biliary Tract","35039","Malignant neoplasm, overlapping lesion of biliary tract","Diagnosis of Primary Malignancy_biliary tract",126,"Cancers",1,"1219537012","109847004","1219537012","cleansedreadcode"
"BB5D100","Primary Malignancy_Biliary Tract","8711","[M]Cholangiocarcinoma","Diagnosis of Primary Malignancy_biliary tract",126,"Cancers",1,"306641000006116","70179006","116557016","cleansedreadcode"
"BB5D111","Primary Malignancy_Biliary Tract","40438","[M]Bile duct carcinoma","Diagnosis of Primary Malignancy_biliary tract",126,"Cancers",1,"305941000006117","70179006","116558014","cleansedreadcode"
"BB5D300","Primary Malignancy_Biliary Tract","41313","[M]Bile duct cystadenocarcinoma","Diagnosis of Primary Malignancy_biliary tract",126,"Cancers",1,"305951000006115","50422007","84004017","cleansedreadcode"
"BB5D700","Primary Malignancy_Biliary Tract","107299","[M]Combined hepatocellular carcinoma and cholangiocarcinoma","Diagnosis of Primary Malignancy_biliary tract",126,"Cancers",1,"1231089017","52178006","1231089017","cleansedreadcode"
"BB5D711","Primary Malignancy_Biliary Tract","110147","[M]Hepatocholangiocarcinoma","Diagnosis of Primary Malignancy_biliary tract",126,"Cancers",1,"309851000006114","52178006","1231089017","cleansedreadcode"
