"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Primary Malignancy_Bladder",NA,"Carcinoma bladder",NA,127,"Cancers",1,"880461000006118","399326009","880461000006118","termsearch"
NA,"Primary Malignancy_Bladder",NA,"Malignant tumour of urinary bladder",NA,127,"Cancers",1,"6620961000006112","399326009","1773307015","termsearch"
"","Primary Malignancy_Bladder","","local recurrence of malignant tumour of urinary bladder","Diagnosis of Primary Malignancy_Bladder",127,"Cancers",1,"1803771000006112","314968009","1803771000006112","originalreadcode"
"B49..00","Primary Malignancy_Bladder","779","Malignant neoplasm of urinary bladder","Diagnosis of Primary Malignancy_Bladder",127,"Cancers",1,"1786811017","399326009","1786811017","cleansedreadcode"
"B490.00","Primary Malignancy_Bladder","38862","Malignant neoplasm of trigone of urinary bladder","Diagnosis of Primary Malignancy_Bladder",127,"Cancers",1,"289262014","188239000","289262014","cleansedreadcode"
"B491.00","Primary Malignancy_Bladder","44996","Malignant neoplasm of dome of urinary bladder","Diagnosis of Primary Malignancy_Bladder",127,"Cancers",1,"289267015","188240003","289267015","cleansedreadcode"
"B492.00","Primary Malignancy_Bladder","35963","Malignant neoplasm of lateral wall of urinary bladder","Diagnosis of Primary Malignancy_Bladder",127,"Cancers",1,"289270016","188241004","289270016","cleansedreadcode"
"B493.00","Primary Malignancy_Bladder","19162","Malignant neoplasm of anterior wall of urinary bladder","Diagnosis of Primary Malignancy_Bladder",127,"Cancers",1,"289271017","188242006","289271017","cleansedreadcode"
"B494.00","Primary Malignancy_Bladder","42012","Malignant neoplasm of posterior wall of urinary bladder","Diagnosis of Primary Malignancy_Bladder",127,"Cancers",1,"289272012","188243001","289272012","cleansedreadcode"
"B495.00","Primary Malignancy_Bladder","41571","Malignant neoplasm of bladder neck","Diagnosis of Primary Malignancy_Bladder",127,"Cancers",1,"289275014","188244007","289275014","cleansedreadcode"
"B496.00","Primary Malignancy_Bladder","28241","Malignant neoplasm of ureteric orifice","Diagnosis of Primary Malignancy_Bladder",127,"Cancers",1,"289276010","188245008","289276010","cleansedreadcode"
"B497.00","Primary Malignancy_Bladder","42023","Malignant neoplasm of urachus","Diagnosis of Primary Malignancy_Bladder",127,"Cancers",1,"720951000006119","363456000","482708010","cleansedreadcode"
"B498.00","Primary Malignancy_Bladder","105388","Local recurrence of malignant tumour of urinary bladder","Diagnosis of Primary Malignancy_Bladder",127,"Cancers",1,"459399016","314968009","459399016","cleansedreadcode"
"B49y.00","Primary Malignancy_Bladder","36949","Malignant neoplasm of other site of urinary bladder","Diagnosis of Primary Malignancy_Bladder",127,"Cancers",1,"289279015","399326009","1773307015","cleansedreadcode"
"B49y000","Primary Malignancy_Bladder","47801","Malignant neoplasm, overlapping lesion of bladder","Diagnosis of Primary Malignancy_Bladder",127,"Cancers",1,"289280017","188247000","289280017","cleansedreadcode"
"B49z.00","Primary Malignancy_Bladder","31102","Malignant neoplasm of urinary bladder NOS","Diagnosis of Primary Malignancy_Bladder",127,"Cancers",1,"289281018","399326009","1786811017","cleansedreadcode"
