"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Primary Malignancy_Bowel",NA,"Ca ascending colon",NA,129,"Cancers",1,"1228541018","363412000","879871000006110","termsearch"
NA,"Primary Malignancy_Bowel",NA,"Ca descending colon",NA,129,"Cancers",1,"1228539019","363409003","879851000006117","termsearch"
NA,"Primary Malignancy_Bowel",NA,"Ca hepatic flexure - colon",NA,129,"Cancers",1,"1228537017","363407001","1228537017","termsearch"
NA,"Primary Malignancy_Bowel",NA,"Ca sigmoid colon",NA,129,"Cancers",1,"1228540017","363410008","879861000006115","termsearch"
NA,"Primary Malignancy_Bowel",NA,"Ca splenic flexure - colon",NA,129,"Cancers",1,"1228542013","363413005","1228542013","termsearch"
NA,"Primary Malignancy_Bowel",NA,"Ca transverse colon",NA,129,"Cancers",1,"1228538010","363408006","1228538010","termsearch"
NA,"Primary Malignancy_Bowel",NA,"Malignant tumour of rectum",NA,129,"Cancers",1,"6242981000006116","363351006","6242981000006116","termsearch"
"","Primary Malignancy_Bowel","","carcinoma of rectum","Diagnosis of Primary Malignancy_colorectal and anus",129,"Cancers",1,"11923481000006115","254582000","379088010","originalreadcode"
"","Primary Malignancy_Bowel","","hereditary nonpolyposis colon cancer","Diagnosis of Primary Malignancy_colorectal and anus",129,"Cancers",1,"1728161000006116","1728161000006100","1728161000006116","originalreadcode"
"","Primary Malignancy_Bowel","","malignant neoplasm of anus unspecified","Diagnosis of Primary Malignancy_colorectal and anus",129,"Cancers",1,"12724541000006118","663651000000108","1457191000000114","originalreadcode"
"","Primary Malignancy_Bowel","","rectal carcinoma","Diagnosis of Primary Malignancy_colorectal and anus",129,"Cancers",1,"11904531000006110","254582000","379089019","originalreadcode"
"B13..00","Primary Malignancy_Bowel","1220","Malignant neoplasm of colon","Diagnosis of Primary Malignancy_colorectal and anus",129,"Cancers",1,"726331000006111","363406005","3446619012","cleansedreadcode"
"B130.00","Primary Malignancy_Bowel","9088","Malignant neoplasm of hepatic flexure of colon","Diagnosis of Primary Malignancy_colorectal and anus",129,"Cancers",1,"725191000006116","363407001","482614010","cleansedreadcode"
"B131.00","Primary Malignancy_Bowel","6935","Malignant neoplasm of transverse colon","Diagnosis of Primary Malignancy_colorectal and anus",129,"Cancers",1,"721421000006112","363408006","482615011","cleansedreadcode"
"B132.00","Primary Malignancy_Bowel","10864","Malignant neoplasm of descending colon","Diagnosis of Primary Malignancy_colorectal and anus",129,"Cancers",1,"725951000006112","363409003","482618013","cleansedreadcode"
"B133.00","Primary Malignancy_Bowel","2815","Malignant neoplasm of sigmoid colon","Diagnosis of Primary Malignancy_colorectal and anus",129,"Cancers",1,"721991000006115","363410008","482619017","cleansedreadcode"
"B134.00","Primary Malignancy_Bowel","3811","Malignant neoplasm of caecum","Diagnosis of Primary Malignancy_colorectal and anus",129,"Cancers",1,"1216464010","363350007","1216464010","cleansedreadcode"
"B134.11","Primary Malignancy_Bowel","22163","Carcinoma of caecum","Diagnosis of Primary Malignancy_colorectal and anus",129,"Cancers",1,"380129018","255081007","380129018","cleansedreadcode"
"B135.00","Primary Malignancy_Bowel","18632","Malignant neoplasm of appendix","Diagnosis of Primary Malignancy_colorectal and anus",129,"Cancers",1,"727281000006117","363411007","482621010","cleansedreadcode"
"B136.00","Primary Malignancy_Bowel","10946","Malignant neoplasm of ascending colon","Diagnosis of Primary Malignancy_colorectal and anus",129,"Cancers",1,"727321000006111","363412000","482623013","cleansedreadcode"
"B137.00","Primary Malignancy_Bowel","18619","Malignant neoplasm of splenic flexure of colon","Diagnosis of Primary Malignancy_colorectal and anus",129,"Cancers",1,"721821000006114","363413005","482625018","cleansedreadcode"
"B138.00","Primary Malignancy_Bowel","93478","Malignant neoplasm, overlapping lesion of colon","Diagnosis of Primary Malignancy_colorectal and anus",129,"Cancers",1,"288670017","187757001","288670017","cleansedreadcode"
"B139.00","Primary Malignancy_Bowel","101700","Hereditary nonpolyposis colon cancer","Diagnosis of Primary Malignancy_colorectal and anus",129,"Cancers",1,"459527013","315058005","459527013","cleansedreadcode"
"B13y.00","Primary Malignancy_Bowel","48231","Malignant neoplasm of other specified sites of colon","Diagnosis of Primary Malignancy_colorectal and anus",129,"Cancers",1,"288671018","363406005","482611019","cleansedreadcode"
"B13z.00","Primary Malignancy_Bowel","28163","Malignant neoplasm of colon NOS","Diagnosis of Primary Malignancy_colorectal and anus",129,"Cancers",1,"403682011","363406005","482611019","cleansedreadcode"
"B13z.11","Primary Malignancy_Bowel","9118","Colonic cancer","Diagnosis of Primary Malignancy_colorectal and anus",129,"Cancers",1,"573611000006118","363406005","482611019","cleansedreadcode"
"B14..00","Primary Malignancy_Bowel","35357","Malignant neoplasm of rectum, rectosigmoid junction and anus","Diagnosis of Primary Malignancy_colorectal and anus",129,"Cancers",1,"288675010","187760008","288675010","cleansedreadcode"
"B140.00","Primary Malignancy_Bowel","27855","Malignant neoplasm of rectosigmoid junction","Diagnosis of Primary Malignancy_colorectal and anus",129,"Cancers",1,"722441000006110","363414004","482627014","cleansedreadcode"
"B141.00","Primary Malignancy_Bowel","1800","Malignant neoplasm of rectum","Diagnosis of Primary Malignancy_colorectal and anus",129,"Cancers",1,"155488014","363351006","482502014","cleansedreadcode"
"B141.11","Primary Malignancy_Bowel","7219","Carcinoma of rectum","Diagnosis of Primary Malignancy_colorectal and anus",129,"Cancers",1,"379088010","254582000","379090011","cleansedreadcode"
"B141.12","Primary Malignancy_Bowel","5901","Rectal carcinoma","Diagnosis of Primary Malignancy_colorectal and anus",129,"Cancers",1,"379089019","254582000","379090011","cleansedreadcode"
"B142.00","Primary Malignancy_Bowel","24370","Malignant neoplasm of anal canal","Diagnosis of Primary Malignancy_colorectal and anus",129,"Cancers",1,"155076015","363352004","482503016","cleansedreadcode"
"B142.11","Primary Malignancy_Bowel","9491","Anal carcinoma","Diagnosis of Primary Malignancy_colorectal and anus",129,"Cancers",1,"380137014","363352004","482503016","cleansedreadcode"
"B142000","Primary Malignancy_Bowel","46159","Malignant neoplasm of cloacogenic zone","Diagnosis of Primary Malignancy_colorectal and anus",129,"Cancers",1,"174518012","363491008","482769017","cleansedreadcode"
"B143.00","Primary Malignancy_Bowel","27897","Malignant neoplasm of anus unspecified","Diagnosis of Primary Malignancy_colorectal and anus",129,"Cancers",1,"288685011","363490009","482768013","cleansedreadcode"
"B14y.00","Primary Malignancy_Bowel","55659","Malig neop other site rectum, rectosigmoid junction and anus","Diagnosis of Primary Malignancy_colorectal and anus",129,"Cancers",1,"729581000006111","187760008","288675010","cleansedreadcode"
"B14z.00","Primary Malignancy_Bowel","50974","Malignant neoplasm rectum,rectosigmoid junction and anus NOS","Diagnosis of Primary Malignancy_colorectal and anus",129,"Cancers",1,"720501000006110","187760008","288675010","cleansedreadcode"
"B1z0.11","Primary Malignancy_Bowel","11628","Cancer of bowel","Diagnosis of Primary Malignancy_colorectal and anus",129,"Cancers",1,"841331000006115","363508008","1228620018","cleansedreadcode"
