"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"","Primary Malignancy_Brain","","[m]glioma nos","Diagnosis of Primary Malignancy_Brain, Other CNS and Intracranial",130,"Cancers",1,"309261000006112","74532006","2552865010","description"
"B51..00","Primary Malignancy_Brain","18617","Malignant neoplasm of brain","Diagnosis of Primary Malignancy_Brain, Other CNS and Intracranial",130,"Cancers",1,"2692069010","428061005","2692069010","cleansedreadcode"
"B51..11","Primary Malignancy_Brain","10851","Cerebral tumour - malignant","Diagnosis of Primary Malignancy_Brain, Other CNS and Intracranial",130,"Cancers",1,"543111000006111","428061005","2692069010","cleansedreadcode"
"B510.00","Primary Malignancy_Brain","15711","Malignant neoplasm cerebrum (excluding lobes and ventricles)","Diagnosis of Primary Malignancy_Brain, Other CNS and Intracranial",130,"Cancers",1,"727771000006111","188280007","289336015","cleansedreadcode"
"B510000","Primary Malignancy_Brain","48073","Malignant neoplasm of basal ganglia","Diagnosis of Primary Malignancy_Brain, Other CNS and Intracranial",130,"Cancers",1,"289337012","188281006","289337012","cleansedreadcode"
"B510100","Primary Malignancy_Brain","61399","Malignant neoplasm of cerebral cortex","Diagnosis of Primary Malignancy_Brain, Other CNS and Intracranial",130,"Cancers",1,"289338019","188282004","289338019","cleansedreadcode"
"B510300","Primary Malignancy_Brain","99913","Malignant neoplasm of globus pallidus","Diagnosis of Primary Malignancy_Brain, Other CNS and Intracranial",130,"Cancers",1,"289341011","188285002","289341011","cleansedreadcode"
"B510400","Primary Malignancy_Brain","70942","Malignant neoplasm of hypothalamus","Diagnosis of Primary Malignancy_Brain, Other CNS and Intracranial",130,"Cancers",1,"289343014","188286001","289343014","cleansedreadcode"
"B510500","Primary Malignancy_Brain","62126","Malignant neoplasm of thalamus","Diagnosis of Primary Malignancy_Brain, Other CNS and Intracranial",130,"Cancers",1,"289345019","188287005","289345019","cleansedreadcode"
"B510z00","Primary Malignancy_Brain","54133","Malignant neoplasm of cerebrum NOS","Diagnosis of Primary Malignancy_Brain, Other CNS and Intracranial",130,"Cancers",1,"289346018","188280007","289336015","cleansedreadcode"
