"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Primary Malignancy_Breast",NA,"Ca breast - NOS",NA,131,"Cancers",1,"880331000006115","549521000000102","880331000006115","termsearch"
NA,"Primary Malignancy_Breast",NA,"Ca breast - axillary tail",NA,131,"Cancers",1,"880321000006118","188156001","880321000006118","termsearch"
NA,"Primary Malignancy_Breast",NA,"Ca breast - male",NA,131,"Cancers",1,"880341000006113","93884005","880341000006113","termsearch"
NA,"Primary Malignancy_Breast",NA,"Ca breast - nipple/central",NA,131,"Cancers",1,"880271000006114","188147009","880271000006114","termsearch"
NA,"Primary Malignancy_Breast",NA,"Ca breast-lower,inner quadrant",NA,131,"Cancers",1,"880291000006110","188153009","880291000006110","termsearch"
NA,"Primary Malignancy_Breast",NA,"Ca breast-lower,outer quadrant",NA,131,"Cancers",1,"880311000006114","188155002","880311000006114","termsearch"
NA,"Primary Malignancy_Breast",NA,"Ca breast-upper,inner quadrant",NA,131,"Cancers",1,"880281000006112","188152004","880281000006112","termsearch"
NA,"Primary Malignancy_Breast",NA,"Ca breast-upper,outer quadrant",NA,131,"Cancers",1,"880301000006111","188154003","880301000006111","termsearch"
NA,"Primary Malignancy_Breast",NA,"Carcinoma breast",NA,131,"Cancers",1,"880261000006119","372064008","880261000006119","termsearch"
NA,"Primary Malignancy_Breast",NA,"Carcinoma in situ breast",NA,131,"Cancers",1,"881181000006112","189336000","881181000006112","termsearch"
NA,"Primary Malignancy_Breast",NA,"Paget's disease and intraductal carcinoma of breast",NA,131,"Cancers",1,"3387071000006114","54666007","90843010","termsearch"
NA,"Primary Malignancy_Breast",NA,"[RFC] Breast cancer",NA,131,"Cancers",1,"907341000006116","907341000006100","907341000006116","termsearch"
"","Primary Malignancy_Breast","","[x]malignant neoplasm of breast","Diagnosis of Primary Malignancy_Breast",131,"Cancers",1,"11918121000006112","254837009","396211000006116","originalreadcode"
"","Primary Malignancy_Breast","","local recurrence of malignant tumour of breast","Diagnosis of Primary Malignancy_Breast",131,"Cancers",1,"1803781000006110","314955001","1803781000006110","originalreadcode"
"","Primary Malignancy_Breast","","malignant neoplasm of female breast nos","Diagnosis of Primary Malignancy_Breast",131,"Cancers",1,"12723471000006112","549521000000102","1224211000000116","originalreadcode"
"B34..00","Primary Malignancy_Breast","3968","Malignant neoplasm of female breast","Diagnosis of Primary Malignancy_Breast",131,"Cancers",1,"1210642019","372064008","1210642019","cleansedreadcode"
"B34..11","Primary Malignancy_Breast","348","Ca female breast","Diagnosis of Primary Malignancy_Breast",131,"Cancers",1,"531851000006119","372064008","1210642019","cleansedreadcode"
"B340.00","Primary Malignancy_Breast","26853","Malignant neoplasm of nipple and areola of female breast","Diagnosis of Primary Malignancy_Breast",131,"Cancers",1,"289137018","188147009","289137018","cleansedreadcode"
"B340000","Primary Malignancy_Breast","23380","Malignant neoplasm of nipple of female breast","Diagnosis of Primary Malignancy_Breast",131,"Cancers",1,"155417012","93924008","155417012","cleansedreadcode"
"B340100","Primary Malignancy_Breast","64686","Malignant neoplasm of areola of female breast","Diagnosis of Primary Malignancy_Breast",131,"Cancers",1,"155089014","93680004","155089014","cleansedreadcode"
"B340z00","Primary Malignancy_Breast","59831","Malignant neoplasm of nipple or areola of female breast NOS","Diagnosis of Primary Malignancy_Breast",131,"Cancers",1,"289140018","188147009","289137018","cleansedreadcode"
"B341.00","Primary Malignancy_Breast","31546","Malignant neoplasm of central part of female breast","Diagnosis of Primary Malignancy_Breast",131,"Cancers",1,"289141019","188151006","289141019","cleansedreadcode"
"B342.00","Primary Malignancy_Breast","29826","Malignant neoplasm of upper-inner quadrant of female breast","Diagnosis of Primary Malignancy_Breast",131,"Cancers",1,"289142014","188152004","289142014","cleansedreadcode"
"B343.00","Primary Malignancy_Breast","45222","Malignant neoplasm of lower-inner quadrant of female breast","Diagnosis of Primary Malignancy_Breast",131,"Cancers",1,"289143016","188153009","289143016","cleansedreadcode"
"B344.00","Primary Malignancy_Breast","23399","Malignant neoplasm of upper-outer quadrant of female breast","Diagnosis of Primary Malignancy_Breast",131,"Cancers",1,"289144010","188154003","289144010","cleansedreadcode"
"B345.00","Primary Malignancy_Breast","42070","Malignant neoplasm of lower-outer quadrant of female breast","Diagnosis of Primary Malignancy_Breast",131,"Cancers",1,"289145011","188155002","289145011","cleansedreadcode"
"B346.00","Primary Malignancy_Breast","20685","Malignant neoplasm of axillary tail of female breast","Diagnosis of Primary Malignancy_Breast",131,"Cancers",1,"289146012","188156001","289146012","cleansedreadcode"
"B347.00","Primary Malignancy_Breast","49148","Malignant neoplasm, overlapping lesion of breast","Diagnosis of Primary Malignancy_Breast",131,"Cancers",1,"289147015","188157005","289147015","cleansedreadcode"
"B34y.00","Primary Malignancy_Breast","56715","Malignant neoplasm of other site of female breast","Diagnosis of Primary Malignancy_Breast",131,"Cancers",1,"289148013","372064008","1210642019","cleansedreadcode"
"B34y000","Primary Malignancy_Breast","95057","Malignant neoplasm of ectopic site of female breast","Diagnosis of Primary Malignancy_Breast",131,"Cancers",1,"289149017","188159008","289149017","cleansedreadcode"
"B34yz00","Primary Malignancy_Breast","38475","Malignant neoplasm of other site of female breast NOS","Diagnosis of Primary Malignancy_Breast",131,"Cancers",1,"289150017","372064008","1210642019","cleansedreadcode"
"B34z.00","Primary Malignancy_Breast","9470","Malignant neoplasm of female breast NOS","Diagnosis of Primary Malignancy_Breast",131,"Cancers",1,"289151018","372064008","1210642019","cleansedreadcode"
"B35..00","Primary Malignancy_Breast","19423","Malignant neoplasm of male breast","Diagnosis of Primary Malignancy_Breast",131,"Cancers",1,"155364013","372095001","1210673015","cleansedreadcode"
"B350.00","Primary Malignancy_Breast","54494","Malignant neoplasm of nipple and areola of male breast","Diagnosis of Primary Malignancy_Breast",131,"Cancers",1,"289153015","188163001","289153015","cleansedreadcode"
"B350000","Primary Malignancy_Breast","68480","Malignant neoplasm of nipple of male breast","Diagnosis of Primary Malignancy_Breast",131,"Cancers",1,"155418019","93925009","155418019","cleansedreadcode"
"B350100","Primary Malignancy_Breast","67884","Malignant neoplasm of areola of male breast","Diagnosis of Primary Malignancy_Breast",131,"Cancers",1,"155090017","93681000","155090017","cleansedreadcode"
"B35z.00","Primary Malignancy_Breast","54202","Malignant neoplasm of other site of male breast","Diagnosis of Primary Malignancy_Breast",131,"Cancers",1,"289157019","372095001","1210673015","cleansedreadcode"
"B35z000","Primary Malignancy_Breast","95323","Malignant neoplasm of ectopic site of male breast","Diagnosis of Primary Malignancy_Breast",131,"Cancers",1,"289158012","188168005","289158012","cleansedreadcode"
"B35zz00","Primary Malignancy_Breast","48809","Malignant neoplasm of male breast NOS","Diagnosis of Primary Malignancy_Breast",131,"Cancers",1,"289159016","372095001","1210673015","cleansedreadcode"
"B36..00","Primary Malignancy_Breast","105488","Local recurrence of malignant tumour of breast","Diagnosis of Primary Malignancy_Breast",131,"Cancers",1,"459378019","314955001","459378019","cleansedreadcode"
"B830.00","Primary Malignancy_Breast","7833","Carcinoma in situ of breast","Diagnosis of Primary Malignancy_Breast",131,"Cancers",1,"290868010","189336000","290868010","cleansedreadcode"
"B830000","Primary Malignancy_Breast","10387","Lobular carcinoma in situ of breast","Diagnosis of Primary Malignancy_Breast",131,"Cancers",1,"174576019","109888004","174576019","cleansedreadcode"
"B830100","Primary Malignancy_Breast","18694","Intraductal carcinoma in situ of breast","Diagnosis of Primary Malignancy_Breast",131,"Cancers",1,"174577011","109889007","174577011","cleansedreadcode"
"BB91.00","Primary Malignancy_Breast","8351","[M]Infiltrating duct carcinoma","Diagnosis of Primary Malignancy_Breast",131,"Cancers",1,"310311000006110","82711006","137203014","cleansedreadcode"
"BB91.11","Primary Malignancy_Breast","21833","[M]Duct carcinoma NOS","Diagnosis of Primary Malignancy_Breast",131,"Cancers",1,"307631000006111","82711006","137210015","cleansedreadcode"
