"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Primary Malignancy_Cervix",NA,"Carcinoma body of uterus",NA,132,"Cancers",1,"880381000006119","371972005","880381000006119","termsearch"
NA,"Primary Malignancy_Cervix",NA,"Carcinoma in situ cervix uteri",NA,132,"Cancers",1,"881191000006110","285636001","881191000006110","termsearch"
NA,"Primary Malignancy_Cervix",NA,"[RFC] Cancer of the cervix",NA,132,"Cancers",1,"907091000006110","907091000006106","907091000006110","termsearch"
"B41..00","Primary Malignancy_Cervix","2747","Malignant neoplasm of cervix uteri","Diagnosis of Primary Malignancy_Cervical",132,"Cancers",1,"1228493018","363354003","1228493018","cleansedreadcode"
"B41..11","Primary Malignancy_Cervix","3230","Cervical carcinoma (uterus)","Diagnosis of Primary Malignancy_Cervical",132,"Cancers",1,"543481000006111","363354003","482507015","cleansedreadcode"
"B410.00","Primary Malignancy_Cervix","48820","Malignant neoplasm of endocervix","Diagnosis of Primary Malignancy_Cervical",132,"Cancers",1,"155218017","372097009","1210675010","cleansedreadcode"
"B410000","Primary Malignancy_Cervix","57235","Malignant neoplasm of endocervical canal","Diagnosis of Primary Malignancy_Cervical",132,"Cancers",1,"289171010","188176007","289171010","cleansedreadcode"
"B410100","Primary Malignancy_Cervix","53103","Malignant neoplasm of endocervical gland","Diagnosis of Primary Malignancy_Cervical",132,"Cancers",1,"289172015","188177003","289172015","cleansedreadcode"
"B410z00","Primary Malignancy_Cervix","50285","Malignant neoplasm of endocervix NOS","Diagnosis of Primary Malignancy_Cervical",132,"Cancers",1,"289173013","372097009","1210675010","cleansedreadcode"
"B411.00","Primary Malignancy_Cervix","50297","Malignant neoplasm of exocervix","Diagnosis of Primary Malignancy_Cervical",132,"Cancers",1,"155231010","372099007","1210677019","cleansedreadcode"
"B412.00","Primary Malignancy_Cervix","58094","Malignant neoplasm, overlapping lesion of cervix uteri","Diagnosis of Primary Malignancy_Cervical",132,"Cancers",1,"289175018","188180002","289175018","cleansedreadcode"
"B41y.00","Primary Malignancy_Cervix","32955","Malignant neoplasm of other site of cervix","Diagnosis of Primary Malignancy_Cervical",132,"Cancers",1,"289178016","363354003","482507015","cleansedreadcode"
"B41y000","Primary Malignancy_Cervix","95505","Malignant neoplasm of cervical stump","Diagnosis of Primary Malignancy_Cervical",132,"Cancers",1,"289179012","188183000","289179012","cleansedreadcode"
"B41y100","Primary Malignancy_Cervix","57719","Malignant neoplasm of squamocolumnar junction of cervix","Diagnosis of Primary Malignancy_Cervical",132,"Cancers",1,"289180010","188184006","289180010","cleansedreadcode"
"B41yz00","Primary Malignancy_Cervix","43435","Malignant neoplasm of other site of cervix NOS","Diagnosis of Primary Malignancy_Cervical",132,"Cancers",1,"289181014","363354003","482507015","cleansedreadcode"
"B41z.00","Primary Malignancy_Cervix","28311","Malignant neoplasm of cervix uteri NOS","Diagnosis of Primary Malignancy_Cervical",132,"Cancers",1,"289182019","363354003","1228493018","cleansedreadcode"
