"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"","Primary Malignancy_Liver","","hepatocellular carcinoma","Diagnosis of Primary Malignancy_Liver",134,"Cancers",1,"2905761000006112","25370001","42540010","originalreadcode"
"B150.00","Primary Malignancy_Liver","25535","Primary malignant neoplasm of liver","Diagnosis of Primary Malignancy_Liver",134,"Cancers",1,"157732017","95214007","157732017","cleansedreadcode"
"B150000","Primary Malignancy_Liver","16126","Primary carcinoma of liver","Diagnosis of Primary Malignancy_Liver",134,"Cancers",1,"288690014","187769009","288690014","cleansedreadcode"
"B150100","Primary Malignancy_Liver","31210","Hepatoblastoma of liver","Diagnosis of Primary Malignancy_Liver",134,"Cancers",1,"342834014","109843000","342834014","cleansedreadcode"
"B150200","Primary Malignancy_Liver","68410","Primary angiosarcoma of liver","Diagnosis of Primary Malignancy_Liver",134,"Cancers",1,"342851019","109844006","342851019","cleansedreadcode"
"B150300","Primary Malignancy_Liver","22187","Hepatocellular carcinoma","Diagnosis of Primary Malignancy_Liver",134,"Cancers",1,"342807011","109841003","342807011","cleansedreadcode"
"B150z00","Primary Malignancy_Liver","44399","Primary malignant neoplasm of liver NOS","Diagnosis of Primary Malignancy_Liver",134,"Cancers",1,"288692018","95214007","157732017","cleansedreadcode"
"B152.00","Primary Malignancy_Liver","26393","Malignant neoplasm of liver unspecified","Diagnosis of Primary Malignancy_Liver",134,"Cancers",1,"288700011","93870000","155343014","cleansedreadcode"
"BB5D500","Primary Malignancy_Liver","40240","[M]Hepatocellular carcinoma NOS","Diagnosis of Primary Malignancy_Liver",134,"Cancers",1,"1224870013","25370001","1224870013","cleansedreadcode"
"BB5D511","Primary Malignancy_Liver","20234","[M]Hepatoma NOS","Diagnosis of Primary Malignancy_Liver",134,"Cancers",1,"309871000006116","25370001","1224870013","cleansedreadcode"
"BB5D512","Primary Malignancy_Liver","26814","[M]Hepatoma, malignant","Diagnosis of Primary Malignancy_Liver",134,"Cancers",1,"309891000006115","25370001","1224870013","cleansedreadcode"
"BB5D513","Primary Malignancy_Liver","25641","[M]Liver cell carcinoma","Diagnosis of Primary Malignancy_Liver",134,"Cancers",1,"311211000006112","25370001","1224870013","cleansedreadcode"
"BB5D700","Primary Malignancy_Liver","107299","[M]Combined hepatocellular carcinoma and cholangiocarcinoma","Diagnosis of Primary Malignancy_Liver",134,"Cancers",1,"1231089017","52178006","1231089017","cleansedreadcode"
"BB5D711","Primary Malignancy_Liver","110147","[M]Hepatocholangiocarcinoma","Diagnosis of Primary Malignancy_Liver",134,"Cancers",1,"309851000006114","52178006","1231089017","cleansedreadcode"
"BB5D800","Primary Malignancy_Liver","46771","[M]Hepatocellular carcinoma, fibrolamellar","Diagnosis of Primary Malignancy_Liver",134,"Cancers",1,"1221209015","15619004","1221210013","cleansedreadcode"
"Byu1100","Primary Malignancy_Liver","43490","[X]Other specified carcinomas of liver","Diagnosis of Primary Malignancy_Liver",134,"Cancers",1,"292101010","109841003","342812012","cleansedreadcode"
