"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Primary Malignancy_Lung",NA,"Adenocarcinoma of lung",NA,135,"Cancers",1,"1773151000006112","254626006","379172013","termsearch"
NA,"Primary Malignancy_Lung",NA,"Non-small cell lung cancer",NA,135,"Cancers",1,"1773131000006117","254637007","379195016","termsearch"
NA,"Primary Malignancy_Lung",NA,"Primary malignant neoplasm of lung",NA,135,"Cancers",1,"1773111000006111","93880001","510792012","termsearch"
NA,"Primary Malignancy_Lung",NA,"Referral by lung cancer nurse specialist",NA,135,"Cancers",1,"1863331000006111","1863331000006107","1863331000006111","termsearch"
NA,"Primary Malignancy_Lung",NA,"Small cell lung cancer",NA,135,"Cancers",1,"1773121000006115","254632001","379181019","termsearch"
NA,"Primary Malignancy_Lung",NA,"Squamous cell carcinoma of lung",NA,135,"Cancers",1,"1773141000006110","254634000","379184010","termsearch"
NA,"Primary Malignancy_Lung",NA,"[RFC] Lung cancer",NA,135,"Cancers",1,"907111000006118","907111000006102","907111000006118","termsearch"
"","Primary Malignancy_Lung","","[x]malignant neoplasm of bronchus or lung, unspecified","Diagnosis of Primary Malignancy_Lung and trachea",135,"Cancers",1,"11918131000006110","363358000","396221000006112","originalreadcode"
"B22..00","Primary Malignancy_Lung","13243","Malignant neoplasm of trachea, bronchus and lung","Diagnosis of Primary Malignancy_Lung and trachea",135,"Cancers",1,"288808013","430621000","2765453013","cleansedreadcode"
"B220.00","Primary Malignancy_Lung","15221","Malignant neoplasm of trachea","Diagnosis of Primary Malignancy_Lung and trachea",135,"Cancers",1,"721391000006116","363432004","482662016","cleansedreadcode"
"B220100","Primary Malignancy_Lung","103946","Malignant neoplasm of mucosa of trachea","Diagnosis of Primary Malignancy_Lung and trachea",135,"Cancers",1,"288810010","187854004","288810010","cleansedreadcode"
"B220z00","Primary Malignancy_Lung","37810","Malignant neoplasm of trachea NOS","Diagnosis of Primary Malignancy_Lung and trachea",135,"Cancers",1,"288811014","363432004","482662016","cleansedreadcode"
"B221.00","Primary Malignancy_Lung","12870","Malignant neoplasm of main bronchus","Diagnosis of Primary Malignancy_Lung and trachea",135,"Cancers",1,"155361017","372065009","1210643012","cleansedreadcode"
"B221000","Primary Malignancy_Lung","17391","Malignant neoplasm of carina of bronchus","Diagnosis of Primary Malignancy_Lung and trachea",135,"Cancers",1,"288813012","187857006","288813012","cleansedreadcode"
"B221100","Primary Malignancy_Lung","33444","Malignant neoplasm of hilus of lung","Diagnosis of Primary Malignancy_Lung and trachea",135,"Cancers",1,"155287019","93827000","155287019","cleansedreadcode"
"B221z00","Primary Malignancy_Lung","21698","Malignant neoplasm of main bronchus NOS","Diagnosis of Primary Malignancy_Lung and trachea",135,"Cancers",1,"288815017","372065009","1210643012","cleansedreadcode"
"B222.00","Primary Malignancy_Lung","10358","Malignant neoplasm of upper lobe, bronchus or lung","Diagnosis of Primary Malignancy_Lung and trachea",135,"Cancers",1,"403688010","269464000","403688010","cleansedreadcode"
"B222.11","Primary Malignancy_Lung","20170","Pancoast's syndrome","Diagnosis of Primary Malignancy_Lung and trachea",135,"Cancers",1,"414849013","278065000","414849013","cleansedreadcode"
"B222000","Primary Malignancy_Lung","31700","Malignant neoplasm of upper lobe bronchus","Diagnosis of Primary Malignancy_Lung and trachea",135,"Cancers",1,"288819011","187861000","288819011","cleansedreadcode"
"B222100","Primary Malignancy_Lung","25886","Malignant neoplasm of upper lobe of lung","Diagnosis of Primary Malignancy_Lung and trachea",135,"Cancers",1,"288820017","187862007","288820017","cleansedreadcode"
"B222z00","Primary Malignancy_Lung","44169","Malignant neoplasm of upper lobe, bronchus or lung NOS","Diagnosis of Primary Malignancy_Lung and trachea",135,"Cancers",1,"288821018","269464000","403688010","cleansedreadcode"
"B223.00","Primary Malignancy_Lung","31268","Malignant neoplasm of middle lobe, bronchus or lung","Diagnosis of Primary Malignancy_Lung and trachea",135,"Cancers",1,"288822013","187864008","288822013","cleansedreadcode"
"B223000","Primary Malignancy_Lung","41523","Malignant neoplasm of middle lobe bronchus","Diagnosis of Primary Malignancy_Lung and trachea",135,"Cancers",1,"288823015","187865009","288823015","cleansedreadcode"
"B223100","Primary Malignancy_Lung","39923","Malignant neoplasm of middle lobe of lung","Diagnosis of Primary Malignancy_Lung and trachea",135,"Cancers",1,"288824014","187866005","288824014","cleansedreadcode"
"B223z00","Primary Malignancy_Lung","54134","Malignant neoplasm of middle lobe, bronchus or lung NOS","Diagnosis of Primary Malignancy_Lung and trachea",135,"Cancers",1,"288825010","187864008","288822013","cleansedreadcode"
"B224.00","Primary Malignancy_Lung","31188","Malignant neoplasm of lower lobe, bronchus or lung","Diagnosis of Primary Malignancy_Lung and trachea",135,"Cancers",1,"288826011","187868006","288826011","cleansedreadcode"
"B224000","Primary Malignancy_Lung","18678","Malignant neoplasm of lower lobe bronchus","Diagnosis of Primary Malignancy_Lung and trachea",135,"Cancers",1,"288827019","187869003","288827019","cleansedreadcode"
"B224100","Primary Malignancy_Lung","12582","Malignant neoplasm of lower lobe of lung","Diagnosis of Primary Malignancy_Lung and trachea",135,"Cancers",1,"288828012","187870002","288828012","cleansedreadcode"
"B224z00","Primary Malignancy_Lung","42566","Malignant neoplasm of lower lobe, bronchus or lung NOS","Diagnosis of Primary Malignancy_Lung and trachea",135,"Cancers",1,"288829016","187868006","288826011","cleansedreadcode"
"B225.00","Primary Malignancy_Lung","36371","Malignant neoplasm of overlapping lesion of bronchus & lung","Diagnosis of Primary Malignancy_Lung and trachea",135,"Cancers",1,"723301000006110","109371002","1219469018","cleansedreadcode"
"B22y.00","Primary Malignancy_Lung","38961","Malignant neoplasm of other sites of bronchus or lung","Diagnosis of Primary Malignancy_Lung and trachea",135,"Cancers",1,"288832018","363358000","482516016","cleansedreadcode"
"B22z.00","Primary Malignancy_Lung","3903","Malignant neoplasm of bronchus or lung NOS","Diagnosis of Primary Malignancy_Lung and trachea",135,"Cancers",1,"403689019","363358000","482516016","cleansedreadcode"
"B22z.11","Primary Malignancy_Lung","2587","Lung cancer","Diagnosis of Primary Malignancy_Lung and trachea",135,"Cancers",1,"733371000006119","93880001","3288586014","cleansedreadcode"
"BB5S200","Primary Malignancy_Lung","34015","[M]Bronchiolo-alveolar adenocarcinoma","Diagnosis of Primary Malignancy_Lung and trachea",135,"Cancers",1,"1219789016","112677002","1219789016","cleansedreadcode"
"BB5S211","Primary Malignancy_Lung","36530","[M]Alveolar cell carcinoma","Diagnosis of Primary Malignancy_Lung and trachea",135,"Cancers",1,"305201000006114","112677002","1219789016","cleansedreadcode"
"BB5S212","Primary Malignancy_Lung","16723","[M]Bronchiolar carcinoma","Diagnosis of Primary Malignancy_Lung and trachea",135,"Cancers",1,"306131000006118","112677002","1219789016","cleansedreadcode"
"BB5S400","Primary Malignancy_Lung","57802","[M]Alveolar adenocarcinoma","Diagnosis of Primary Malignancy_Lung and trachea",135,"Cancers",1,"305181000006113","36310008","60606019","cleansedreadcode"
"Byu2000","Primary Malignancy_Lung","40595","[X]Malignant neoplasm of bronchus or lung, unspecified","Diagnosis of Primary Malignancy_Lung and trachea",135,"Cancers",1,"292105018","1090881000000100","2732641000000116","cleansedreadcode"
