"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"","Primary Malignancy_Melanoma","","malignant melanoma of skin nos","Diagnosis of Primary Malignancy_Malignant Melanoma",136,"Cancers",1,"12723281000006111","546881000000105","1218841000000118","originalreadcode"
"4M3..00","Primary Malignancy_Melanoma","57294","Breslow depth staging for melanoma","Diagnosis of Primary Malignancy_Malignant Melanoma",136,"Cancers",1,"170673014","106243009","170673014","cleansedreadcode"
"4M70.00","Primary Malignancy_Melanoma","101198","Clark melanoma level 1","Diagnosis of Primary Malignancy_Malignant Melanoma",136,"Cancers",1,"138122012","83284001","138122012","cleansedreadcode"
"4M71.00","Primary Malignancy_Melanoma","104609","Clark melanoma level 2","Diagnosis of Primary Malignancy_Malignant Melanoma",136,"Cancers",1,"84190018","50542000","84190018","cleansedreadcode"
"4M72.00","Primary Malignancy_Melanoma","96280","Clark melanoma level 3","Diagnosis of Primary Malignancy_Malignant Melanoma",136,"Cancers",1,"35572018","21165006","35572018","cleansedreadcode"
"4M73.00","Primary Malignancy_Melanoma","102116","Clark melanoma level 4","Diagnosis of Primary Malignancy_Malignant Melanoma",136,"Cancers",1,"3704012","1556006","3704012","cleansedreadcode"
"4M74.00","Primary Malignancy_Melanoma","108866","Clark melanoma level 5","Diagnosis of Primary Malignancy_Malignant Melanoma",136,"Cancers",1,"27148012","16034002","27148012","cleansedreadcode"
"7G03J00","Primary Malignancy_Melanoma","8640","Excision of melanoma","Diagnosis of Primary Malignancy_Malignant Melanoma",136,"Cancers",1,"274480013","177281002","274480013","cleansedreadcode"
"B32..00","Primary Malignancy_Melanoma","865","Malignant melanoma of skin","Diagnosis of Primary Malignancy_Malignant Melanoma",136,"Cancers",1,"155060012","93655004","155060012","cleansedreadcode"
"B320.00","Primary Malignancy_Melanoma","70637","Malignant melanoma of lip","Diagnosis of Primary Malignancy_Malignant Melanoma",136,"Cancers",1,"289009011","188030005","289009011","cleansedreadcode"
