"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Primary Malignancy_Oesophageal",NA,"Malignant tumour of lower third of oesophagus",NA,139,"Cancers",1,"4746821000006110","187727005","288609015","termsearch"
NA,"Primary Malignancy_Oesophageal",NA,"Malignant tumour of oesophagus",NA,139,"Cancers",1,"6244811000006110","363402007","482603012","termsearch"
"B10..00","Primary Malignancy_Oesophageal","1062","Malignant neoplasm of oesophagus","Diagnosis of Primary Malignancy_Oesophageal",139,"Cancers",1,"1216488012","363402007","1216488012","cleansedreadcode"
"B100.00","Primary Malignancy_Oesophageal","61695","Malignant neoplasm of cervical oesophagus","Diagnosis of Primary Malignancy_Oesophageal",139,"Cancers",1,"288589012","187722004","288589012","cleansedreadcode"
"B101.00","Primary Malignancy_Oesophageal","41362","Malignant neoplasm of thoracic oesophagus","Diagnosis of Primary Malignancy_Oesophageal",139,"Cancers",1,"288594012","187723009","288594012","cleansedreadcode"
"B102.00","Primary Malignancy_Oesophageal","63470","Malignant neoplasm of abdominal oesophagus","Diagnosis of Primary Malignancy_Oesophageal",139,"Cancers",1,"288597017","187724003","288597017","cleansedreadcode"
"B103.00","Primary Malignancy_Oesophageal","50789","Malignant neoplasm of upper third of oesophagus","Diagnosis of Primary Malignancy_Oesophageal",139,"Cancers",1,"288602012","187725002","288602012","cleansedreadcode"
"B104.00","Primary Malignancy_Oesophageal","54171","Malignant neoplasm of middle third of oesophagus","Diagnosis of Primary Malignancy_Oesophageal",139,"Cancers",1,"288607018","187726001","288607018","cleansedreadcode"
"B105.00","Primary Malignancy_Oesophageal","42416","Malignant neoplasm of lower third of oesophagus","Diagnosis of Primary Malignancy_Oesophageal",139,"Cancers",1,"288608011","187727005","288608011","cleansedreadcode"
"B106.00","Primary Malignancy_Oesophageal","67497","Malignant neoplasm, overlapping lesion of oesophagus","Diagnosis of Primary Malignancy_Oesophageal",139,"Cancers",1,"1215862010","109835005","1215862010","cleansedreadcode"
"B107.00","Primary Malignancy_Oesophageal","98142","Siewert type I adenocarcinoma","Diagnosis of Primary Malignancy_Oesophageal",139,"Cancers",1,"638841000000113","342571000000109","638841000000113","cleansedreadcode"
"B10y.00","Primary Malignancy_Oesophageal","53591","Malignant neoplasm of other specified part of oesophagus","Diagnosis of Primary Malignancy_Oesophageal",139,"Cancers",1,"288614016","363402007","482603012","cleansedreadcode"
"B10z.00","Primary Malignancy_Oesophageal","30700","Malignant neoplasm of oesophagus NOS","Diagnosis of Primary Malignancy_Oesophageal",139,"Cancers",1,"403674011","363402007","1216488012","cleansedreadcode"
"B10z.11","Primary Malignancy_Oesophageal","4865","Oesophageal cancer","Diagnosis of Primary Malignancy_Oesophageal",139,"Cancers",1,"1216486011","363402007","1216486011","cleansedreadcode"
