"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Primary Malignancy_Oropharyngeal",NA,"Tongue carcinoma",NA,140,"Cancers",1,"879691000006112","363375006","879691000006112","termsearch"
"","Primary Malignancy_Oropharyngeal","","malignant neoplasm of lip unspecified, inner aspect","Diagnosis of Primary Malignancy_Oro-pharyngeal",140,"Cancers",1,"11925691000006115","363348004","724921000006119","originalreadcode"
"","Primary Malignancy_Oropharyngeal","","malignant neoplasm of lip, oral cavity and pharynx nos","Diagnosis of Primary Malignancy_Oro-pharyngeal",140,"Cancers",1,"12719081000006110","534791000000107","1193831000000115","originalreadcode"
"","Primary Malignancy_Oropharyngeal","","malignant neoplasm of lip, unspecified, lipstick area","Diagnosis of Primary Malignancy_Oro-pharyngeal",140,"Cancers",1,"11925701000006115","363348004","725001000006112","originalreadcode"
"","Primary Malignancy_Oropharyngeal","","malignant neoplasm of ventral tongue surface nos","Diagnosis of Primary Malignancy_Oro-pharyngeal",140,"Cancers",1,"11925531000006118","363375006","720321000006110","originalreadcode"
"B0...00","Primary Malignancy_Oropharyngeal","19415","Malignant neoplasm of lip, oral cavity and pharynx","Diagnosis of Primary Malignancy_Oro-pharyngeal",140,"Cancers",1,"406052010","271323007","406052010","cleansedreadcode"
"B0...11","Primary Malignancy_Oropharyngeal","24374","Carcinoma of lip, oral cavity and pharynx","Diagnosis of Primary Malignancy_Oro-pharyngeal",140,"Cancers",1,"380095017","255069008","380095017","cleansedreadcode"
"B00..00","Primary Malignancy_Oropharyngeal","14712","Malignant neoplasm of lip","Diagnosis of Primary Malignancy_Oro-pharyngeal",140,"Cancers",1,"724891000006113","363348004","482495016","cleansedreadcode"
"B00..11","Primary Malignancy_Oropharyngeal","9984","Carcinoma of lip","Diagnosis of Primary Malignancy_Oro-pharyngeal",140,"Cancers",1,"403771011","269515006","403771011","cleansedreadcode"
"B000.00","Primary Malignancy_Oropharyngeal","73962","Malignant neoplasm of upper lip, vermilion border","Diagnosis of Primary Malignancy_Oro-pharyngeal",140,"Cancers",1,"1228504019","363372009","1228504019","cleansedreadcode"
"B000000","Primary Malignancy_Oropharyngeal","66270","Malignant neoplasm of upper lip, external","Diagnosis of Primary Malignancy_Oro-pharyngeal",140,"Cancers",1,"720801000006112","421249001","2618242015","cleansedreadcode"
"B000100","Primary Malignancy_Oropharyngeal","50296","Malignant neoplasm of upper lip, lipstick area","Diagnosis of Primary Malignancy_Oro-pharyngeal",140,"Cancers",1,"288350019","187601000","288350019","cleansedreadcode"
"B000z00","Primary Malignancy_Oropharyngeal","98740","Malignant neoplasm of upper lip, vermilion border NOS","Diagnosis of Primary Malignancy_Oro-pharyngeal",140,"Cancers",1,"288351015","363372009","482541011","cleansedreadcode"
"B001.00","Primary Malignancy_Oropharyngeal","67446","Malignant neoplasm of lower lip, vermilion border","Diagnosis of Primary Malignancy_Oro-pharyngeal",140,"Cancers",1,"724421000006114","363373004","1228505018","cleansedreadcode"
"B001000","Primary Malignancy_Oropharyngeal","66384","Malignant neoplasm of lower lip, external","Diagnosis of Primary Malignancy_Oro-pharyngeal",140,"Cancers",1,"288354011","187604008","288354011","cleansedreadcode"
"B001100","Primary Malignancy_Oropharyngeal","95480","Malignant neoplasm of lower lip, lipstick area","Diagnosis of Primary Malignancy_Oro-pharyngeal",140,"Cancers",1,"1228506017","363373004","1228506017","cleansedreadcode"
"B001z00","Primary Malignancy_Oropharyngeal","101707","Malignant neoplasm of lower lip, vermilion border NOS","Diagnosis of Primary Malignancy_Oro-pharyngeal",140,"Cancers",1,"288355012","363373004","482542016","cleansedreadcode"
"B002.00","Primary Malignancy_Oropharyngeal","99493","Malignant neoplasm of upper lip, inner aspect","Diagnosis of Primary Malignancy_Oro-pharyngeal",140,"Cancers",1,"288363013","187606005","288363013","cleansedreadcode"
"B002100","Primary Malignancy_Oropharyngeal","99001","Malignant neoplasm of upper lip, frenulum","Diagnosis of Primary Malignancy_Oro-pharyngeal",140,"Cancers",1,"288372017","187608006","288372017","cleansedreadcode"
"B002200","Primary Malignancy_Oropharyngeal","98500","Malignant neoplasm of upper lip, mucosa","Diagnosis of Primary Malignancy_Oro-pharyngeal",140,"Cancers",1,"288364019","187606005","288364019","cleansedreadcode"
"B002300","Primary Malignancy_Oropharyngeal","90610","Malignant neoplasm of upper lip, oral aspect","Diagnosis of Primary Malignancy_Oro-pharyngeal",140,"Cancers",1,"288362015","187606005","288362015","cleansedreadcode"
"B002z00","Primary Malignancy_Oropharyngeal","100721","Malignant neoplasm of upper lip, inner aspect NOS","Diagnosis of Primary Malignancy_Oro-pharyngeal",140,"Cancers",1,"288377011","187606005","288356013","cleansedreadcode"
"B003.00","Primary Malignancy_Oropharyngeal","71147","Malignant neoplasm of lower lip, inner aspect","Diagnosis of Primary Malignancy_Oro-pharyngeal",140,"Cancers",1,"406399011","271568003","406399011","cleansedreadcode"
"B003000","Primary Malignancy_Oropharyngeal","67504","Malignant neoplasm of lower lip, buccal aspect","Diagnosis of Primary Malignancy_Oro-pharyngeal",140,"Cancers",1,"288380012","187613005","288380012","cleansedreadcode"
"B003100","Primary Malignancy_Oropharyngeal","91843","Malignant neoplasm of lower lip, frenulum","Diagnosis of Primary Malignancy_Oro-pharyngeal",140,"Cancers",1,"288382016","187614004","288382016","cleansedreadcode"
"B003200","Primary Malignancy_Oropharyngeal","89909","Malignant neoplasm of lower lip, mucosa","Diagnosis of Primary Malignancy_Oro-pharyngeal",140,"Cancers",1,"724401000006116","271568003","406400016","cleansedreadcode"
"B003300","Primary Malignancy_Oropharyngeal","94441","Malignant neoplasm of lower lip, oral aspect","Diagnosis of Primary Malignancy_Oro-pharyngeal",140,"Cancers",1,"724411000006118","271568003","406398015","cleansedreadcode"
"B003z00","Primary Malignancy_Oropharyngeal","96782","Malignant neoplasm of lower lip, inner aspect NOS","Diagnosis of Primary Malignancy_Oro-pharyngeal",140,"Cancers",1,"288387010","271568003","406398015","cleansedreadcode"
"B004.00","Primary Malignancy_Oropharyngeal","61692","Malignant neoplasm of lip unspecified, inner aspect","Diagnosis of Primary Malignancy_Oro-pharyngeal",140,"Cancers",1,"288388017","187622006","288402019","cleansedreadcode"
"B004000","Primary Malignancy_Oropharyngeal","73614","Malignant neoplasm of lip unspecified, buccal aspect","Diagnosis of Primary Malignancy_Oro-pharyngeal",140,"Cancers",1,"724901000006112","187622006","288392012","cleansedreadcode"
"B004200","Primary Malignancy_Oropharyngeal","68399","Malignant neoplasm of lip unspecified, mucosa","Diagnosis of Primary Malignancy_Oro-pharyngeal",140,"Cancers",1,"288391017","187622006","288392012","cleansedreadcode"
"B004300","Primary Malignancy_Oropharyngeal","100144","Malignant neoplasm of lip, oral aspect","Diagnosis of Primary Malignancy_Oro-pharyngeal",140,"Cancers",1,"288393019","187622006","288393019","cleansedreadcode"
"B005.00","Primary Malignancy_Oropharyngeal","96783","Malignant neoplasm of commissure of lip","Diagnosis of Primary Malignancy_Oro-pharyngeal",140,"Cancers",1,"726351000006116","363374005","482544015","cleansedreadcode"
"B006.00","Primary Malignancy_Oropharyngeal","18882","Malignant neoplasm of overlapping lesion of lip","Diagnosis of Primary Malignancy_Oro-pharyngeal",140,"Cancers",1,"288404018","187624007","288404018","cleansedreadcode"
