"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"B17..00","Primary Malignancy_Pancreas","8166","Malignant neoplasm of pancreas","Diagnosis of Primary Malignancy_Pancreatic",143,"Cancers",1,"723401000006118","363418001","482635012","cleansedreadcode"
"B170.00","Primary Malignancy_Pancreas","8771","Malignant neoplasm of head of pancreas","Diagnosis of Primary Malignancy_Pancreatic",143,"Cancers",1,"725121000006118","363419009","482638014","cleansedreadcode"
"B171.00","Primary Malignancy_Pancreas","40810","Malignant neoplasm of body of pancreas","Diagnosis of Primary Malignancy_Pancreatic",143,"Cancers",1,"288717016","187791002","288717016","cleansedreadcode"
"B172.00","Primary Malignancy_Pancreas","39870","Malignant neoplasm of tail of pancreas","Diagnosis of Primary Malignancy_Pancreatic",143,"Cancers",1,"288720012","187792009","288720012","cleansedreadcode"
"B173.00","Primary Malignancy_Pancreas","35535","Malignant neoplasm of pancreatic duct","Diagnosis of Primary Malignancy_Pancreatic",143,"Cancers",1,"288723014","187793004","288723014","cleansedreadcode"
"B174.00","Primary Malignancy_Pancreas","35795","Malignant neoplasm of Islets of Langerhans","Diagnosis of Primary Malignancy_Pancreatic",143,"Cancers",1,"288727010","187794005","288727010","cleansedreadcode"
"B175.00","Primary Malignancy_Pancreas","97875","Malignant neoplasm, overlapping lesion of pancreas","Diagnosis of Primary Malignancy_Pancreatic",143,"Cancers",1,"1219538019","109848009","1219538019","cleansedreadcode"
"B17y.00","Primary Malignancy_Pancreas","48537","Malignant neoplasm of other specified sites of pancreas","Diagnosis of Primary Malignancy_Pancreatic",143,"Cancers",1,"288731016","363418001","482635012","cleansedreadcode"
"B17y000","Primary Malignancy_Pancreas","96635","Malignant neoplasm of ectopic pancreatic tissue","Diagnosis of Primary Malignancy_Pancreatic",143,"Cancers",1,"288734012","187798008","288734012","cleansedreadcode"
"B17yz00","Primary Malignancy_Pancreas","95783","Malignant neoplasm of specified site of pancreas NOS","Diagnosis of Primary Malignancy_Pancreatic",143,"Cancers",1,"288735013","363418001","482635012","cleansedreadcode"
"B17z.00","Primary Malignancy_Pancreas","34388","Malignant neoplasm of pancreas NOS","Diagnosis of Primary Malignancy_Pancreatic",143,"Cancers",1,"288736014","363418001","482635012","cleansedreadcode"
"BB5B100","Primary Malignancy_Pancreas","63102","[M]Islet cell carcinoma","Diagnosis of Primary Malignancy_Pancreatic",143,"Cancers",1,"310661000006117","60346004","100246011","cleansedreadcode"
"BB5B300","Primary Malignancy_Pancreas","95609","[M]Insulinoma, malignant","Diagnosis of Primary Malignancy_Pancreatic",143,"Cancers",1,"310361000006113","20955008","1222592015","cleansedreadcode"
"BB5B500","Primary Malignancy_Pancreas","32294","[M]Glucagonoma, malignant","Diagnosis of Primary Malignancy_Pancreatic",143,"Cancers",1,"309401000006112","66515009","1232802010","cleansedreadcode"
"BB5B600","Primary Malignancy_Pancreas","98825","[M]Mixed islet cell and exocrine adenocarcinoma","Diagnosis of Primary Malignancy_Pancreatic",143,"Cancers",1,"312881000006110","999000","2755014","cleansedreadcode"
"BB5C100","Primary Malignancy_Pancreas","49629","[M]Gastrinoma, malignant","Diagnosis of Primary Malignancy_Pancreatic",143,"Cancers",1,"308941000006114","19756007","1222357010","cleansedreadcode"
