"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Primary Malignancy_Prostate",NA,"Cancer of prostate",NA,144,"Cancers",1,"6616761000006119","399068003","1786665019","termsearch"
NA,"Primary Malignancy_Prostate",NA,"Discharge from secondary care prostate cancer service",NA,144,"Cancers",1,"2611461000000113","1034421000000103","2611461000000113","termsearch"
NA,"Primary Malignancy_Prostate",NA,"[RFC] Cancer of the prostate",NA,144,"Cancers",1,"906971000006110","906971000006106","906971000006110","termsearch"
"","Primary Malignancy_Prostate","","radical prostatectomy - unspecified excision of pelvic nodes","Procedure for Primary Malignancy_Prostate",144,"Cancers",1,"12721831000006112","591261000000103","1310871000000116","originalreadcode"
"4M0..00","Primary Malignancy_Prostate","10178","Gleason grading of prostate cancer","Diagnosis of Primary Malignancy_Prostate",144,"Cancers",1,"844951000006111","385377005","1479600014","cleansedreadcode"
"4M00.00","Primary Malignancy_Prostate","18503","Gleason prostate grade 2-4 (low)","Diagnosis of Primary Malignancy_Prostate",144,"Cancers",1,"1490806016","369775001","1490806016","cleansedreadcode"
"4M01.00","Primary Malignancy_Prostate","18612","Gleason prostate grade 5-7 (medium)","Diagnosis of Primary Malignancy_Prostate",144,"Cancers",1,"1488634012","394932008","1488634012","cleansedreadcode"
"4M02.00","Primary Malignancy_Prostate","26081","Gleason prostate grade 8-10 (high)","Diagnosis of Primary Malignancy_Prostate",144,"Cancers",1,"1490807013","369777009","1490807013","cleansedreadcode"
"7B20000","Primary Malignancy_Prostate","9541","Radical cystoprostatourethrectomy","Procedure for Primary Malignancy_Prostate",144,"Cancers",1,"272628011","176106009","272628011","cleansedreadcode"
"7B20200","Primary Malignancy_Prostate","10633","Radical cystoprostatectomy","Procedure for Primary Malignancy_Prostate",144,"Cancers",1,"134770016","81232004","134770016","cleansedreadcode"
"7B36000","Primary Malignancy_Prostate","4997","Radical prostatectomy - unspecified excision of pelvic nodes","Procedure for Primary Malignancy_Prostate",144,"Cancers",1,"272887018","176263006","272892016","cleansedreadcode"
"7B36500","Primary Malignancy_Prostate","12593","Radical prostatectomy without pelvic node excision","Procedure for Primary Malignancy_Prostate",144,"Cancers",1,"272890012","176261008","272890012","cleansedreadcode"
"7B36600","Primary Malignancy_Prostate","11492","Radical prostatectomy with pelvic node sampling","Procedure for Primary Malignancy_Prostate",144,"Cancers",1,"272891011","176262001","272891011","cleansedreadcode"
"7B36700","Primary Malignancy_Prostate","9533","Radical prostatectomy with pelvic lymphadenectomy","Procedure for Primary Malignancy_Prostate",144,"Cancers",1,"272892016","176263006","272892016","cleansedreadcode"
"B46..00","Primary Malignancy_Prostate","780","Malignant neoplasm of prostate","Diagnosis of Primary Malignancy_Prostate",144,"Cancers",1,"722361000006115","399068003","1773293010","cleansedreadcode"
