"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Primary Malignancy_Skin",NA,"Ca skin - head/neck",NA,145,"Cancers",1,"880561000006117","372122006","880561000006117","termsearch"
NA,"Primary Malignancy_Skin",NA,"Ca skin - lower limb",NA,145,"Cancers",1,"880241000006118","188127001","880241000006118","termsearch"
NA,"Primary Malignancy_Skin",NA,"Ca skin - other",NA,145,"Cancers",1,"880211000006117","573501000000108","880211000006117","termsearch"
NA,"Primary Malignancy_Skin",NA,"Ca skin - other NOS",NA,145,"Cancers",1,"880251000006116","540311000000106","880251000006116","termsearch"
NA,"Primary Malignancy_Skin",NA,"Ca skin - trunk",NA,145,"Cancers",1,"880221000006113","531581000000101","880221000006113","termsearch"
NA,"Primary Malignancy_Skin",NA,"Ca skin - upper limb",NA,145,"Cancers",1,"880231000006111","188119005","880231000006111","termsearch"
"","Primary Malignancy_Skin","","[m]basal cell neoplasms","Diagnosis of Primary Malignancy_Other Skin and subcutaneous tissue",145,"Cancers",1,"12455781000006112","127570002","305821000006115","originalreadcode"
"","Primary Malignancy_Skin","","basal cell carcinoma","Diagnosis of Primary Malignancy_Other Skin and subcutaneous tissue",145,"Cancers",1,"853151000006113","853151000006109","853151000006113","originalreadcode"
"","Primary Malignancy_Skin","","dermatofibrosarcoma protuberans","Diagnosis of Primary Malignancy_Other Skin and subcutaneous tissue",145,"Cancers",1,"3745771000006113","76594008","3745771000006113","originalreadcode"
"","Primary Malignancy_Skin","","malignant neoplasm of skin nos","Diagnosis of Primary Malignancy_Other Skin and subcutaneous tissue",145,"Cancers",1,"12721241000006118","540311000000106","1205251000000113","originalreadcode"
"","Primary Malignancy_Skin","","malignant neoplasm of skin of trunk, excluding scrotum","Diagnosis of Primary Malignancy_Other Skin and subcutaneous tissue",145,"Cancers",1,"12718821000006112","531581000000101","1187061000000112","originalreadcode"
"","Primary Malignancy_Skin","","malignant neoplasm skin of other and unspecified parts face","Diagnosis of Primary Malignancy_Other Skin and subcutaneous tissue",145,"Cancers",1,"12704591000006116","363346000","720521000006117","originalreadcode"
"","Primary Malignancy_Skin","","other malignant neoplasm of skin","Diagnosis of Primary Malignancy_Other Skin and subcutaneous tissue",145,"Cancers",1,"12732221000006117","573501000000108","1274111000000111","originalreadcode"
"","Primary Malignancy_Skin","","rodent ulcer","Diagnosis of Primary Malignancy_Other Skin and subcutaneous tissue",145,"Cancers",1,"2519761000006119","1338007","3349012","originalreadcode"
"","Primary Malignancy_Skin","","rodent ulcer","Diagnosis of Primary Malignancy_Other Skin and subcutaneous tissue",145,"Cancers",1,"853821000006110","853821000006106","853821000006110","originalreadcode"
"","Primary Malignancy_Skin","","squamous cell carcinoma of skin nos","Diagnosis of Primary Malignancy_Other Skin and subcutaneous tissue",145,"Cancers",1,"12759251000006116","540311000000106","1205241000000110","originalreadcode"
