"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"","Primary Malignancy_Stomach","","malignant neoplasm of anterior wall of stomach nec","Diagnosis of Primary Malignancy_Stomach",146,"Cancers",1,"11925901000006117","363349007","728021000006114","originalreadcode"
"","Primary Malignancy_Stomach","","malignant neoplasm of greater curve of stomach unspecified","Diagnosis of Primary Malignancy_Stomach",146,"Cancers",1,"12719101000006119","534851000000107","1193941000000115","originalreadcode"
"","Primary Malignancy_Stomach","","malignant neoplasm of lesser curve of stomach unspecified","Diagnosis of Primary Malignancy_Stomach",146,"Cancers",1,"12719091000006113","534841000000109","1193921000000110","originalreadcode"
"","Primary Malignancy_Stomach","","malignant neoplasm of posterior wall of stomach nec","Diagnosis of Primary Malignancy_Stomach",146,"Cancers",1,"11925631000006119","363349007","723101000006112","originalreadcode"
"","Primary Malignancy_Stomach","","malignant neoplasm of prepylorus of stomach","Diagnosis of Primary Malignancy_Stomach",146,"Cancers",1,"11925611000006113","187738005","722341000006119","originalreadcode"
"","Primary Malignancy_Stomach","","malignant neoplasm of stomach nos","Diagnosis of Primary Malignancy_Stomach",146,"Cancers",1,"11925591000006119","363349007","11925591000006119","originalreadcode"
"B11..00","Primary Malignancy_Stomach","8386","Malignant neoplasm of stomach","Diagnosis of Primary Malignancy_Stomach",146,"Cancers",1,"721851000006117","363349007","482498019","cleansedreadcode"
"B110.00","Primary Malignancy_Stomach","32022","Malignant neoplasm of cardia of stomach","Diagnosis of Primary Malignancy_Stomach",146,"Cancers",1,"288625013","187732006","288625013","cleansedreadcode"
"B110000","Primary Malignancy_Stomach","100584","Malignant neoplasm of cardiac orifice of stomach","Diagnosis of Primary Malignancy_Stomach",146,"Cancers",1,"288628010","187733001","288628010","cleansedreadcode"
"B110100","Primary Malignancy_Stomach","22894","Malignant neoplasm of cardio-oesophageal junction of stomach","Diagnosis of Primary Malignancy_Stomach",146,"Cancers",1,"288632016","187734007","288632016","cleansedreadcode"
"B110111","Primary Malignancy_Stomach","94278","Malignant neoplasm of gastro-oesophageal junction","Diagnosis of Primary Malignancy_Stomach",146,"Cancers",1,"288631011","187734007","288631011","cleansedreadcode"
"B110z00","Primary Malignancy_Stomach","37859","Malignant neoplasm of cardia of stomach NOS","Diagnosis of Primary Malignancy_Stomach",146,"Cancers",1,"288633014","187732006","288625013","cleansedreadcode"
"B111.00","Primary Malignancy_Stomach","21620","Malignant neoplasm of pylorus of stomach","Diagnosis of Primary Malignancy_Stomach",146,"Cancers",1,"288635019","187736009","288635019","cleansedreadcode"
