"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"","Primary Malignancy_Testis","","teratoma of descended testis","Diagnosis of Primary Malignancy_Testicular",147,"Cancers",1,"12450991000006117","417554000","109371000006115","originalreadcode"
"B47..00","Primary Malignancy_Testis","15148","Malignant neoplasm of testis","Diagnosis of Primary Malignancy_Testicular",147,"Cancers",1,"721171000006119","363449006","482694014","cleansedreadcode"
"B470.00","Primary Malignancy_Testis","64602","Malignant neoplasm of undescended testis","Diagnosis of Primary Malignancy_Testicular",147,"Cancers",1,"289223017","188219004","289223017","cleansedreadcode"
"B470200","Primary Malignancy_Testis","7740","Seminoma of undescended testis","Diagnosis of Primary Malignancy_Testicular",147,"Cancers",1,"457318018","313428008","457318018","cleansedreadcode"
"B470300","Primary Malignancy_Testis","36325","Teratoma of undescended testis","Diagnosis of Primary Malignancy_Testicular",147,"Cancers",1,"109391000006119","417417007","2548377014","cleansedreadcode"
"B470z00","Primary Malignancy_Testis","96429","Malignant neoplasm of undescended testis NOS","Diagnosis of Primary Malignancy_Testicular",147,"Cancers",1,"289234019","188219004","289220019","cleansedreadcode"
"B471.00","Primary Malignancy_Testis","19475","Malignant neoplasm of descended testis","Diagnosis of Primary Malignancy_Testicular",147,"Cancers",1,"174562015","109876001","174562015","cleansedreadcode"
"B471000","Primary Malignancy_Testis","21786","Seminoma of descended testis","Diagnosis of Primary Malignancy_Testicular",147,"Cancers",1,"457319014","313429000","457319014","cleansedreadcode"
"B471100","Primary Malignancy_Testis","9476","Teratoma of descended testis","Diagnosis of Primary Malignancy_Testicular",147,"Cancers",1,"109371000006115","417554000","2548606013","cleansedreadcode"
"B471z00","Primary Malignancy_Testis","91509","Malignant neoplasm of descended testis NOS","Diagnosis of Primary Malignancy_Testicular",147,"Cancers",1,"473991000000119","1090261000000108","2731381000000113","cleansedreadcode"
"B47z.00","Primary Malignancy_Testis","38510","Malignant neoplasm of testis NOS","Diagnosis of Primary Malignancy_Testicular",147,"Cancers",1,"403702017","363449006","482694014","cleansedreadcode"
"B47z.11","Primary Malignancy_Testis","2961","Seminoma of testis","Diagnosis of Primary Malignancy_Testicular",147,"Cancers",1,"380180017","255107005","380180017","cleansedreadcode"
"B47z.12","Primary Malignancy_Testis","15989","Teratoma of testis","Diagnosis of Primary Malignancy_Testicular",147,"Cancers",1,"109381000006117","416769008","2549298016","cleansedreadcode"
