"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"","Primary Malignancy_Uterus","","malignant neoplasm of body of uterus nos","Diagnosis of Primary Malignancy_Uterine",149,"Cancers",1,"12732041000006119","570591000000106","1267991000000117","originalreadcode"
"B40..00","Primary Malignancy_Uterus","2744","Malignant neoplasm of uterus, part unspecified","Diagnosis of Primary Malignancy_Uterine",149,"Cancers",1,"289166015","371973000","1210562019","cleansedreadcode"
"B43..00","Primary Malignancy_Uterus","7046","Malignant neoplasm of body of uterus","Diagnosis of Primary Malignancy_Uterine",149,"Cancers",1,"1210561014","371972005","1210561014","cleansedreadcode"
"B430.00","Primary Malignancy_Uterus","3213","Malignant neoplasm of corpus uteri, excluding isthmus","Diagnosis of Primary Malignancy_Uterine",149,"Cancers",1,"289187013","188189001","289187013","cleansedreadcode"
"B430000","Primary Malignancy_Uterus","72723","Malignant neoplasm of cornu of corpus uteri","Diagnosis of Primary Malignancy_Uterine",149,"Cancers",1,"289188015","188190005","289188015","cleansedreadcode"
"B430100","Primary Malignancy_Uterus","68155","Malignant neoplasm of fundus of corpus uteri","Diagnosis of Primary Malignancy_Uterine",149,"Cancers",1,"289189011","188191009","289189011","cleansedreadcode"
"B430200","Primary Malignancy_Uterus","2890","Malignant neoplasm of endometrium of corpus uteri","Diagnosis of Primary Malignancy_Uterine",149,"Cancers",1,"289190019","188192002","289190019","cleansedreadcode"
"B430211","Primary Malignancy_Uterus","49400","Malignant neoplasm of endometrium","Diagnosis of Primary Malignancy_Uterine",149,"Cancers",1,"980021000006113","188192002","289190019","cleansedreadcode"
"B430300","Primary Malignancy_Uterus","45793","Malignant neoplasm of myometrium of corpus uteri","Diagnosis of Primary Malignancy_Uterine",149,"Cancers",1,"289191015","188193007","289191015","cleansedreadcode"
"B430z00","Primary Malignancy_Uterus","45490","Malignant neoplasm of corpus uteri NOS","Diagnosis of Primary Malignancy_Uterine",149,"Cancers",1,"289192010","188189001","289187013","cleansedreadcode"
"B431.00","Primary Malignancy_Uterus","43940","Malignant neoplasm of isthmus of uterine body","Diagnosis of Primary Malignancy_Uterine",149,"Cancers",1,"289193017","188195000","289193017","cleansedreadcode"
"B431000","Primary Malignancy_Uterus","59097","Malignant neoplasm of lower uterine segment","Diagnosis of Primary Malignancy_Uterine",149,"Cancers",1,"289194011","188195000","3491683016","cleansedreadcode"
"B431z00","Primary Malignancy_Uterus","70729","Malignant neoplasm of isthmus of uterine body NOS","Diagnosis of Primary Malignancy_Uterine",149,"Cancers",1,"289195012","188195000","289193017","cleansedreadcode"
"B432.00","Primary Malignancy_Uterus","16967","Malignant neoplasm of overlapping lesion of corpus uteri","Diagnosis of Primary Malignancy_Uterine",149,"Cancers",1,"289196013","188198003","289196013","cleansedreadcode"
"B43y.00","Primary Malignancy_Uterus","31608","Malignant neoplasm of other site of uterine body","Diagnosis of Primary Malignancy_Uterine",149,"Cancers",1,"289197016","371972005","1210561014","cleansedreadcode"
"B43z.00","Primary Malignancy_Uterus","33617","Malignant neoplasm of body of uterus NOS","Diagnosis of Primary Malignancy_Uterine",149,"Cancers",1,"289198014","371972005","1210561014","cleansedreadcode"
