"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Primary Malignancy_other",NA,"Lymphatic tissue carcinoma",NA,141,"Cancers",1,"880781000006115","269475001","880781000006115","termsearch"
NA,"Primary Malignancy_other",NA,"Malignant tumour of gallbladder",NA,141,"Cancers",1,"6243051000006118","363353009","6243051000006118","termsearch"
"","Primary Malignancy_other","","[x]mal neoplasm/overlap les/periph nerv+autonomic nerv systm","Diagnosis of Primary Malignancy_Other Organs",141,"Cancers",1,"11918081000006110","372063002","396111000006110","originalreadcode"
"","Primary Malignancy_other","","[x]other malignant immunoproliferative diseases","Possible Diagnosis of Primary Malignancy_Other Organs",141,"Cancers",1,"11919601000006115","269475001","411571000006113","originalreadcode"
"","Primary Malignancy_other","","choriocarcinoma","Diagnosis of Primary Malignancy_Other Organs",141,"Cancers",1,"289184018","188188009","289184018","description"
"","Primary Malignancy_other","","choriocarcinoma","Diagnosis of Primary Malignancy_Other Organs",141,"Cancers",1,"3221981000006119","44769000","74681016","originalreadcode"
"","Primary Malignancy_other","","immunoproliferative neoplasm or myeloma nos","Possible Diagnosis of Primary Malignancy_Other Organs",141,"Cancers",1,"12721521000006111","542621000000109","1210161000000111","originalreadcode"
"","Primary Malignancy_other","","letterer-siwe disease","Diagnosis of Primary Malignancy_Other Organs",141,"Cancers",1,"4416081000006119","128812005","207348010","originalreadcode"
"","Primary Malignancy_other","","malig neop of connective and soft tissue trunk unspecified","Diagnosis of Primary Malignancy_Other Organs",141,"Cancers",1,"11926011000006111","269469005","729461000006119","originalreadcode"
"","Primary Malignancy_other","","malignant neoplasm lymphatic or haematopoietic tissue nos","Possible Diagnosis of Primary Malignancy_Other Organs",141,"Cancers",1,"12724421000006114","662481000000107","1454841000000119","originalreadcode"
"","Primary Malignancy_other","","malignant neoplasm of back nos","Possible Diagnosis of Primary Malignancy_Other Organs",141,"Cancers",1,"11925861000006112","363346000","727361000006117","originalreadcode"
"","Primary Malignancy_other","","malignant neoplasm of chest wall nos","Possible Diagnosis of Primary Malignancy_Other Organs",141,"Cancers",1,"11925821000006118","188361007","727171000006110","originalreadcode"
"","Primary Malignancy_other","","malignant neoplasm of flank nos","Possible Diagnosis of Primary Malignancy_Other Organs",141,"Cancers",1,"11925781000006112","363346000","725591000006111","originalreadcode"
"","Primary Malignancy_other","","malignant neoplasm of inguinal region nos","Possible Diagnosis of Primary Malignancy_Other Organs",141,"Cancers",1,"11925741000006118","363484005","725291000006113","originalreadcode"
"","Primary Malignancy_other","","malignant neoplasm of jaw nos","Possible Diagnosis of Primary Malignancy_Other Organs",141,"Cancers",1,"11925761000006119","255056009","725441000006115","originalreadcode"
"","Primary Malignancy_other","","malignant neoplasm of kidney or urinary organs nos","Possible Diagnosis of Primary Malignancy_Other Organs",141,"Cancers",1,"12732731000006114","578371000000102","1284231000000118","originalreadcode"
"","Primary Malignancy_other","","malignant neoplasm of lacrimal duct","Diagnosis of Primary Malignancy_Other Organs",141,"Cancers",1,"4750651000006115","188274004","2579145017","originalreadcode"
"","Primary Malignancy_other","","malignant neoplasm of larynx nos","Diagnosis of Primary Malignancy_Other Organs",141,"Cancers",1,"12723521000006110","550091000000101","1225361000000110","originalreadcode"
"","Primary Malignancy_other","","malignant neoplasm of liver and intrahepatic bile ducts nos","Possible Diagnosis of Primary Malignancy_Other Organs",141,"Cancers",1,"12730141000006116","620441000000107","1370101000000112","originalreadcode"
