"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"","Primary Thrombocytopaenia","","idiopathic purpura","Diagnosis of Primary or Idiopathic Thrombocytopaenia",151,"Haematological/Immunological conditions",9,"3019661000006118","32273002","53918014","originalreadcode"
"","Primary Thrombocytopaenia","","itp - idiopathic thrombocytopenic purpura","Diagnosis of Primary or Idiopathic Thrombocytopaenia",151,"Haematological/Immunological conditions",9,"11926311000006113","32273002","2972175010","originalreadcode"
"","Primary Thrombocytopaenia","","itp - idiopathic thrombocytopenic purpura","Diagnosis of Primary or Idiopathic Thrombocytopaenia",151,"Haematological/Immunological conditions",9,"3019691000006114","32273002","3019691000006114","originalreadcode"
"42P2.11","Primary Thrombocytopaenia","16420","Auto-immune thrombocytopenia","Diagnosis of Primary or Idiopathic Thrombocytopaenia",151,"Haematological/Immunological conditions",9,"1490557013","128091003","194685017","cleansedreadcode"
"D313.00","Primary Thrombocytopaenia","22463","Primary thrombocytopenia","Diagnosis of Primary or Idiopathic Thrombocytopaenia",151,"Haematological/Immunological conditions",9,"399233010","267534000","399233010","cleansedreadcode"
"D313.11","Primary Thrombocytopaenia","46754","Evan's syndrome","Diagnosis of Primary or Idiopathic Thrombocytopaenia",151,"Haematological/Immunological conditions",9,"649701000006117","302873008","444860010","cleansedreadcode"
"D313.12","Primary Thrombocytopaenia","5144","Idiopathic thrombocytopenic purpura","Diagnosis of Primary or Idiopathic Thrombocytopaenia",151,"Haematological/Immunological conditions",9,"786681000006113","32273002","53913017","cleansedreadcode"
"D313.13","Primary Thrombocytopaenia","71257","Idiopathic purpura","Diagnosis of Primary or Idiopathic Thrombocytopaenia",151,"Haematological/Immunological conditions",9,"786601000006116","32273002","53913017","cleansedreadcode"
"D313.14","Primary Thrombocytopaenia","65723","Megakaryocytic hypoplasia","Diagnosis of Primary or Idiopathic Thrombocytopaenia",151,"Haematological/Immunological conditions",9,"473369018","302873008","444860010","cleansedreadcode"
"D313.15","Primary Thrombocytopaenia","877","Thrombocytopenic purpura","Diagnosis of Primary or Idiopathic Thrombocytopaenia",151,"Haematological/Immunological conditions",9,"444860010","302873008","444860010","cleansedreadcode"
"D313000","Primary Thrombocytopaenia","12234","Idiopathic thrombocytopenic purpura","Diagnosis of Primary or Idiopathic Thrombocytopaenia",151,"Haematological/Immunological conditions",9,"53913017","32273002","53913017","cleansedreadcode"
"D313011","Primary Thrombocytopaenia","21604","Idiopathic purpura","Diagnosis of Primary or Idiopathic Thrombocytopaenia",151,"Haematological/Immunological conditions",9,"53918014","32273002","53913017","cleansedreadcode"
"D313012","Primary Thrombocytopaenia","5181","ITP - idiopathic thrombocytopenic purpura","Diagnosis of Primary or Idiopathic Thrombocytopaenia",151,"Haematological/Immunological conditions",9,"758831000006117","32273002","3452119018","cleansedreadcode"
"D313100","Primary Thrombocytopaenia","55582","Congenital thrombocytopenic purpura","Diagnosis of Primary or Idiopathic Thrombocytopaenia",151,"Haematological/Immunological conditions",9,"399234016","267535004","399234016","cleansedreadcode"
"D313111","Primary Thrombocytopaenia","58906","Hereditary thrombocytopenia NEC","Diagnosis of Primary or Idiopathic Thrombocytopaenia",151,"Haematological/Immunological conditions",9,"351323011","267535004","399234016","cleansedreadcode"
"D313300","Primary Thrombocytopaenia","38754","[X]Essential thrombocytopenia NOS","Diagnosis of Primary or Idiopathic Thrombocytopaenia",151,"Haematological/Immunological conditions",9,"294375012","302215000","443796011","cleansedreadcode"
"D313y00","Primary Thrombocytopaenia","54005","Other specified primary thrombocytopenia","Diagnosis of Primary or Idiopathic Thrombocytopaenia",151,"Haematological/Immunological conditions",9,"294376013","302873008","444860010","cleansedreadcode"
"D313z00","Primary Thrombocytopaenia","57456","Primary thrombocytopenia NOS","Diagnosis of Primary or Idiopathic Thrombocytopaenia",151,"Haematological/Immunological conditions",9,"399235015","267534000","399233010","cleansedreadcode"
"D313z11","Primary Thrombocytopaenia","45698","Essential thrombocytopenia NOS","Diagnosis of Primary or Idiopathic Thrombocytopaenia",151,"Haematological/Immunological conditions",9,"351315014","267534000","399233010","cleansedreadcode"
"Dyu3200","Primary Thrombocytopaenia","62795","[X]Other primary thrombocytopenia","Diagnosis of Primary or Idiopathic Thrombocytopaenia",151,"Haematological/Immunological conditions",9,"294614011","267534000","399233010","cleansedreadcode"
