"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Psoriasis",NA,"[RFC] Psoriasis",NA,152,"Skin conditions",15,"905681000006112","905681000006108","905681000006112","termsearch"
"","Psoriasis","","chronic large plaque psoriasis","Diagnosis of Psoriasis",152,"Skin conditions",15,"1583831000006118","1583831000006102","1583831000006118","originalreadcode"
"","Psoriasis","","flexural psoriasis","Diagnosis of Psoriasis",152,"Skin conditions",15,"357612014","238600001","1876481000006119","originalreadcode"
"M16..00","Psoriasis","3733","Psoriasis and similar disorders","Diagnosis of Psoriasis",152,"Skin conditions",15,"308725015","9014002","15886015","cleansedreadcode"
"M160.00","Psoriasis","476","Psoriatic arthropathy","Diagnosis of Psoriasis",152,"Skin conditions",15,"55627011","33339001","55627011","cleansedreadcode"
"M160.11","Psoriasis","96880","Psoriatic arthritis","Diagnosis of Psoriasis",152,"Skin conditions",15,"55628018","33339001","55628018","cleansedreadcode"
"M160000","Psoriasis","26368","Psoriasis spondylitica","Diagnosis of Psoriasis",152,"Skin conditions",15,"198881000006116","200956002","308727011","cleansedreadcode"
"M160100","Psoriasis","32149","Distal interphalangeal psoriatic arthropathy","Diagnosis of Psoriasis",152,"Skin conditions",15,"359321011","239812005","359321011","cleansedreadcode"
"M160200","Psoriasis","21503","Arthritis mutilans","Diagnosis of Psoriasis",152,"Skin conditions",15,"32869011","19514005","32869011","cleansedreadcode"
"M160z00","Psoriasis","12500","Psoriatic arthropathy NOS","Diagnosis of Psoriasis",152,"Skin conditions",15,"308730016","33339001","55627011","cleansedreadcode"
"M161.00","Psoriasis","22501","Other psoriasis","Diagnosis of Psoriasis",152,"Skin conditions",15,"308731017","9014002","15886015","cleansedreadcode"
"M161000","Psoriasis","162","Psoriasis unspecified","Diagnosis of Psoriasis",152,"Skin conditions",15,"308732012","9014002","15886015","cleansedreadcode"
"M161100","Psoriasis","21104","Psoriasis annularis","Diagnosis of Psoriasis",152,"Skin conditions",15,"308733019","200962007","308733019","cleansedreadcode"
"M161200","Psoriasis","30272","Psoriasis circinata","Diagnosis of Psoriasis",152,"Skin conditions",15,"308734013","200963002","308734013","cleansedreadcode"
"M161300","Psoriasis","42008","Psoriasis diffusa","Diagnosis of Psoriasis",152,"Skin conditions",15,"308735014","200964008","308735014","cleansedreadcode"
"M161400","Psoriasis","18755","Psoriasis discoidea","Diagnosis of Psoriasis",152,"Skin conditions",15,"198791000006112","200965009","308736010","cleansedreadcode"
"M161500","Psoriasis","21633","Psoriasis geographica","Diagnosis of Psoriasis",152,"Skin conditions",15,"308739015","200966005","308739015","cleansedreadcode"
"M161600","Psoriasis","3193","Guttate psoriasis","Diagnosis of Psoriasis",152,"Skin conditions",15,"61797015","37042000","61797015","cleansedreadcode"
"M161700","Psoriasis","65839","Psoriasis gyrata","Diagnosis of Psoriasis",152,"Skin conditions",15,"308740018","200967001","308740018","cleansedreadcode"
"M161800","Psoriasis","48257","Psoriasis inveterata","Diagnosis of Psoriasis",152,"Skin conditions",15,"308741019","200968006","308741019","cleansedreadcode"
"M161900","Psoriasis","60169","Psoriasis ostracea","Diagnosis of Psoriasis",152,"Skin conditions",15,"198841000006110","200969003","308742014","cleansedreadcode"
"M161A00","Psoriasis","8014","Psoriasis palmaris","Diagnosis of Psoriasis",152,"Skin conditions",15,"308744010","200970002","308744010","cleansedreadcode"
"M161B00","Psoriasis","2945","Psoriasis plantaris","Diagnosis of Psoriasis",152,"Skin conditions",15,"308745011","200971003","308745011","cleansedreadcode"
"M161C00","Psoriasis","24136","Psoriasis punctata","Diagnosis of Psoriasis",152,"Skin conditions",15,"308746012","200972005","308746012","cleansedreadcode"
"M161D00","Psoriasis","4231","Pustular psoriasis","Diagnosis of Psoriasis",152,"Skin conditions",15,"308747015","200973000","308747015","cleansedreadcode"
"M161E00","Psoriasis","20222","Psoriasis universalis","Diagnosis of Psoriasis",152,"Skin conditions",15,"308749017","200974006","308749017","cleansedreadcode"
"M161F00","Psoriasis","30210","Psoriasis vulgaris","Diagnosis of Psoriasis",152,"Skin conditions",15,"308750017","200975007","308750017","cleansedreadcode"
"M161F11","Psoriasis","93511","Chronic large plaque psoriasis","Diagnosis of Psoriasis",152,"Skin conditions",15,"1629311000006117","402307000","1781467015","cleansedreadcode"
"M161H00","Psoriasis","17094","Erythrodermic psoriasis","Diagnosis of Psoriasis",152,"Skin conditions",15,"308752013","200977004","308752013","cleansedreadcode"
"M161J00","Psoriasis","107494","Flexural psoriasis","Diagnosis of Psoriasis",152,"Skin conditions",15,"1887571000006111","238600001","357612014","cleansedreadcode"
"M161z00","Psoriasis","172","Psoriasis NOS","Diagnosis of Psoriasis",152,"Skin conditions",15,"308753015","9014002","15886015","cleansedreadcode"
"M166.00","Psoriasis","105229","Palmoplantar pustular psoriasis","Diagnosis of Psoriasis",152,"Skin conditions",15,"483572016","27520001","483572016","cleansedreadcode"
"M16y.00","Psoriasis","41149","Other psoriasis and similar disorders","Diagnosis of Psoriasis",152,"Skin conditions",15,"308775018","399937000","1773474010","cleansedreadcode"
"M16y000","Psoriasis","11761","Scalp psoriasis","Diagnosis of Psoriasis",152,"Skin conditions",15,"357623013","238608008","357623013","cleansedreadcode"
"M16z.00","Psoriasis","30975","Psoriasis and similar disorders NOS","Diagnosis of Psoriasis",152,"Skin conditions",15,"308776017","9014002","15886015","cleansedreadcode"
"Myu3000","Psoriasis","66711","[X]Other psoriasis","Diagnosis of Psoriasis",152,"Skin conditions",15,"309331014","9014002","15886015","cleansedreadcode"
"N045200","Psoriasis","28456","Juvenile arthritis in psoriasis","Diagnosis of Psoriasis",152,"Skin conditions",15,"359310019","239803008","359310019","cleansedreadcode"
"Nyu1300","Psoriasis","59107","[X]Other psoriatic arthropathies","Diagnosis of Psoriasis",152,"Skin conditions",15,"312521010","33339001","55626019","cleansedreadcode"
