"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"23E5.00","Pulmonary Fibrosis","2680","O/E - fibrosis of lung present","Diagnosis of Other interstitial pulmonary diseases with fibrosis",155,"Diseases of the Respiratory System",8,"254003016","162974009","254003016","cleansedreadcode"
"23E5.11","Pulmonary Fibrosis","7994","O/E - fibrosis of lung","Diagnosis of Other interstitial pulmonary diseases with fibrosis",155,"Diseases of the Respiratory System",8,"254002014","162974009","254002014","cleansedreadcode"
"H55..00","Pulmonary Fibrosis","7791","Postinflammatory pulmonary fibrosis","Diagnosis of Other interstitial pulmonary diseases with fibrosis",155,"Diseases of the Respiratory System",8,"211391000006118","266368002","396123011","cleansedreadcode"
"H55..11","Pulmonary Fibrosis","40953","Cirrhosis of lung","Diagnosis of Other interstitial pulmonary diseases with fibrosis",155,"Diseases of the Respiratory System",8,"85961019","266368002","396123011","cleansedreadcode"
"H563.00","Pulmonary Fibrosis","6837","Idiopathic fibrosing alveolitis","Diagnosis of Other interstitial pulmonary diseases with fibrosis",155,"Diseases of the Respiratory System",8,"75302014","700250006","2989716019","cleansedreadcode"
"H563.11","Pulmonary Fibrosis","63174","Hamman - Rich syndrome","Diagnosis of Other interstitial pulmonary diseases with fibrosis",155,"Diseases of the Respiratory System",8,"815341000006115","236302005","2579204016","cleansedreadcode"
"H563.12","Pulmonary Fibrosis","5519","Cryptogenic fibrosing alveolitis","Diagnosis of Other interstitial pulmonary diseases with fibrosis",155,"Diseases of the Respiratory System",8,"196654011","700250006","2989718018","cleansedreadcode"
"H563.13","Pulmonary Fibrosis","103753","Idiopathic pulmonary fibrosis","Diagnosis of Other interstitial pulmonary diseases with fibrosis",155,"Diseases of the Respiratory System",8,"1786131000006116","700250006","2989760019","cleansedreadcode"
"H563100","Pulmonary Fibrosis","6051","Diffuse pulmonary fibrosis","Diagnosis of Other interstitial pulmonary diseases with fibrosis",155,"Diseases of the Respiratory System",8,"621121000006112","196125002","301706014","cleansedreadcode"
"H563200","Pulmonary Fibrosis","103472","Pulmonary fibrosis","Diagnosis of Other interstitial pulmonary diseases with fibrosis",155,"Diseases of the Respiratory System",8,"85960018","51615001","85960018","cleansedreadcode"
"H563300","Pulmonary Fibrosis","103559","Usual interstitial pneumonitis","Diagnosis of Other interstitial pulmonary diseases with fibrosis",155,"Diseases of the Respiratory System",8,"2475606014","196125002","2475606014","cleansedreadcode"
"H563z00","Pulmonary Fibrosis","28229","Idiopathic fibrosing alveolitis NOS","Diagnosis of Other interstitial pulmonary diseases with fibrosis",155,"Diseases of the Respiratory System",8,"301709019","700250006","2989716019","cleansedreadcode"
"Hyu5000","Pulmonary Fibrosis","65060","[X]Other interstitial pulmonary diseases with fibrosis","Diagnosis of Other interstitial pulmonary diseases with fibrosis",155,"Diseases of the Respiratory System",8,"301852014","233703007","350185018","cleansedreadcode"
"","Pulmonary Fibrosis","","cirrhosis of lung","Diagnosis of Other interstitial pulmonary diseases with fibrosis",155,"Diseases of the Respiratory System",8,"3336411000006117","51615001","85961019","originalreadcode"
"","Pulmonary Fibrosis","","idiopathic fibrosing alveolitis","Diagnosis of Other interstitial pulmonary diseases with fibrosis",155,"Diseases of the Respiratory System",8,"12757781000006113","45157009","75302014","originalreadcode"
"","Pulmonary Fibrosis","","postinflammatory pulmonary fibrosis","Diagnosis of Other interstitial pulmonary diseases with fibrosis",155,"Diseases of the Respiratory System",8,"5492481000006115","266368002","3035384014","originalreadcode"
"","Pulmonary Fibrosis","","pulmonary fibrosis","Diagnosis of Other interstitial pulmonary diseases with fibrosis",155,"Diseases of the Respiratory System",8,"885491000006116","51615001","885491000006116","description"
NA,"Pulmonary Fibrosis",NA,"[RFC] Pulmonary fibrosis",NA,155,"Diseases of the Respiratory System",8,"909731000006117","909731000006101","909731000006117","termsearch"
