"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"F423.00","Retinal vascular occlusions","5258","Retinal vascular occlusion","Diagnosis of retinal vascular occlusion",160,"Diseases of the Eye",6,"122485015","73757007","122485015","cleansedreadcode"
"F423000","Retinal vascular occlusions","21794","Unspecified retinal vascular occlusion","Diagnosis of retinal vascular occlusion",160,"Diseases of the Eye",6,"297783012","73757007","122485015","cleansedreadcode"
"F423100","Retinal vascular occlusions","7720","Central retinal artery occlusion","Diagnosis of retinal vascular occlusion",160,"Diseases of the Eye",6,"64469014","38742007","64469014","cleansedreadcode"
"F423200","Retinal vascular occlusions","3602","Retinal arterial branch occlusion","Diagnosis of retinal vascular occlusion",160,"Diseases of the Eye",6,"169751000006113","50821009","1230906015","cleansedreadcode"
"F423211","Retinal vascular occlusions","8149","Branch retinal artery occlusion","Diagnosis of retinal vascular occlusion",160,"Diseases of the Eye",6,"1230906015","50821009","1230906015","cleansedreadcode"
"F423300","Retinal vascular occlusions","11928","Retinal microembolism","Diagnosis of retinal vascular occlusion",160,"Diseases of the Eye",6,"169951000006111","76975009","127782012","cleansedreadcode"
"F423400","Retinal vascular occlusions","21669","Hollenhorst plaque","Diagnosis of retinal vascular occlusion",160,"Diseases of the Eye",6,"2537044017","404670008","2537044017","cleansedreadcode"
"F423500","Retinal vascular occlusions","57909","Retinal partial arterial occlusion NOS","Diagnosis of retinal vascular occlusion",160,"Diseases of the Eye",6,"297786016","232035005","347674010","cleansedreadcode"
"F423700","Retinal vascular occlusions","50242","Retinal transient arterial occlusion NOS","Diagnosis of retinal vascular occlusion",160,"Diseases of the Eye",6,"297787013","87224000","144637019","cleansedreadcode"
"F423800","Retinal vascular occlusions","4102","Central retinal vein occlusion","Diagnosis of retinal vascular occlusion",160,"Diseases of the Eye",6,"113737013","68478007","113737013","cleansedreadcode"
"F423811","Retinal vascular occlusions","5223","Retinal vein thrombosis","Diagnosis of retinal vascular occlusion",160,"Diseases of the Eye",6,"494431010","46085004","494431010","cleansedreadcode"
"F423900","Retinal vascular occlusions","5343","Retinal venous branch occlusion","Diagnosis of retinal vascular occlusion",160,"Diseases of the Eye",6,"170141000006114","24596005","481961010","cleansedreadcode"
"F423911","Retinal vascular occlusions","7647","Branch retinal vein occlusion","Diagnosis of retinal vascular occlusion",160,"Diseases of the Eye",6,"481961010","24596005","481961010","cleansedreadcode"
"F423A00","Retinal vascular occlusions","39989","Retinal venous engorgement","Diagnosis of retinal vascular occlusion",160,"Diseases of the Eye",6,"297791015","193379006","297791015","cleansedreadcode"
"F423z00","Retinal vascular occlusions","861","Retinal vascular occlusion NOS","Diagnosis of retinal vascular occlusion",160,"Diseases of the Eye",6,"297792010","73757007","122485015","cleansedreadcode"
"F42y700","Retinal vascular occlusions","32480","Retinal cotton wool spots","Diagnosis of retinal vascular occlusion",160,"Diseases of the Eye",6,"67167012","39832008","67167012","cleansedreadcode"
"FyuF500","Retinal vascular occlusions","53818","[X]Other retinal artery occlusions","Diagnosis of retinal vascular occlusion",160,"Diseases of the Eye",6,"299476010","232035005","347674010","cleansedreadcode"
"FyuF600","Retinal vascular occlusions","95341","[X]Other retinal vascular occlusions","Diagnosis of retinal vascular occlusion",160,"Diseases of the Eye",6,"299477018","73757007","122485015","cleansedreadcode"
