"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"G11..11","Rheumatic Valve Disorder","16545","Rheumatic mitral valve disease","Diagnosis of Rheumatic valve dz",161,"Diseases of the Circulatory System",2,"505828015","83898004","505828015","cleansedreadcode"
"G110.00","Rheumatic Valve Disorder","1885","Mitral stenosis","Diagnosis of Rheumatic valve dz",161,"Diseases of the Circulatory System",2,"1234383014","79619009","1234383014","cleansedreadcode"
"G110.11","Rheumatic Valve Disorder","32435","Rheumatic mitral stenosis","Diagnosis of Rheumatic valve dz",161,"Diseases of the Circulatory System",2,"143386015","86466006","143386015","cleansedreadcode"
"G111.00","Rheumatic Valve Disorder","51879","Rheumatic mitral insufficiency","Diagnosis of Rheumatic valve dz",161,"Diseases of the Circulatory System",2,"52032016","31085000","52032016","cleansedreadcode"
"G111.11","Rheumatic Valve Disorder","21807","Mitral incompetence - rheumatic","Diagnosis of Rheumatic valve dz",161,"Diseases of the Circulatory System",2,"1227426018","31085000","1227426018","cleansedreadcode"
"G111.12","Rheumatic Valve Disorder","22837","Mitral regurgitation - rheumatic","Diagnosis of Rheumatic valve dz",161,"Diseases of the Circulatory System",2,"700741000006112","31085000","52030012","cleansedreadcode"
"G112.00","Rheumatic Valve Disorder","44488","Mitral stenosis with insufficiency","Diagnosis of Rheumatic valve dz",161,"Diseases of the Circulatory System",2,"299591014","194726006","299591014","cleansedreadcode"
"G112.12","Rheumatic Valve Disorder","50983","Mitral stenosis with incompetence","Diagnosis of Rheumatic valve dz",161,"Diseases of the Circulatory System",2,"299593012","194726006","299593012","cleansedreadcode"
"G112.13","Rheumatic Valve Disorder","44328","Mitral stenosis with regurgitation","Diagnosis of Rheumatic valve dz",161,"Diseases of the Circulatory System",2,"299592019","194726006","299592019","cleansedreadcode"
"G12..00","Rheumatic Valve Disorder","18100","Rheumatic aortic valve disease","Diagnosis of Rheumatic valve dz",161,"Diseases of the Circulatory System",2,"20721017","12023003","20721017","cleansedreadcode"
"G120.00","Rheumatic Valve Disorder","9391","Rheumatic aortic stenosis","Diagnosis of Rheumatic valve dz",161,"Diseases of the Circulatory System",2,"119660019","72011007","119660019","cleansedreadcode"
"G121.00","Rheumatic Valve Disorder","32211","Rheumatic aortic insufficiency","Diagnosis of Rheumatic valve dz",161,"Diseases of the Circulatory System",2,"129504017","78031003","129504017","cleansedreadcode"
"G121.11","Rheumatic Valve Disorder","43347","Aortic incompetence - rheumatic","Diagnosis of Rheumatic valve dz",161,"Diseases of the Circulatory System",2,"1234202016","78031003","1234202016","cleansedreadcode"
"G121.12","Rheumatic Valve Disorder","7963","Aortic regurgitation - rheumatic","Diagnosis of Rheumatic valve dz",161,"Diseases of the Circulatory System",2,"488451000006114","78031003","129502018","cleansedreadcode"
"G122.00","Rheumatic Valve Disorder","63960","Rheumatic aortic stenosis with insufficiency","Diagnosis of Rheumatic valve dz",161,"Diseases of the Circulatory System",2,"30011012","17759006","30011012","cleansedreadcode"
"G12z.00","Rheumatic Valve Disorder","50809","Rheumatic aortic valve disease NOS","Diagnosis of Rheumatic valve dz",161,"Diseases of the Circulatory System",2,"299597013","12023003","20718019","cleansedreadcode"
"G140000","Rheumatic Valve Disorder","31505","Rheumatic tricuspid stenosis","Diagnosis of Rheumatic valve dz",161,"Diseases of the Circulatory System",2,"168601000006114","88318005","146419014","cleansedreadcode"
"G140100","Rheumatic Valve Disorder","60266","Rheumatic tricuspid insufficiency","Diagnosis of Rheumatic valve dz",161,"Diseases of the Circulatory System",2,"1232960018","67696008","1232960018","cleansedreadcode"
"G140111","Rheumatic Valve Disorder","21980","Tricuspid regurgitation - rheumatic","Diagnosis of Rheumatic valve dz",161,"Diseases of the Circulatory System",2,"87501000006118","67696008","1232959011","cleansedreadcode"
"G140112","Rheumatic Valve Disorder","42239","Tricuspid incompetence - rheumatic","Diagnosis of Rheumatic valve dz",161,"Diseases of the Circulatory System",2,"1232958015","67696008","1232958015","cleansedreadcode"
"G140200","Rheumatic Valve Disorder","93114","Rheumatic tricuspid stenosis and insufficiency","Diagnosis of Rheumatic valve dz",161,"Diseases of the Circulatory System",2,"299620010","194741006","299620010","cleansedreadcode"
"G14021X","Rheumatic Valve Disorder","93113","Rheumatic tricuspid stenosis and regurgitation","Diagnosis of Rheumatic valve dz",161,"Diseases of the Circulatory System",2,"299619016","194741006","299619016","cleansedreadcode"
"G14021Y","Rheumatic Valve Disorder","62186","Rheumatic tricuspid stenosis and incompetence","Diagnosis of Rheumatic valve dz",161,"Diseases of the Circulatory System",2,"299618012","194741006","299618012","cleansedreadcode"
"G140z00","Rheumatic Valve Disorder","72613","Rheumatic tricuspid valve disease NOS","Diagnosis of Rheumatic valve dz",161,"Diseases of the Circulatory System",2,"299624018","49699002","82772011","cleansedreadcode"
"G141.00","Rheumatic Valve Disorder","44167","Rheumatic pulmonary valve disease","Diagnosis of Rheumatic valve dz",161,"Diseases of the Circulatory System",2,"31507017","18687009","31507017","cleansedreadcode"
"G141000","Rheumatic Valve Disorder","62207","Rheumatic pulmonary stenosis","Diagnosis of Rheumatic valve dz",161,"Diseases of the Circulatory System",2,"168541000006110","91442002","151483011","cleansedreadcode"
"G141100","Rheumatic Valve Disorder","54088","Rheumatic pulmonary insufficiency","Diagnosis of Rheumatic valve dz",161,"Diseases of the Circulatory System",2,"1228148017","34126003","1228148017","cleansedreadcode"
"G141200","Rheumatic Valve Disorder","105626","Rheumatic pulmonary stenosis and insufficiency","Diagnosis of Rheumatic valve dz",161,"Diseases of the Circulatory System",2,"1495489016","85971001","1495489016","cleansedreadcode"
