"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Rheumatoid Arthritis",NA,"Rheum. arth. - ankle/foot",NA,162,"Musculoskeletal conditions",12,"889751000006116","69896004","889751000006116","termsearch"
NA,"Rheumatoid Arthritis",NA,"Rheum. arth. - elbow joint",NA,162,"Musculoskeletal conditions",12,"889801000006111","69896004","889801000006111","termsearch"
NA,"Rheumatoid Arthritis",NA,"Rheum. arth. - hand joint",NA,162,"Musculoskeletal conditions",12,"889781000006112","69896004","889781000006112","termsearch"
NA,"Rheumatoid Arthritis",NA,"Rheum. arth. - knee joint",NA,162,"Musculoskeletal conditions",12,"889761000006119","69896004","889761000006119","termsearch"
NA,"Rheumatoid Arthritis",NA,"Rheum. arth. - multiple joint",NA,162,"Musculoskeletal conditions",12,"889821000006118","69896004","889821000006118","termsearch"
NA,"Rheumatoid Arthritis",NA,"Rheum. arth. - other joint",NA,162,"Musculoskeletal conditions",12,"889741000006118","69896004","889741000006118","termsearch"
NA,"Rheumatoid Arthritis",NA,"Rheum. arth. - shoulder joint",NA,162,"Musculoskeletal conditions",12,"889811000006114","69896004","889811000006114","termsearch"
NA,"Rheumatoid Arthritis",NA,"Rheum. arth. - wrist joint",NA,162,"Musculoskeletal conditions",12,"889791000006110","69896004","889791000006110","termsearch"
NA,"Rheumatoid Arthritis",NA,"Rheumatoid arthritis NOS",NA,162,"Musculoskeletal conditions",12,"889731000006111","69896004","889731000006111","termsearch"
NA,"Rheumatoid Arthritis",NA,"Rheumatoid arthritis of multiple joints",NA,162,"Musculoskeletal conditions",12,"5721431000006114","287006005","2692387019","termsearch"
NA,"Rheumatoid Arthritis",NA,"[RFC] Rheumatoid arthritis",NA,162,"Musculoskeletal conditions",12,"909191000006119","909191000006103","909191000006119","termsearch"
"","Rheumatoid Arthritis","","caplan's syndrome","Diagnosis of Rheumatoid Arthritis",162,"Musculoskeletal conditions",12,"6608781000006113","398640008","1786505011","originalreadcode"
"","Rheumatoid Arthritis","","rheumatoid arthritis monitoring invitation","History of Rheumatoid Arthritis",162,"Musculoskeletal conditions",12,"1875561000006119","1875561000006103","1875561000006119","originalreadcode"
"","Rheumatoid Arthritis","","rheumatoid arthritis monitoring invitation first letter","History of Rheumatoid Arthritis",162,"Musculoskeletal conditions",12,"1875591000006110","1875591000006106","1875591000006110","originalreadcode"
"","Rheumatoid Arthritis","","rheumatoid arthritis monitoring invitation second letter","History of Rheumatoid Arthritis",162,"Musculoskeletal conditions",12,"1875601000006119","1875601000006103","1875601000006119","originalreadcode"
"","Rheumatoid Arthritis","","rheumatoid arthritis monitoring invitation third letter","History of Rheumatoid Arthritis",162,"Musculoskeletal conditions",12,"1875611000006116","1875611000006100","1875611000006116","originalreadcode"
"","Rheumatoid Arthritis","","rheumatoid arthritis monitoring telephone invitation","History of Rheumatoid Arthritis",162,"Musculoskeletal conditions",12,"1875571000006114","1875571000006105","1875571000006114","originalreadcode"
"","Rheumatoid Arthritis","","rheumatoid arthritis monitoring verbal invitation","History of Rheumatoid Arthritis",162,"Musculoskeletal conditions",12,"1875581000006112","1875581000006108","1875581000006112","originalreadcode"
"","Rheumatoid Arthritis","","seropositive errosive rheumatoid arthritis","Diagnosis of Rheumatoid Arthritis",162,"Musculoskeletal conditions",12,"11903911000006111","308143008","451461014","originalreadcode"
"2G25.00","Rheumatoid Arthritis","56232","O/E - hands - ulnar deviation","Diagnosis of Rheumatoid Arthritis",162,"Musculoskeletal conditions",12,"255923010","164454008","255923010","cleansedreadcode"
"2G25.11","Rheumatoid Arthritis","36678","O/E - ulnar deviation","Diagnosis of Rheumatoid Arthritis",162,"Musculoskeletal conditions",12,"255922017","164454008","255922017","cleansedreadcode"
"2G27.00","Rheumatoid Arthritis","33264","O/E-hands-rheumatoid spindling","Diagnosis of Rheumatoid Arthritis",162,"Musculoskeletal conditions",12,"255925015","164456005","255925015","cleansedreadcode"
