"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"3299","Right bundle branch block combinations","534","ECG: right bundle branch block","Diagnosis of Right bundle branch block",163,"Diseases of the Circulatory System",2,"256496010","164907000","256496010","originalreadcode"
"329B.00","Right bundle branch block combinations","100234","ECG: trifascicular block","Diagnosis of Trifascicular block",163,"Diseases of the Circulatory System",2,"1738951000006119","445309007","2871902010","cleansedreadcode"
"329F.00","Right bundle branch block combinations","100888","ECG: right bundle branch and left anterior fascicular block","Diagnosis of Bifascicular block",163,"Diseases of the Circulatory System",2,"1738991000006113","445263008","2872452013","cleansedreadcode"
"329G.00","Right bundle branch block combinations","104676","ECG: right bundle branch and left posterior fascicular block","Diagnosis of Bifascicular block",163,"Diseases of the Circulatory System",2,"1739001000006113","445393004","2871599019","cleansedreadcode"
"G564.00","Right bundle branch block combinations","9906","Right bundle branch block","Diagnosis of Right bundle branch block",163,"Diseases of the Circulatory System",2,"98239015","59118001","98239015","cleansedreadcode"
"G565100","Right bundle branch block combinations","98675","Right BBB with left posterior fascicular block","Diagnosis of Bifascicular block",163,"Diseases of the Circulatory System",2,"162991000006113","46319007","1230343010","cleansedreadcode"
"G565200","Right bundle branch block combinations","57069","Right BBB with left anterior fascicular block","Diagnosis of Bifascicular block",163,"Diseases of the Circulatory System",2,"162981000006110","30667004","1227297017","cleansedreadcode"
"G565400","Right bundle branch block combinations","10712","Trifascicular block","Diagnosis of Trifascicular block",163,"Diseases of the Circulatory System",2,"142607010","86014007","142607010","cleansedreadcode"
"G566200","Right bundle branch block combinations","35947","Right fascicular block","Diagnosis of Right bundle branch block",163,"Diseases of the Circulatory System",2,"163011000006112","59118001","1231921018","cleansedreadcode"
"G56y400","Right bundle branch block combinations","65653","Right fascicular block","Diagnosis of Right bundle branch block",163,"Diseases of the Circulatory System",2,"1231921018","59118001","1231921018","cleansedreadcode"
"Gyu5W00","Right bundle branch block combinations","97821","[X]Other and unspecified right bundle-branch block","Diagnosis of Right bundle branch block",163,"Diseases of the Circulatory System",2,"300919014","59118001","98239015","cleansedreadcode"
