"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"AD5..00","Sarcoidosis","3865","Sarcoidosis","Diagnosis of Sarcoidosis",165,"Haematological/Immunological conditions",9,"52728016","31541009","52728016","cleansedreadcode"
"AD50.00","Sarcoidosis","33980","Sarcoidosis of lung","Diagnosis of Sarcoidosis",165,"Haematological/Immunological conditions",9,"1223250017","24369008","1223250017","cleansedreadcode"
"AD51.00","Sarcoidosis","49075","Sarcoidosis of lymph nodes","Diagnosis of Sarcoidosis",165,"Haematological/Immunological conditions",9,"1232607019","64757003","1232607019","cleansedreadcode"
"AD52.00","Sarcoidosis","58841","Sarcoidosis of lung with sarcoidosis of lymph nodes","Diagnosis of Sarcoidosis",165,"Haematological/Immunological conditions",9,"287930013","187233002","287930013","cleansedreadcode"
"AD53.00","Sarcoidosis","27769","Sarcoidosis of skin","Diagnosis of Sarcoidosis",165,"Haematological/Immunological conditions",9,"1231546012","55941000","1231546012","cleansedreadcode"
"AD53000","Sarcoidosis","28952","Lupus pernio","Diagnosis of Sarcoidosis",165,"Haematological/Immunological conditions",9,"502127019","72470008","502127019","cleansedreadcode"
"AD54.00","Sarcoidosis","72595","Sarcoidosis of inferior turbinates","Diagnosis of Sarcoidosis",165,"Haematological/Immunological conditions",9,"454209012","310607007","454209012","cleansedreadcode"
"AD55.00","Sarcoidosis","40613","Sarcoid arthropathy","Diagnosis of Sarcoidosis",165,"Haematological/Immunological conditions",9,"477671011","361197009","477671011","cleansedreadcode"
"Cyu0600","Sarcoidosis","73284","[X]Sarcoidosis of other and combined sites","Diagnosis of Sarcoidosis",165,"Haematological/Immunological conditions",9,"293742013","31541009","52728016","cleansedreadcode"
"F013.00","Sarcoidosis","49454","Meningitis due to sarcoidosis","Diagnosis of Sarcoidosis",165,"Haematological/Immunological conditions",9,"296819018","192673008","296819018","cleansedreadcode"
"F326300","Sarcoidosis","55612","Multiple cranial nerve palsies in sarcoidosis","Diagnosis of Sarcoidosis",165,"Haematological/Immunological conditions",9,"297440017","193101001","297440017","cleansedreadcode"
"F374900","Sarcoidosis","40751","Polyneuropathy in sarcoidosis","Diagnosis of Sarcoidosis",165,"Haematological/Immunological conditions",9,"297566017","193195000","297566017","cleansedreadcode"
"F396500","Sarcoidosis","52519","Myopathy due to sarcoidosis","Diagnosis of Sarcoidosis",165,"Haematological/Immunological conditions",9,"297643013","193251003","297643013","cleansedreadcode"
"G558300","Sarcoidosis","47037","Sarcoid heart disease","Diagnosis of Sarcoidosis",165,"Haematological/Immunological conditions",9,"161591000006114","195033009","300056015","cleansedreadcode"
"G5y7.00","Sarcoidosis","34437","Sarcoid myocarditis","Diagnosis of Sarcoidosis",165,"Haematological/Immunological conditions",9,"1494958019","195033009","1494958019","cleansedreadcode"
"H57y200","Sarcoidosis","3859","Pulmonary sarcoidosis","Diagnosis of Sarcoidosis",165,"Haematological/Immunological conditions",9,"40879015","24369008","40879015","cleansedreadcode"
"J63A.00","Sarcoidosis","26405","Hepatic granulomas in sarcoidosis","Diagnosis of Sarcoidosis",165,"Haematological/Immunological conditions",9,"303525019","197368002","303525019","cleansedreadcode"
"N233200","Sarcoidosis","47718","Myositis in sarcoidosis","Diagnosis of Sarcoidosis",165,"Haematological/Immunological conditions",9,"311616019","203042003","311616019","cleansedreadcode"
