"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Schizophrenia",NA,"Acute schizo affective psychosis",NA,166,"Mental Health Disorders",11,"882301000006112","191567000","882301000006112","termsearch"
NA,"Schizophrenia",NA,"Paranoid schizophrenia, complete remission",NA,166,"Mental Health Disorders",11,"1974511000006113","1974511000006109","1974511000006113","termsearch"
NA,"Schizophrenia",NA,"Paranoid state in remission",NA,166,"Mental Health Disorders",11,"8232521000006119","755301000000102","1662001000000113","termsearch"
NA,"Schizophrenia",NA,"Schizophrenic psychoses",NA,166,"Mental Health Disorders",11,"882291000006111","191526005","882291000006111","termsearch"
NA,"Schizophrenia",NA,"Schizophrenic psychoses NOS",NA,166,"Mental Health Disorders",11,"882281000006113","191526005","882281000006113","termsearch"
"","Schizophrenia","","[x]chronic hallucinatory psychosis","Diagnosis of Schizophrenia, schizotypal and delusional disorders",166,"Mental Health Disorders",11,"12759121000006115","480111000000107","885271000000111","originalreadcode"
"","Schizophrenia","","[x]other nonorganic psychotic disorders","Diagnosis of Schizophrenia, schizotypal and delusional disorders",166,"Mental Health Disorders",11,"12759131000006117","480111000000107","996461000000115","originalreadcode"
"","Schizophrenia","","[x]schizophrenia, schizotypal and delusional disorders","Diagnosis of Schizophrenia, schizotypal and delusional disorders",166,"Mental Health Disorders",11,"12480451000006112","417601000000102","939641000000117","originalreadcode"
"212W.00","Schizophrenia","88275","Schizophrenia resolved","History of Schizophrenia, schizotypal and delusional disorders",166,"Mental Health Disorders",11,"492821000000113","285521000000103","492821000000113","cleansedreadcode"
"212X.00","Schizophrenia","85972","Psychosis resolved","History of Schizophrenia, schizotypal and delusional disorders",166,"Mental Health Disorders",11,"492881000000114","285551000000108","492881000000114","cleansedreadcode"
"285..11","Schizophrenia","4390","Psychotic condition, insight present","Diagnosis of Schizophrenia, schizotypal and delusional disorders",166,"Mental Health Disorders",11,"402504012","268957000","402504012","cleansedreadcode"
"286..11","Schizophrenia","22644","Poor insight into psychotic condition","Diagnosis of Schizophrenia, schizotypal and delusional disorders",166,"Mental Health Disorders",11,"215691000006112","12200008","21006010","cleansedreadcode"
"E1...00","Schizophrenia","15958","Non-organic psychoses","Diagnosis of Schizophrenia, schizotypal and delusional disorders",166,"Mental Health Disorders",11,"294724012","191525009","294724012","cleansedreadcode"
"E10..00","Schizophrenia","854","Schizophrenic disorders","Diagnosis of Schizophrenia, schizotypal and delusional disorders",166,"Mental Health Disorders",11,"294725013","191526005","294725013","cleansedreadcode"
"E100.00","Schizophrenia","32222","Simple schizophrenia","Diagnosis of Schizophrenia, schizotypal and delusional disorders",166,"Mental Health Disorders",11,"294727017","191527001","294727017","cleansedreadcode"
"E100.11","Schizophrenia","73295","Schizophrenia simplex","Diagnosis of Schizophrenia, schizotypal and delusional disorders",166,"Mental Health Disorders",11,"294726014","191527001","294726014","cleansedreadcode"
"E100000","Schizophrenia","15733","Unspecified schizophrenia","Diagnosis of Schizophrenia, schizotypal and delusional disorders",166,"Mental Health Disorders",11,"294728010","58214004","96745016","cleansedreadcode"
"E100100","Schizophrenia","23616","Subchronic schizophrenia","Diagnosis of Schizophrenia, schizotypal and delusional disorders",166,"Mental Health Disorders",11,"28758018","16990005","28758018","cleansedreadcode"
"E100200","Schizophrenia","3984","Chronic schizophrenic","Diagnosis of Schizophrenia, schizotypal and delusional disorders",166,"Mental Health Disorders",11,"1234861017","83746006","1234861017","cleansedreadcode"
"E100300","Schizophrenia","57666","Acute exacerbation of subchronic schizophrenia","Diagnosis of Schizophrenia, schizotypal and delusional disorders",166,"Mental Health Disorders",11,"294730012","111482003","178722014","cleansedreadcode"
"E100400","Schizophrenia","44498","Acute exacerbation of chronic schizophrenia","Diagnosis of Schizophrenia, schizotypal and delusional disorders",166,"Mental Health Disorders",11,"294731011","191531007","294731011","cleansedreadcode"
"E100500","Schizophrenia","58687","Schizophrenia in remission","History of Schizophrenia, schizotypal and delusional disorders",166,"Mental Health Disorders",11,"9225016","4926007","9225016","cleansedreadcode"
"E100z00","Schizophrenia","53625","Simple schizophrenia NOS","Diagnosis of Schizophrenia, schizotypal and delusional disorders",166,"Mental Health Disorders",11,"294734015","191527001","294727017","cleansedreadcode"
