"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"F4K0.00","Scleritis and episcleritis","15996","Scleritis and episcleritis","Diagnosis of scleritis or episcleritis",167,"Diseases of the Eye",6,"399488011","267659002","399488011","cleansedreadcode"
"F4K0.11","Scleritis and episcleritis","136","Episcleritis","Diagnosis of scleritis or episcleritis",167,"Diseases of the Eye",6,"2432010","815008","2432010","cleansedreadcode"
"F4K0.12","Scleritis and episcleritis","5318","Scleritis","Diagnosis of scleritis or episcleritis",167,"Diseases of the Eye",6,"130057013","78370002","130057013","cleansedreadcode"
"F4K0000","Scleritis and episcleritis","35599","Unspecified scleritis","Diagnosis of scleritis or episcleritis",167,"Diseases of the Eye",6,"298859012","78370002","130057013","cleansedreadcode"
"F4K0100","Scleritis and episcleritis","47820","Episcleritis periodica fugax","Diagnosis of scleritis or episcleritis",167,"Diseases of the Eye",6,"52155016","31166000","52155016","cleansedreadcode"
"F4K0200","Scleritis and episcleritis","6783","Nodular episcleritis","Diagnosis of scleritis or episcleritis",167,"Diseases of the Eye",6,"117201018","70558001","117201018","cleansedreadcode"
"F4K0300","Scleritis and episcleritis","40365","Anterior scleritis","Diagnosis of scleritis or episcleritis",167,"Diseases of the Eye",6,"105477014","63454000","105477014","cleansedreadcode"
"F4K0400","Scleritis and episcleritis","40647","Scleromalacia perforans","Diagnosis of scleritis or episcleritis",167,"Diseases of the Eye",6,"44644012","26664005","44644012","cleansedreadcode"
"F4K0500","Scleritis and episcleritis","37665","Sclerokeratitis","Diagnosis of scleritis or episcleritis",167,"Diseases of the Eye",6,"155971000006110","417290008","2548241017","cleansedreadcode"
"F4K0600","Scleritis and episcleritis","51523","Brawny scleritis","Diagnosis of scleritis or episcleritis",167,"Diseases of the Eye",6,"151783012","91612009","151783012","cleansedreadcode"
"F4K0700","Scleritis and episcleritis","28123","Posterior scleritis","Diagnosis of scleritis or episcleritis",167,"Diseases of the Eye",6,"399489015","267660007","399489015","cleansedreadcode"
"F4K0711","Scleritis and episcleritis","65835","Sclerotenonitis","Diagnosis of scleritis or episcleritis",167,"Diseases of the Eye",6,"347458011","231874004","347458011","cleansedreadcode"
"F4K0z00","Scleritis and episcleritis","44859","Scleritis or episcleritis NOS","Diagnosis of scleritis or episcleritis",167,"Diseases of the Eye",6,"298867016","267659002","399488011","cleansedreadcode"
"FyuD800","Scleritis and episcleritis","101293","[X]Scleritis+episcleritis in diseases CE","Diagnosis of scleritis or episcleritis",167,"Diseases of the Eye",6,"425741000006117","231872000","347456010","cleansedreadcode"
NA,"Scleritis and episcleritis",NA,"Scleritis/episcleritis",NA,167,"Diseases of the Eye",6,"883591000006116","267659002","883591000006116","termsearch"
