"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"F396600","Scleroderma","55601","Myopathy due to scleroderma","Diagnosis of Systemic sclerosis",168,"Musculoskeletal conditions",12,"297644019","193252005","297644019","cleansedreadcode"
"H572.00","Scleroderma","94996","Lung disease with systemic sclerosis","Diagnosis of Systemic sclerosis",168,"Musculoskeletal conditions",12,"301716018","196133001","301716018","cleansedreadcode"
"K0H..00","Scleroderma","105976","Acute scleroderma renal crisis","Diagnosis of Systemic sclerosis",168,"Musculoskeletal conditions",12,"354513019","236503001","354513019","cleansedreadcode"
"K0J0.00","Scleroderma","107382","Renal involvement in scleroderma","Diagnosis of Systemic sclerosis",168,"Musculoskeletal conditions",12,"354512012","236502006","354512012","cleansedreadcode"
"N001.00","Scleroderma","3670","Scleroderma","Diagnosis of Systemic sclerosis",168,"Musculoskeletal conditions",12,"309413012","89155008","147835019","cleansedreadcode"
"N001.11","Scleroderma","68277","Acrosclerosis","Diagnosis of Systemic sclerosis",168,"Musculoskeletal conditions",12,"1785104011","298285004","1785104011","cleansedreadcode"
"N001.12","Scleroderma","28417","Systemic sclerosis","Diagnosis of Systemic sclerosis",168,"Musculoskeletal conditions",12,"147833014","89155008","147833014","cleansedreadcode"
"N001000","Scleroderma","44141","Progressive systemic sclerosis","Diagnosis of Systemic sclerosis",168,"Musculoskeletal conditions",12,"147834015","444133002","2842339011","cleansedreadcode"
"N001100","Scleroderma","17675","CREST syndrome","Diagnosis of Systemic sclerosis",168,"Musculoskeletal conditions",12,"53211014","31848007","53211014","cleansedreadcode"
"N001200","Scleroderma","110174","Systemic sclerosis induced by drugs and chemicals","Diagnosis of Systemic sclerosis",168,"Musculoskeletal conditions",12,"309416016","201443009","309416016","cleansedreadcode"
"Nyu4500","Scleroderma","71763","[X]Other forms of systemic sclerosis","Diagnosis of Systemic sclerosis",168,"Musculoskeletal conditions",12,"312581012","89155008","147833014","cleansedreadcode"
