"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Seborrheic dermatitis",NA,"Dandruff - pityriasis capitis",NA,169,"Skin conditions",15,"889111000006116","34630004","889111000006116","termsearch"
"","Seborrheic dermatitis","","seborrhoea capitis","Diagnosis of Seborrheic dermatitis",169,"Skin conditions",15,"4515191000006118","156329007","1783489011","originalreadcode"
"","Seborrheic dermatitis","","seborrhoea capitis","Diagnosis of Seborrheic dermatitis",169,"Skin conditions",15,"987591000006117","156329007","987591000006117","description"
"M100.00","Seborrheic dermatitis","3069","Pityriasis capitis - dandruff","Diagnosis of Seborrheic dermatitis",169,"Skin conditions",15,"226461000006117","156329007","243878010","cleansedreadcode"
"M101.00","Seborrheic dermatitis","359","Seborrhoeic dermatitis","Diagnosis of Seborrheic dermatitis",169,"Skin conditions",15,"84230010","50563003","84230010","cleansedreadcode"
"M101.11","Seborrheic dermatitis","7425","Seborrhoeic dermatitis capitis","Diagnosis of Seborrheic dermatitis",169,"Skin conditions",15,"220911000000115","156329007","243878010","cleansedreadcode"
"M101.12","Seborrheic dermatitis","653","Seborrhoeic eczema","Diagnosis of Seborrheic dermatitis",169,"Skin conditions",15,"84231014","50563003","84231014","cleansedreadcode"
"M15y300","Seborrheic dermatitis","57525","Leiner's disease","Diagnosis of Seborrheic dermatitis",169,"Skin conditions",15,"13050019","263661007","391923011","cleansedreadcode"
"M165100","Seborrheic dermatitis","18970","Pityriasis folliculorum","Diagnosis of Seborrheic dermatitis",169,"Skin conditions",15,"308772015","200993008","308772015","cleansedreadcode"
"M165200","Seborrheic dermatitis","48641","Pityriasis streptogenes","Diagnosis of Seborrheic dermatitis",169,"Skin conditions",15,"308773013","200994002","308773013","cleansedreadcode"
"M244.11","Seborrheic dermatitis","3453","Seborrhoea capitis","Diagnosis of Seborrheic dermatitis",169,"Skin conditions",15,"1783489011","156329007","243878010","cleansedreadcode"
"M263.00","Seborrheic dermatitis","2556","Seborrhoea","Diagnosis of Seborrheic dermatitis",169,"Skin conditions",15,"143792011","86708008","143792011","cleansedreadcode"
"M263000","Seborrheic dermatitis","38493","Seborrhoea corporis","Diagnosis of Seborrheic dermatitis",169,"Skin conditions",15,"309144011","201236001","309144011","cleansedreadcode"
"M263100","Seborrheic dermatitis","35810","Seborrhoea faciei","Diagnosis of Seborrheic dermatitis",169,"Skin conditions",15,"309147016","201237005","309147016","cleansedreadcode"
"M263200","Seborrheic dermatitis","62750","Seborrhoea nasi","Diagnosis of Seborrheic dermatitis",169,"Skin conditions",15,"309148014","201238000","309148014","cleansedreadcode"
"M263300","Seborrheic dermatitis","65283","Seborrhoea oleosa","Diagnosis of Seborrheic dermatitis",169,"Skin conditions",15,"106347012","63977007","106347012","cleansedreadcode"
"M263z00","Seborrheic dermatitis","20150","Seborrhoea NOS","Diagnosis of Seborrheic dermatitis",169,"Skin conditions",15,"309155011","86708008","143792011","cleansedreadcode"
"Myu2000","Seborrheic dermatitis","48473","[X]Other seborrhoeic dermatitis","Diagnosis of Seborrheic dermatitis",169,"Skin conditions",15,"309316017","50563003","84230010","cleansedreadcode"
