"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"","Secondary Malignancy_Lymph Nodes","","secondary and unspec malig neop anterior cervical ln","Diagnosis of Secondary Malignancy_Lymph Nodes",176,"Cancers",1,"11903991000006118","303194003","157491000006114","originalreadcode"
"","Secondary Malignancy_Lymph Nodes","","secondary and unspec malig neop circumflex iliac ln","Diagnosis of Secondary Malignancy_Lymph Nodes",176,"Cancers",1,"11904011000006113","94350006","157541000006116","originalreadcode"
"","Secondary Malignancy_Lymph Nodes","","secondary and unspec malig neop coeliac lymph nodes","Diagnosis of Secondary Malignancy_Lymph Nodes",176,"Cancers",1,"11904021000006117","94347008","157551000006119","originalreadcode"
"","Secondary Malignancy_Lymph Nodes","","secondary and unspec malig neop common iliac lymph nodes","Diagnosis of Secondary Malignancy_Lymph Nodes",176,"Cancers",1,"11904031000006119","94350006","157561000006117","originalreadcode"
"","Secondary Malignancy_Lymph Nodes","","secondary and unspec malig neop deep cervical ln","Diagnosis of Secondary Malignancy_Lymph Nodes",176,"Cancers",1,"11904041000006112","303194003","157571000006112","originalreadcode"
"","Secondary Malignancy_Lymph Nodes","","secondary and unspec malig neop deep inguinal lymph nodes","Diagnosis of Secondary Malignancy_Lymph Nodes",176,"Cancers",1,"11904051000006114","94395004","157581000006110","originalreadcode"
"","Secondary Malignancy_Lymph Nodes","","secondary and unspec malig neop deep parotid lymph nodes","Diagnosis of Secondary Malignancy_Lymph Nodes",176,"Cancers",1,"11904061000006111","303194003","11904061000006111","originalreadcode"
"","Secondary Malignancy_Lymph Nodes","","secondary and unspec malig neop diaphragmatic lymph nodes","Diagnosis of Secondary Malignancy_Lymph Nodes",176,"Cancers",1,"11904071000006116","94392001","157601000006117","originalreadcode"
"","Secondary Malignancy_Lymph Nodes","","secondary and unspec malig neop inferior mesenteric ln","Diagnosis of Secondary Malignancy_Lymph Nodes",176,"Cancers",1,"11904101000006114","94347008","157631000006113","originalreadcode"
"","Secondary Malignancy_Lymph Nodes","","secondary and unspec malig neop inferior tracheobronchial ln","Diagnosis of Secondary Malignancy_Lymph Nodes",176,"Cancers",1,"11904111000006112","94351005","11904111000006112","originalreadcode"
"","Secondary Malignancy_Lymph Nodes","","secondary and unspec malig neop infraclavicular lymph nodes","Diagnosis of Secondary Malignancy_Lymph Nodes",176,"Cancers",1,"11904121000006116","94392001","157651000006118","originalreadcode"
"","Secondary Malignancy_Lymph Nodes","","secondary and unspec malig neop intercostal lymph nodes","Diagnosis of Secondary Malignancy_Lymph Nodes",176,"Cancers",1,"11904131000006118","94351005","157671000006111","originalreadcode"
"","Secondary Malignancy_Lymph Nodes","","secondary and unspec malig neop internal iliac lymph nodes","Diagnosis of Secondary Malignancy_Lymph Nodes",176,"Cancers",1,"11904141000006111","94350006","157681000006114","originalreadcode"
"","Secondary Malignancy_Lymph Nodes","","secondary and unspec malig neop internal mammary lymph nodes","Diagnosis of Secondary Malignancy_Lymph Nodes",176,"Cancers",1,"11904151000006113","94351005","157691000006112","originalreadcode"
"","Secondary Malignancy_Lymph Nodes","","secondary and unspec malig neop of facial lymph nodes","Diagnosis of Secondary Malignancy_Lymph Nodes",176,"Cancers",1,"11904171000006115","303194003","157801000006116","originalreadcode"
"","Secondary Malignancy_Lymph Nodes","","secondary and unspec malig neop of superficial parotid ln","Diagnosis of Secondary Malignancy_Lymph Nodes",176,"Cancers",1,"12702541000006115","94475009","157821000006114","originalreadcode"
"","Secondary Malignancy_Lymph Nodes","","secondary and unspec malig neop pectoral lymph nodes","Diagnosis of Secondary Malignancy_Lymph Nodes",176,"Cancers",1,"11904201000006116","94392001","157841000006119","originalreadcode"
"","Secondary Malignancy_Lymph Nodes","","secondary and unspec malig neop pulmonary lymph nodes","Diagnosis of Secondary Malignancy_Lymph Nodes",176,"Cancers",1,"11904231000006112","94392001","157871000006110","originalreadcode"
"","Secondary Malignancy_Lymph Nodes","","secondary and unspec malig neop sacral lymph nodes","Diagnosis of Secondary Malignancy_Lymph Nodes",176,"Cancers",1,"11904241000006119","94350006","157881000006113","originalreadcode"
"","Secondary Malignancy_Lymph Nodes","","secondary and unspec malig neop submandibular lymph nodes","Diagnosis of Secondary Malignancy_Lymph Nodes",176,"Cancers",1,"11904251000006117","303194003","157891000006111","originalreadcode"
"","Secondary Malignancy_Lymph Nodes","","secondary and unspec malig neop submental lymph nodes","Diagnosis of Secondary Malignancy_Lymph Nodes",176,"Cancers",1,"11904261000006115","303194003","157901000006110","originalreadcode"
"","Secondary Malignancy_Lymph Nodes","","secondary and unspec malig neop superfic tracheobronchial ln","Diagnosis of Secondary Malignancy_Lymph Nodes",176,"Cancers",1,"12702551000006118","94642006","157911000006113","originalreadcode"
"","Secondary Malignancy_Lymph Nodes","","secondary and unspec malig neop superficial cervical ln","Diagnosis of Secondary Malignancy_Lymph Nodes",176,"Cancers",1,"11904281000006113","303194003","157921000006117","originalreadcode"
"","Secondary Malignancy_Lymph Nodes","","secondary and unspec malig neop superficial inguinal ln","Diagnosis of Secondary Malignancy_Lymph Nodes",176,"Cancers",1,"11904291000006111","94395004","157931000006119","originalreadcode"
"","Secondary Malignancy_Lymph Nodes","","secondary and unspec malig neop supratrochlear lymph nodes","Diagnosis of Secondary Malignancy_Lymph Nodes",176,"Cancers",1,"11904301000006112","94398002","157951000006114","originalreadcode"
"","Secondary Malignancy_Lymph Nodes","","secondary and unspec malignant neoplasm mastoid lymph nodes","Diagnosis of Secondary Malignancy_Lymph Nodes",176,"Cancers",1,"11904311000006110","303194003","157961000006111","originalreadcode"
"B56..00","Secondary Malignancy_Lymph Nodes","9618","Secondary and unspecified malignant neoplasm of lymph nodes","Diagnosis of Secondary Malignancy_Lymph Nodes",176,"Cancers",1,"406333010","94392001","156323012","cleansedreadcode"
"B56..11","Secondary Malignancy_Lymph Nodes","7830","Lymph node metastases","Diagnosis of Secondary Malignancy_Lymph Nodes",176,"Cancers",1,"732441000006113","94392001","156323012","cleansedreadcode"
"B560.00","Secondary Malignancy_Lymph Nodes","49214","Secondary and unspec malig neop lymph nodes head/face/neck","Diagnosis of Secondary Malignancy_Lymph Nodes",176,"Cancers",1,"157761000006113","303194003","445248014","cleansedreadcode"
"B560000","Secondary Malignancy_Lymph Nodes","64918","Secondary and unspec malig neop of superficial parotid LN","Diagnosis of Secondary Malignancy_Lymph Nodes",176,"Cancers",1,"157821000006114","94475009","156541015","cleansedreadcode"
"B560100","Secondary Malignancy_Lymph Nodes","66775","Secondary and unspec malignant neoplasm mastoid lymph nodes","Diagnosis of Secondary Malignancy_Lymph Nodes",176,"Cancers",1,"157961000006111","1090151000000104","2731161000000118","cleansedreadcode"
"B560200","Secondary Malignancy_Lymph Nodes","33395","Secondary and unspec malig neop superficial cervical LN","Diagnosis of Secondary Malignancy_Lymph Nodes",176,"Cancers",1,"157921000006117","1090141000000102","2731141000000119","cleansedreadcode"
"B560300","Secondary Malignancy_Lymph Nodes","65253","Secondary and unspec malignant neoplasm occipital lymph node","Diagnosis of Secondary Malignancy_Lymph Nodes",176,"Cancers",1,"157971000006116","94449005","156479010","cleansedreadcode"
"B560400","Secondary Malignancy_Lymph Nodes","92703","Secondary and unspec malig neop deep parotid lymph nodes","Diagnosis of Secondary Malignancy_Lymph Nodes",176,"Cancers",1,"157591000006113","94475009","156541015","cleansedreadcode"
"B560500","Secondary Malignancy_Lymph Nodes","39433","Secondary and unspec malig neop submandibular lymph nodes","Diagnosis of Secondary Malignancy_Lymph Nodes",176,"Cancers",1,"157891000006111","94609005","156851012","cleansedreadcode"
"B560600","Secondary Malignancy_Lymph Nodes","28059","Secondary and unspec malig neop of facial lymph nodes","Diagnosis of Secondary Malignancy_Lymph Nodes",176,"Cancers",1,"157801000006116","94393006","156327013","cleansedreadcode"
"B560700","Secondary Malignancy_Lymph Nodes","38343","Secondary and unspec malig neop submental lymph nodes","Diagnosis of Secondary Malignancy_Lymph Nodes",176,"Cancers",1,"157901000006110","94611001","156855015","cleansedreadcode"
"B560800","Secondary Malignancy_Lymph Nodes","44627","Secondary and unspec malig neop anterior cervical LN","Diagnosis of Secondary Malignancy_Lymph Nodes",176,"Cancers",1,"157491000006114","1090131000000106","2731121000000114","cleansedreadcode"
