"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
NA,"Secondary Malignancy_other",NA,"Metastatic Carcinoma",NA,177,"Cancers",1,"881301000006117","463191000000105","881301000006117","termsearch"
"","Secondary Malignancy_other","","[m]carcinoma, metastatic, nos","Possible diagnosis of Secondary Malignancy_Other organs",177,"Cancers",1,"12718191000006116","463191000000105","897651000000111","originalreadcode"
"","Secondary Malignancy_other","","carcinomatosis","Diagnosis of Secondary Malignancy_Other organs",177,"Cancers",1,"2611781000006115","7010000","12571011","originalreadcode"
"","Secondary Malignancy_other","","disseminated malignancy nos","Diagnosis of Secondary Malignancy_Other organs",177,"Cancers",1,"12728601000006113","687921000000103","1505951000000113","originalreadcode"
"","Secondary Malignancy_other","","secondary malignant neoplasm of epididymis and vas deferens","Diagnosis of Secondary Malignancy_Other organs",177,"Cancers",1,"4751341000006117","188471005","289557012","originalreadcode"
"","Secondary Malignancy_other","","secondary malignant neoplasm of other digestive organ","Possible diagnosis of Secondary Malignancy_Other organs",177,"Cancers",1,"11903941000006110","128462008","151371000006112","originalreadcode"
"","Secondary Malignancy_other","","secondary malignant neoplasm of other digestive organ","Possible diagnosis of Secondary Malignancy_Other organs",177,"Cancers",1,"12723261000006118","546701000000106","1218461000000119","originalreadcode"
"","Secondary Malignancy_other","","secondary malignant neoplasm of other respiratory organs","Possible diagnosis of Secondary Malignancy_Other organs",177,"Cancers",1,"11903951000006112","128462008","151391000006113","originalreadcode"
"","Secondary Malignancy_other","","secondary malignant neoplasm of other specified site nos","Possible diagnosis of Secondary Malignancy_Other organs",177,"Cancers",1,"12726621000006116","640531000000100","1410531000000110","originalreadcode"
"1D18.00","Secondary Malignancy_other","8600","Pain from metastases","Possible diagnosis of Secondary Malignancy_Other organs",177,"Cancers",1,"459732012","315241008","459732012","cleansedreadcode"
"5136","Secondary Malignancy_other","48991","X-ray metastasis control","Possible diagnosis of Secondary Malignancy_Other organs",177,"Cancers",1,"261676014","168516003","261676014","originalreadcode"
"B57..00","Secondary Malignancy_other","35053","Secondary malig neop of respiratory and digestive systems","Possible diagnosis of Secondary Malignancy_Other organs",177,"Cancers",1,"151111000006118","269473008","403703010","cleansedreadcode"
"B57..11","Secondary Malignancy_other","6471","Metastases of respiratory and/or digestive systems","Possible diagnosis of Secondary Malignancy_Other organs",177,"Cancers",1,"704711000006119","269473008","403703010","cleansedreadcode"
"B57..12","Secondary Malignancy_other","24301","Secondary carcinoma of respiratory and/or digestive systems","Possible diagnosis of Secondary Malignancy_Other organs",177,"Cancers",1,"380193010","269473008","403703010","cleansedreadcode"
"B571.00","Secondary Malignancy_other","51551","Secondary malignant neoplasm of mediastinum","Diagnosis of Secondary Malignancy_Other organs",177,"Cancers",1,"156375015","94409002","156375015","cleansedreadcode"
"B573.00","Secondary Malignancy_other","62584","Secondary malignant neoplasm of other respiratory organs","Possible diagnosis of Secondary Malignancy_Other organs",177,"Cancers",1,"289515018","94515004","156631011","cleansedreadcode"
"B57y.00","Secondary Malignancy_other","56345","Secondary malignant neoplasm of other digestive organ","Possible diagnosis of Secondary Malignancy_Other organs",177,"Cancers",1,"289530010","94313005","156111011","cleansedreadcode"
