"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"42P2.00","Secondary Thrombocytopaenia","4006","Thrombocytopenia","Diagnosis of Secondary or other Thrombocytopaenia",182,"Haematological/Immunological conditions",9,"1227080015","302215000","1227080015","cleansedreadcode"
"42P8.00","Secondary Thrombocytopaenia","47751","Heparin induced thrombocytopenia screening test","Diagnosis of Secondary or other Thrombocytopaenia",182,"Haematological/Immunological conditions",9,"2159799011","1003111000000109","2585401000000118","cleansedreadcode"
"C391200","Secondary Thrombocytopaenia","31322","Wiskott - Aldrich syndrome","Diagnosis of Secondary or other Thrombocytopaenia",182,"Haematological/Immunological conditions",9,"53821000006111","36070007","60191017","cleansedreadcode"
"C391211","Secondary Thrombocytopaenia","42439","Thrombocytopenic eczema with immunodeficiency","Diagnosis of Secondary or other Thrombocytopaenia",182,"Haematological/Immunological conditions",9,"100341000006117","36070007","60191017","cleansedreadcode"
"D314.00","Secondary Thrombocytopaenia","20181","Secondary thrombocytopenia","Diagnosis of Secondary or other Thrombocytopaenia",182,"Haematological/Immunological conditions",9,"123869011","154826009","240835016","cleansedreadcode"
"D314100","Secondary Thrombocytopaenia","38137","Thrombocytopenia due to drugs","Diagnosis of Secondary or other Thrombocytopaenia",182,"Haematological/Immunological conditions",9,"294383018","191322006","294383018","cleansedreadcode"
"D314200","Secondary Thrombocytopaenia","108345","Thrombocytopenia due to extracorporeal circulation of blood","Diagnosis of Secondary or other Thrombocytopaenia",182,"Haematological/Immunological conditions",9,"294384012","191323001","294384012","cleansedreadcode"
"D314300","Secondary Thrombocytopaenia","107488","Heparin-induced thrombocytopenia","Diagnosis of Secondary or other Thrombocytopaenia",182,"Haematological/Immunological conditions",9,"1887321000006117","73397007","121892018","cleansedreadcode"
"D314y00","Secondary Thrombocytopaenia","68333","Other specified secondary thrombocytopenia","Diagnosis of Secondary or other Thrombocytopaenia",182,"Haematological/Immunological conditions",9,"294385013","74576004","123868015","cleansedreadcode"
"D314z00","Secondary Thrombocytopaenia","63910","Secondary thrombocytopenia NOS","Diagnosis of Secondary or other Thrombocytopaenia",182,"Haematological/Immunological conditions",9,"399236019","74576004","123868015","cleansedreadcode"
"D315.00","Secondary Thrombocytopaenia","880","Thrombocytopenia NOS","Diagnosis of Secondary or other Thrombocytopaenia",182,"Haematological/Immunological conditions",9,"294389019","302215000","1227080015","cleansedreadcode"
"G756100","Secondary Thrombocytopaenia","21697","Thrombotic thrombocytopenic purpura","Diagnosis of Secondary or other Thrombocytopaenia",182,"Haematological/Immunological conditions",9,"129661016","78129009","129661016","cleansedreadcode"
"","Secondary Thrombocytopaenia","","heparin-induced thrombocytopenia","Diagnosis of Secondary or other Thrombocytopaenia",182,"Haematological/Immunological conditions",9,"121892018","73397007","1859641000006118","originalreadcode"
