"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"D104211","Sickle Cell Disease","31075","Sickle-cell thalassaemia","Diagnosis of Sickle-cell anaemia",184,"Haematological/Immunological conditions",9,"141261000006112","127041004","474028014","cleansedreadcode"
"D106.00","Sickle Cell Disease","23519","Sickle-cell anaemia","Diagnosis of Sickle-cell anaemia",184,"Haematological/Immunological conditions",9,"141181000006110","127040003","474022010","cleansedreadcode"
"D106000","Sickle Cell Disease","69964","Sickle-cell anaemia of unspecified type","Diagnosis of Sickle-cell anaemia",184,"Haematological/Immunological conditions",9,"141201000006111","127040003","328014","cleansedreadcode"
"D106100","Sickle Cell Disease","32937","Sickle-cell anaemia with no crisis","Diagnosis of Sickle-cell anaemia",184,"Haematological/Immunological conditions",9,"141251000006110","416180004","2548681017","cleansedreadcode"
"D106200","Sickle Cell Disease","31370","Sickle-cell anaemia with crisis","Diagnosis of Sickle-cell anaemia",184,"Haematological/Immunological conditions",9,"141211000006114","417425009","2553636014","cleansedreadcode"
"D106300","Sickle Cell Disease","31306","Sickle-cell anaemia with haemoglobin C disease","Diagnosis of Sickle-cell anaemia",184,"Haematological/Immunological conditions",9,"141221000006118","35434009","486160011","cleansedreadcode"
"D106400","Sickle Cell Disease","8119","Sickle-cell anaemia with haemoglobin D disease","Diagnosis of Sickle-cell anaemia",184,"Haematological/Immunological conditions",9,"141231000006115","25472008","482949017","cleansedreadcode"
"D106500","Sickle Cell Disease","93872","Sickle-cell anaemia with haemoglobin E disease","Diagnosis of Sickle-cell anaemia",184,"Haematological/Immunological conditions",9,"141241000006113","47024008","494719012","cleansedreadcode"
"D106z00","Sickle Cell Disease","57397","Sickle-cell anaemia NOS","Diagnosis of Sickle-cell anaemia",184,"Haematological/Immunological conditions",9,"141191000006113","127040003","328014","cleansedreadcode"
"Dyu1200","Sickle Cell Disease","48295","[X]Other sickle-cell disorders","Diagnosis of Sickle-cell anaemia",184,"Haematological/Immunological conditions",9,"413591000006113","417357006","2553616013","cleansedreadcode"
"F422100","Sickle Cell Disease","11874","Proliferative retinopathy due to sickle cell disease","History of Sickle-cell anaemia",184,"Haematological/Immunological conditions",9,"297780010","193370005","297780010","cleansedreadcode"
"K0G..00","Sickle Cell Disease","107027","Sickle cell nephropathy","History of Sickle-cell anaemia",184,"Haematological/Immunological conditions",9,"23676016","13886001","23676016","cleansedreadcode"
