"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"","Spina bifida","","rachischisis","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"102746015","61819007","102746015","description"
"","Spina bifida","","spina bifida without mention of hydrocephalus","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"12718061000006113","528691000000108","1181111000000119","originalreadcode"
"","Spina bifida","","syringomyelocele","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"136111017","67531005","110447013","description"
"","Spina bifida","","syringomyelocele","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"3834411000006112","82058009","136111017","originalreadcode"
"7010111","Spina bifida","98265","Insertion of Halber valve for spina bifida","Procedure for Spina bifida",187,"Perinatal conditions",14,"773321000006118","82762009","741991000000112","cleansedreadcode"
"7043","Spina bifida","9298","Repair of spina bifida","Procedure for Spina bifida",187,"Perinatal conditions",14,"32117016","19054000","32117016","originalreadcode"
"7043100","Spina bifida","5307","Closure of spinal myelomeningocele","Procedure for Spina bifida",187,"Perinatal conditions",14,"493453016","42839003","493453016","cleansedreadcode"
"7043200","Spina bifida","29633","Closure of spinal meningocele","Procedure for Spina bifida",187,"Perinatal conditions",14,"89369017","53766007","89369017","cleansedreadcode"
"7043y00","Spina bifida","50672","Other specified repair of spina bifida","Procedure for Spina bifida",187,"Perinatal conditions",14,"266010011","19054000","32117016","cleansedreadcode"
"7043z00","Spina bifida","62742","Repair of spina bifida NOS","Procedure for Spina bifida",187,"Perinatal conditions",14,"266011010","19054000","32117016","cleansedreadcode"
"P1...00","Spina bifida","3947","Spina bifida","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"110447013","67531005","110447013","cleansedreadcode"
"P10..00","Spina bifida","46790","Spina bifida with hydrocephalus","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"88663019","53318002","88663019","cleansedreadcode"
"P100.00","Spina bifida","42497","Unspecified spina bifida with hydrocephalus","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"312742010","53318002","88663019","cleansedreadcode"
"P100000","Spina bifida","5306","Spina bifida with hydrocephalus, unspecified","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"312743017","53318002","88663019","cleansedreadcode"
"P100100","Spina bifida","109243","Cervical spina bifida with hydrocephalus","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"312744011","203934001","312744011","cleansedreadcode"
"P100200","Spina bifida","50565","Thoracic spina bifida with hydrocephalus","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"312745012","203935000","312745012","cleansedreadcode"
"P100300","Spina bifida","57113","Lumbar spina bifida with hydrocephalus","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"312746013","203936004","312746013","cleansedreadcode"
"P100z00","Spina bifida","98298","Spina bifida with hydrocephalus NOS","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"134741000006119","53318002","88663019","cleansedreadcode"
"P101.11","Spina bifida","63513","Closed spina bifida with Arnold-Chiari malformation","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"377002017","253117002","377002017","cleansedreadcode"
"P102.00","Spina bifida","98811","Spina bifida with hydrocephalus - open","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"400758012","268143001","400758012","cleansedreadcode"
"P102.11","Spina bifida","104943","Fissured spine with hydrocephalus","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"377001012","253116006","377001012","cleansedreadcode"
"P102.13","Spina bifida","52683","Myelocele with hydrocephalus","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"376996015","253114009","376996015","cleansedreadcode"
"P102.14","Spina bifida","53471","Rachischisis with hydrocephalus","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"376995016","253113003","376995016","cleansedreadcode"
"P102200","Spina bifida","57243","Thoracic spina bifida with hydrocephalus - open","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"312759017","203942000","312759017","cleansedreadcode"
"P102300","Spina bifida","103284","Lumbar spina bifida with hydrocephalus - open","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"312760010","203943005","312760010","cleansedreadcode"
"P102400","Spina bifida","60623","Sacral spina bifida with hydrocephalus - open","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"312761014","203944004","312761014","cleansedreadcode"
"P102z00","Spina bifida","47288","Spina bifida with hydrocephalus - open NOS","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"312762019","268143001","400758012","cleansedreadcode"
"P103.00","Spina bifida","93902","Spina bifida with hydrocephalus - closed","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"312763012","203946002","312763012","cleansedreadcode"
"P103300","Spina bifida","105767","Lumbar spina bifida with hydrocephalus - closed","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"312767013","203950009","312767013","cleansedreadcode"
"P103400","Spina bifida","72928","Sacral spina bifida with hydrocephalus - closed","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"312768015","203951008","312768015","cleansedreadcode"
"P103z11","Spina bifida","90482","Thoracolumbar spina bifida with hydrocephalus - closed","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"377003010","253118007","377003010","cleansedreadcode"
"P104.00","Spina bifida","102628","Spina bifida with hydrocephalus of late onset","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"312773014","203954000","312773014","cleansedreadcode"
"P105.00","Spina bifida","56362","Spina bifida with stenosis of aqueduct of Sylvius","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"312774015","203955004","312774015","cleansedreadcode"
"P10y.00","Spina bifida","73085","Other specified spina bifida with hydrocephalus","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"312775019","67531005","110447013","cleansedreadcode"
"P10y000","Spina bifida","59218","Dandy - Walker syndrome with spina bifida","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"607741000006116","203957007","312776018","cleansedreadcode"
"P10z.00","Spina bifida","64717","Spina bifida with hydrocephalus NOS","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"312778017","53318002","88663019","cleansedreadcode"
"P11..00","Spina bifida","5431","Spina bifida without mention of hydrocephalus","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"312779013","67531005","110447013","cleansedreadcode"
"P110000","Spina bifida","101013","Spina bifida without hydrocephalus, site unspecified","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"134831000006116","67531005","110447013","cleansedreadcode"
"P110100","Spina bifida","68221","Cervical spina bifida without mention of hydrocephalus","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"312784019","32232003","53841019","cleansedreadcode"
"P110200","Spina bifida","96709","Thoracic spina bifida without mention of hydrocephalus","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"312785018","528711000000105","1181151000000115","cleansedreadcode"
"P110300","Spina bifida","96407","Lumbar spina bifida without mention of hydrocephalus","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"312786017","530041000000105","1183881000000115","cleansedreadcode"
"P110z00","Spina bifida","95018","Unspecified spina bifida without hydrocephalus NOS","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"78661000006114","67531005","110447013","cleansedreadcode"
"P111.00","Spina bifida","53578","Spinal hydromeningocele","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"312788016","203967002","312788016","cleansedreadcode"
"P112.00","Spina bifida","67878","Hydromyelocele","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"64724016","38116000","64724016","cleansedreadcode"
"P113.00","Spina bifida","6866","Spinal meningocele","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"312799019","65144005","108261011","cleansedreadcode"
"P113000","Spina bifida","53929","Spinal meningocele of unspecified site","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"312800015","171131006","265175015","cleansedreadcode"
"P113100","Spina bifida","67351","Cervical spinal meningocele","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"312801016","203980004","312801016","cleansedreadcode"
"P113200","Spina bifida","91600","Thoracic spinal meningocele","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"312802011","203981000","312802011","cleansedreadcode"
"P113300","Spina bifida","61862","Lumbar spinal meningocele","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"312803018","203982007","312803018","cleansedreadcode"
"P113z00","Spina bifida","50365","Spinal meningocele NOS","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"312804012","171131006","265175015","cleansedreadcode"
"P114.00","Spina bifida","9722","Meningomyelocele","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"2534752017","414667000","2534752017","cleansedreadcode"
"P114000","Spina bifida","99332","Meningomyelocele of unspecified site","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"312805013","414667000","2534752017","cleansedreadcode"
"P114100","Spina bifida","107144","Cervical meningomyelocele","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"312806014","203985009","312806014","cleansedreadcode"
"P114200","Spina bifida","99299","Thoracic meningomyelocele","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"312807017","203986005","312807017","cleansedreadcode"
"P114300","Spina bifida","47827","Lumbar meningomyelocele","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"312808010","203987001","312808010","cleansedreadcode"
"P114z00","Spina bifida","57611","Meningomyelocele NOS","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"312809019","414667000","2534752017","cleansedreadcode"
"P115.00","Spina bifida","31775","Myelocele","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"136110016","82058009","136110016","cleansedreadcode"
"P115100","Spina bifida","94598","Cervical myelocele","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"312811011","203990007","312811011","cleansedreadcode"
"P115300","Spina bifida","66516","Lumbar myelocele","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"312813014","203992004","312813014","cleansedreadcode"
"P115z00","Spina bifida","73712","Myelocele NOS","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"312814015","82058009","136110016","cleansedreadcode"
"P116.00","Spina bifida","59380","Myelocystocele","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"312815019","203994003","312815019","cleansedreadcode"
"P116100","Spina bifida","107377","Cervical myelocystocele","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"312817010","203996001","312817010","cleansedreadcode"
"P116300","Spina bifida","101493","Lumbar myelocystocele","Diagnosis of Spina bifida",187,"Perinatal conditions",14,"312819013","203998000","312819013","cleansedreadcode"
