"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"N130.00","Spinal stenosis","12094","Cervical spinal stenosis","Diagnosis of Spinal stenosis",188,"Musculoskeletal conditions",12,"138588018","83561009","138588018","cleansedreadcode"
"N130000","Spinal stenosis","69388","Idiopathic cervical spinal stenosis","Diagnosis of Spinal stenosis",188,"Musculoskeletal conditions",12,"311194016","202760001","311194016","cleansedreadcode"
"N130100","Spinal stenosis","45296","Degenerative cervical spinal stenosis","Diagnosis of Spinal stenosis",188,"Musculoskeletal conditions",12,"311195015","202761002","311195015","cleansedreadcode"
"N130300","Spinal stenosis","93849","Cervical spinal stenosis secondary to other disease","Diagnosis of Spinal stenosis",188,"Musculoskeletal conditions",12,"311197011","83561009","138587011","cleansedreadcode"
"N140.00","Spinal stenosis","15331","Spinal stenosis, excluding cervical region","Diagnosis of Spinal stenosis",188,"Musculoskeletal conditions",12,"400282015","267980005","400282015","cleansedreadcode"
"N140.11","Spinal stenosis","3370","Spinal stenosis","Diagnosis of Spinal stenosis",188,"Musculoskeletal conditions",12,"126406018","76107001","126406018","cleansedreadcode"
"N140000","Spinal stenosis","41147","Spinal stenosis of unspecified region","Diagnosis of Spinal stenosis",188,"Musculoskeletal conditions",12,"311229014","76107001","126406018","cleansedreadcode"
"N140100","Spinal stenosis","62612","Thoracic spinal stenosis","Diagnosis of Spinal stenosis",188,"Musculoskeletal conditions",12,"68961012","41341006","68961012","cleansedreadcode"
"N140200","Spinal stenosis","9912","Lumbar spinal stenosis","Diagnosis of Spinal stenosis",188,"Musculoskeletal conditions",12,"30978014","18347007","30978014","cleansedreadcode"
"N140300","Spinal stenosis","106536","Idiopathic thoracic spinal stenosis","Diagnosis of Spinal stenosis",188,"Musculoskeletal conditions",12,"311230016","202782008","311230016","cleansedreadcode"
"N140400","Spinal stenosis","73730","Degenerative thoracic spinal stenosis","Diagnosis of Spinal stenosis",188,"Musculoskeletal conditions",12,"311231017","202783003","311231017","cleansedreadcode"
"N140600","Spinal stenosis","98630","Thoracic spinal stenosis secondary to other disease","Diagnosis of Spinal stenosis",188,"Musculoskeletal conditions",12,"311236010","41341006","68960013","cleansedreadcode"
"N140700","Spinal stenosis","72614","Idiopathic lumbar spinal stenosis","Diagnosis of Spinal stenosis",188,"Musculoskeletal conditions",12,"311237018","202787002","311237018","cleansedreadcode"
"N140800","Spinal stenosis","43577","Degenerative lumbar spinal stenosis","Diagnosis of Spinal stenosis",188,"Musculoskeletal conditions",12,"311238011","202788007","311238011","cleansedreadcode"
"N140900","Spinal stenosis","93836","Iatrogenic lumbar spinal stenosis","Diagnosis of Spinal stenosis",188,"Musculoskeletal conditions",12,"311239015","202789004","311239015","cleansedreadcode"
"N140A00","Spinal stenosis","97870","Lumbar spinal stenosis secondary to other disease","Diagnosis of Spinal stenosis",188,"Musculoskeletal conditions",12,"311240018","18347007","30977016","cleansedreadcode"
"N140z00","Spinal stenosis","35117","Spinal stenosis NOS","Diagnosis of Spinal stenosis",188,"Musculoskeletal conditions",12,"311241019","76107001","126406018","cleansedreadcode"
"Zw04300","Spinal stenosis","52139","[Q] Central spinal stenosis","Diagnosis of Spinal stenosis",188,"Musculoskeletal conditions",12,"461576019","76107001","126406018","cleansedreadcode"
"Zw04400","Spinal stenosis","91625","[Q] Lateral spinal stenosis","Diagnosis of Spinal stenosis",188,"Musculoskeletal conditions",12,"461577011","76107001","126406018","cleansedreadcode"
"Zw04500","Spinal stenosis","94588","[Q] Central and lateral spinal stenosis","Diagnosis of Spinal stenosis",188,"Musculoskeletal conditions",12,"461578018","76107001","126406018","cleansedreadcode"
