"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"7J34112","Spondylolisthesis","43211","Buck fusion of lumbar spine for spondylolisthesis","Procedure for Spondylolisthesis",189,"Musculoskeletal conditions",12,"527151000006116","265717009","394583018","cleansedreadcode"
"7J48500","Spondylolisthesis","11250","Spondylolisthesis operation","Procedure for Spondylolisthesis",189,"Musculoskeletal conditions",12,"394592015","265726007","394592015","cleansedreadcode"
"7J48511","Spondylolisthesis","63967","Gill excision of spondylolisthesis","Procedure for Spondylolisthesis",189,"Musculoskeletal conditions",12,"802211000006119","265726007","394592015","cleansedreadcode"
"7J48K00","Spondylolisthesis","20734","Reduction of spondylolisthesis and fusion","Procedure for Spondylolisthesis",189,"Musculoskeletal conditions",12,"276668012","178805003","276668012","cleansedreadcode"
"7J48L00","Spondylolisthesis","16743","Fusion spondylolisthesis in situ","Procedure for Spondylolisthesis",189,"Musculoskeletal conditions",12,"276669016","178806002","276669016","cleansedreadcode"
"N384.00","Spondylolisthesis","2895","Acquired spondylolisthesis","Diagnosis of Spondylolisthesis",189,"Musculoskeletal conditions",12,"312465016","203681002","312465016","cleansedreadcode"
"N384000","Spondylolisthesis","65017","Dysplastic spondylolisthesis","Diagnosis of Spondylolisthesis",189,"Musculoskeletal conditions",12,"312466015","203682009","312466015","cleansedreadcode"
"N384100","Spondylolisthesis","61817","Isthmic spondylolisthesis","Diagnosis of Spondylolisthesis",189,"Musculoskeletal conditions",12,"312467012","203683004","312467012","cleansedreadcode"
"N384200","Spondylolisthesis","12371","Degenerative spondylolisthesis","Diagnosis of Spondylolisthesis",189,"Musculoskeletal conditions",12,"7967011","4046000","7967011","cleansedreadcode"
"N384300","Spondylolisthesis","66732","Pedicular spondylolisthesis","Diagnosis of Spondylolisthesis",189,"Musculoskeletal conditions",12,"312469010","203685006","312469010","cleansedreadcode"
"Zw04600","Spondylolisthesis","52889","[Q] Spondylolisthesis grade 1","Diagnosis of Spondylolisthesis",189,"Musculoskeletal conditions",12,"461579014","44494000","74198015","cleansedreadcode"
"Zw04700","Spondylolisthesis","53931","[Q] Spondylolisthesis grade 2","Diagnosis of Spondylolisthesis",189,"Musculoskeletal conditions",12,"461580012","62620001","104078019","cleansedreadcode"
"Zw04800","Spondylolisthesis","73565","[Q] Spondylolisthesis grade 3","Diagnosis of Spondylolisthesis",189,"Musculoskeletal conditions",12,"461581011","13131000","22470010","cleansedreadcode"
"Zw04900","Spondylolisthesis","104348","[Q] Spondylolisthesis grade 4","Diagnosis of Spondylolisthesis",189,"Musculoskeletal conditions",12,"461582016","3472009","6855017","cleansedreadcode"
