"read code","disease","medcode","descr","category","disease_num","system","system_num","medcodeid","snomedctconceptid","snomedctdescriptionid","mapping"
"F163200","Spondylosis","8920","Myelopathy due to spondylosis","Diagnosis of Spondylosis",190,"Musculoskeletal conditions",12,"297150011","192907007","297150011","cleansedreadcode"
"F337200","Spondylosis","23699","Nerve root and plexus compressions in spondylosis","Diagnosis of Spondylosis",190,"Musculoskeletal conditions",12,"297465015","193120004","297465015","cleansedreadcode"
"N11..00","Spondylosis","2001","Spondylosis and allied disorders","Diagnosis of Spondylosis",190,"Musculoskeletal conditions",12,"400266016","267969005","400266016","cleansedreadcode"
"N11..11","Spondylosis","2294","Arthritis of spine","Diagnosis of Spondylosis",190,"Musculoskeletal conditions",12,"1209790019","8847002","508047017","cleansedreadcode"
"N11..12","Spondylosis","7429","Osteoarthritis of spine","Diagnosis of Spondylosis",190,"Musculoskeletal conditions",12,"18181000006118","8847002","508047017","cleansedreadcode"
"N110.00","Spondylosis","2881","Cervical spondylosis without myelopathy","Diagnosis of Spondylosis",190,"Musculoskeletal conditions",12,"400267013","267970006","400267013","cleansedreadcode"
"N110.11","Spondylosis","771","Cervical spondylosis","Diagnosis of Spondylosis",190,"Musculoskeletal conditions",12,"1481870016","387800004","1481870016","cleansedreadcode"
"N110.12","Spondylosis","17092","Osteoarthritis cervical spine","Diagnosis of Spondylosis",190,"Musculoskeletal conditions",12,"219611000000112","387800004","1492276018","cleansedreadcode"
"N110000","Spondylosis","38501","Single-level cervical spondylosis without myelopathy","Diagnosis of Spondylosis",190,"Musculoskeletal conditions",12,"311055019","202657000","311055019","cleansedreadcode"
"N110100","Spondylosis","51531","Two-level cervical spondylosis without myelopathy","Diagnosis of Spondylosis",190,"Musculoskeletal conditions",12,"311056018","202658005","311056018","cleansedreadcode"
"N110200","Spondylosis","15744","Multiple-level cervical spondylosis without myelopathy","Diagnosis of Spondylosis",190,"Musculoskeletal conditions",12,"311057010","202659002","311057010","cleansedreadcode"
"N111.00","Spondylosis","8208","Cervical spondylosis with myelopathy","Diagnosis of Spondylosis",190,"Musculoskeletal conditions",12,"108431018","65260001","108431018","cleansedreadcode"
"N111000","Spondylosis","27583","Single-level cervical spondylosis with myelopathy","Diagnosis of Spondylosis",190,"Musculoskeletal conditions",12,"311061016","202661006","311061016","cleansedreadcode"
"N111100","Spondylosis","63192","Two-level cervical spondylosis with myelopathy","Diagnosis of Spondylosis",190,"Musculoskeletal conditions",12,"311062011","202662004","311062011","cleansedreadcode"
"N111200","Spondylosis","58865","Multiple-level cervical spondylosis with myelopathy","Diagnosis of Spondylosis",190,"Musculoskeletal conditions",12,"311063018","202663009","311063018","cleansedreadcode"
"N112.00","Spondylosis","18217","Thoracic spondylosis without myelopathy","Diagnosis of Spondylosis",190,"Musculoskeletal conditions",12,"400268015","267971005","400268015","cleansedreadcode"
"N112.11","Spondylosis","5183","Thoracic spondylosis","Diagnosis of Spondylosis",190,"Musculoskeletal conditions",12,"1481872012","387802007","1481872012","cleansedreadcode"
